source,target,level
918464468,311295453,1
311295454,24880327,1
311295454,24880327,1
311295454,24880327,1
1128369682,19452142,1
1128369682,19452142,1
309601494,1128369682,1
309601494,1128369682,1
1128369751,24866280,1
1128369751,24866280,1
19452142,1128369751,1
19452142,1128369751,1
1128369829,19452140,1
1128369829,19452140,1
24866246,1128369829,1
24866246,1128369829,1
1128369830,309601492,1
1128369830,309601492,1
19452140,1128369830,1
19452140,1128369830,1
309601491,1128370060,1
309601491,1128370060,1
1128370060,1128370081,1
1128370060,1128370081,1
1128370081,24866245,1
1128370081,24866245,1
1128370226,850819045,1
1128370226,850819045,1
309601493,1128370376,1
309601493,1128370376,1
1128370376,1128370226,1
1128370376,1128370226,1
24866278,1128370388,1
24866278,1128370388,1
1128370388,309601493,1
1128370388,309601493,1
328008209,196987533,2
24880035,196987499,2
215616799,850819049,2
850819049,850819584,2
850819049,850819584,2
850819584,838614299,2
850819584,838614299,2
24880083,196987535,2
850821674,196987016,2
850821674,196987016,2
196987010,850821674,2
196987010,850821674,2
850821554,171525346,2
850821554,171525346,2
851319473,850821554,2
851319473,850821554,2
196985643,851319473,2
196987536,328008203,2
196987534,196987561,2
196987093,196987081,2
24866808,24866815,2
24866808,24866815,2
24866814,24866803,2
24866814,24866803,2
19452157,24866833,2
19452157,24866833,2
171522632,24869751,2
171522632,24869751,2
171522512,171522631,2
171522512,171522631,2
24870053,24870105,2
24870053,24870105,2
196987031,24880073,2
196987031,24880073,2
215640428,171522632,2
215640428,171522632,2
24869933,215640428,2
24869933,215640428,2
215640429,24869916,2
215640429,24869916,2
171522631,215640429,2
171522631,215640429,2
24869950,215640477,2
24869950,215640477,2
215640477,24869933,2
215640477,24869933,2
215640487,24869949,2
215640487,24869949,2
24869916,215640487,2
24869916,215640487,2
24870094,24870104,2
24870094,24870104,2
24870105,24870095,2
24870105,24870095,2
215640787,24866828,2
215640787,24866828,2
24866837,215640787,2
24866837,215640787,2
24866833,24866859,2
24866833,24866859,2
221977842,221977840,2
221977842,221977840,2
222001831,222001729,2
222001831,222001729,2
222001740,222001834,2
222001740,222001834,2
171518531,222001748,2
171518531,222001748,2
222001774,171518526,2
222001774,171518526,2
222001886,221975724,2
222001886,221975724,2
222001888,222001827,2
222001888,222001827,2
222001828,222001890,2
222001828,222001890,2
222001914,24867001,2
222001914,24867001,2
24880063,216615398,2
24880063,216615398,2
215640377,171522512,2
215640377,171522512,2
24869734,215640377,2
24869734,215640377,2
215640357,24869735,2
215640357,24869735,2
215640595,275173902,2
215640595,275173902,2
275173902,24869950,2
275173902,24869950,2
275173907,215640596,2
275173907,215640596,2
24869949,275173907,2
24869949,275173907,2
275500967,24870050,2
275500967,24870050,2
24870048,275500968,2
24870048,275500968,2
275500968,24870053,2
275500968,24870053,2
275504932,24866870,2
275504932,24866870,2
275504933,24866808,2
275504933,24866808,2
215640651,275500967,2
215640651,275500967,2
24870104,215640651,2
24870104,215640651,2
222001827,275991836,2
222001827,275991836,2
275991837,222001828,2
275991837,222001828,2
221993776,221977842,2
221993776,221977842,2
221993773,221993776,2
221993773,221993776,2
222001729,222001733,2
222001729,222001733,2
222001834,171518531,2
222001834,171518531,2
171518526,222001835,2
171518526,222001835,2
222001749,222001745,2
222001749,222001745,2
222001748,222001749,2
222001748,222001749,2
335455195,222001774,2
335455195,222001774,2
222001765,335455195,2
222001765,335455195,2
275173954,24870094,2
275173954,24870094,2
24870088,275173954,2
24870088,275173954,2
24870095,275173951,2
24870095,275173951,2
275173951,24870091,2
275173951,24870091,2
335456494,24880063,2
335456494,24880063,2
24870091,215640604,2
24870091,215640604,2
215640615,24870088,2
215640615,24870088,2
24866828,24866814,2
24866828,24866814,2
215640604,215640595,2
215640604,215640595,2
215640596,215640615,2
215640596,215640615,2
820452158,171519997,2
820452158,171519997,2
338858792,820452158,2
338858792,820452158,2
820452160,171520039,2
820452160,171520039,2
171520039,820452161,2
171520039,820452161,2
171519997,820452162,2
171519997,820452162,2
24880069,838857549,2
24880069,838857549,2
844678783,24870048,2
844678783,24870048,2
844678784,24866873,2
844678784,24866873,2
24866873,844678785,2
24866873,844678785,2
844678785,275504933,2
844678785,275504933,2
24870050,844679536,2
24870050,844679536,2
844679684,275504932,2
844679684,275504932,2
24866803,844679684,2
24866803,844679684,2
24866870,844679685,2
24866870,844679685,2
848140646,215640357,2
848140646,215640357,2
24869751,848140646,2
24869751,848140646,2
851344830,221993773,2
851344830,221993773,2
851345214,221993771,2
851345214,221993771,2
222001835,851345214,2
222001835,851345214,2
851371180,222001831,2
851371180,222001831,2
851371181,851371180,2
851371181,851371180,2
171518834,851371181,2
171518834,851371181,2
851371182,171518836,2
851371182,171518836,2
221977840,851371182,2
221977840,851371182,2
851499423,196987003,2
851499423,196987003,2
851499425,335456495,2
851499425,335456495,2
838788560,851499425,2
838788560,851499425,2
851499426,196987055,2
851499426,196987055,2
335456495,851499426,2
335456495,851499426,2
838857549,854302369,2
838857549,854302369,2
854302369,335456494,2
854302369,335456494,2
854302370,851499424,2
854302370,851499424,2
196987055,854302370,2
196987055,854302370,2
863501721,171518834,2
863501721,171518834,2
216615398,863501722,2
216615398,863501722,2
863501722,863501721,2
863501722,863501721,2
222001739,880294288,2
222001739,880294288,2
880294288,222001740,2
880294288,222001740,2
880294289,851344830,2
880294289,851344830,2
221993771,880294289,2
221993771,880294289,2
880294290,838788560,2
880294290,838788560,2
171518836,880294290,2
171518836,880294290,2
24880073,880294698,2
24880073,880294698,2
880294698,24880069,2
880294698,24880069,2
880294700,851499423,2
880294700,851499423,2
851499424,880294700,2
851499424,880294700,2
948233015,24866837,2
948233015,24866837,2
820452162,948233015,2
820452162,948233015,2
24866859,948233016,2
24866859,948233016,2
948233016,820452160,2
948233016,820452160,2
24866815,948234914,2
24866815,948234914,2
948234914,19452157,2
948234914,19452157,2
24867001,948234918,2
24867001,948234918,2
844679536,948236716,2
844679536,948236716,2
948245281,948246760,2
948245281,948246760,2
948246760,844678783,2
948246760,844678783,2
338858791,948247534,2
338858791,948247534,2
948247534,948245281,2
948247534,948245281,2
222001890,948259916,2
222001890,948259916,2
948259916,222001914,2
948259916,222001914,2
948259917,222001888,2
948259917,222001888,2
221975724,948259917,2
221975724,948259917,2
1045448563,948234917,2
1045448563,948234917,2
844679685,1045448563,2
844679685,1045448563,2
948234918,1045448564,2
948234918,1045448564,2
1045448564,844678784,2
1045448564,844678784,2
222001745,1062903868,2
222001745,1062903868,2
1062903868,275991837,2
1062903868,275991837,2
1062903869,222001765,2
1062903869,222001765,2
275991836,1062903869,2
275991836,1062903869,2
1127675922,196987093,2
1127675922,196987093,2
196987003,1127675922,2
196987003,1127675922,2
1127702091,222001886,2
1127702091,222001886,2
948234917,1127702091,2
948234917,1127702091,2
222001733,1127706886,2
222001733,1127706886,2
1127706886,222001739,2
1127706886,222001739,2
820452161,1127787578,2
820452161,1127787578,2
1127787578,338858791,2
1127787578,338858791,2
1127787579,338858792,2
1127787579,338858792,2
948236716,1127787579,2
948236716,1127787579,2
24880242,24880206,2
24880242,24880206,2
24880142,24880185,2
196987500,24880085,2
196987499,196987500,2
196987500,196987535,2
24880037,221977898,2
171525349,215617202,2
196987010,196987561,2
196987010,196987561,2
196987093,196987528,2
196987093,196987528,2
24880035,328008203,2
24880035,328008203,2
850819047,24880083,2
850819047,24880083,2
850819047,24880083,2
24880083,850819585,2
24880083,850819585,2
24880083,850819585,2
850819585,24880085,2
850819585,24880085,2
838614299,850819586,2
838614299,850819586,2
850819586,24880035,2
850819586,24880035,2
850819586,24880035,2
850821553,24880242,2
850821553,24880242,2
171525346,850821553,2
171525346,850821553,2
842040660,850821555,2
842040660,850821555,2
842040660,850821555,2
196987016,850821675,2
196987016,850821675,2
328008209,850833690,2
328008209,850833690,2
851322338,328008209,2
851322338,328008209,2
196987561,851322338,2
196987561,851322338,2
196987533,851322337,2
196987533,851322337,2
850821675,851322339,2
850821675,851322339,2
851322339,196987031,2
24880241,851342058,2
24880241,851342058,2
24880085,851342059,2
24880085,851342059,2
851342059,842040661,2
851342059,842040661,2
851342060,24880142,2
851342060,24880142,2
24880185,851342061,2
24880185,851342061,2
851342061,24880241,2
851342062,196987010,2
851342062,196987010,2
851342062,196987010,2
850821555,851342062,2
850821555,851342062,2
850821555,851342062,2
851342063,24880037,2
851342063,24880037,2
850833690,851342063,2
850833690,851342063,2
850833690,851342063,2
328008203,851342065,2
328008203,851342065,2
328008203,851342065,2
851342065,850819047,2
851342065,850819047,2
851342065,850819047,2
851342064,838614301,2
851342064,838614301,2
851322337,851342064,2
851322337,851342064,2
838614301,196987536,2
838614301,196987536,2
851342066,196987499,2
851342066,196987499,2
196987536,851342066,2
196987536,851342066,2
851497928,24880143,2
851497928,24880143,2
24880206,851497928,2
24880206,851497928,2
196987534,851499741,2
851499741,221993646,2
851499741,221993646,2
851628620,850833690,2
196987081,851628620,2
880277672,842040660,2
880277672,842040660,2
880277672,842040660,2
24880143,880277672,2
24880143,880277672,2
24880143,880277672,2
842040661,880277674,2
842040661,880277674,2
880277674,851342060,2
880277674,851342060,2
851342058,918458222,2
918458222,171525349,2
196987535,1127675923,2
196987535,1127675923,2
1127675923,196987534,2
1127675923,196987534,2
1127693066,196987533,2
1127693066,196987533,2
196987528,1127693066,2
196987528,1127693066,2
221993646,1127693067,2
1127693067,1127787577,2
1127787577,196987031,2
24865474,24865463,3
24865005,24865440,3
24866280,24866272,3
24866245,171517588,3
222001774,222001874,3
171518531,222001854,3
24865435,24865434,3
24865434,24865435,3
24864625,216616300,3
216616300,24864625,3
216616300,216600904,3
216600904,216616300,3
216600904,24864616,3
24864616,216600904,3
171513792,216600992,3
216600992,171513792,3
216600992,335463082,3
335463082,216600992,3
335463082,24865475,3
24865475,335463082,3
24864616,24865551,3
24865551,24864616,3
24864266,24865551,3
24865551,24864266,3
24864259,24864266,3
24864266,24864259,3
24864243,24864259,3
24864259,24864243,3
24864243,216600937,3
216600937,24864243,3
216600937,171513792,3
171513792,216600937,3
24865475,216600960,3
216600960,24865475,3
24865435,1127865129,3
1127865129,24865435,3
1127865129,216600960,3
216600960,1127865129,3
24864640,1127865139,3
1127865139,24864640,3
1127865139,24864625,3
24864625,1127865139,3
171515160,24865824,3
24865824,171515160,3
215673769,24865824,3
24865824,215673769,3
171515087,215673770,3
215673770,171515087,3
215673770,215673769,3
215673769,215673770,3
171515071,171515072,3
171515072,171515071,3
216615350,171515168,3
171515168,216615350,3
243541981,216615350,3
216615350,243541981,3
171515584,243541981,3
243541981,171515584,3
275095097,171514866,3
171514866,275095097,3
171514866,275984058,3
275984058,171514866,3
275984058,171515071,3
171515071,275984058,3
171515168,216615349,3
216615349,171515168,3
216615349,171515160,3
171515160,216615349,3
171515077,171515087,3
171515087,171515077,3
171515072,275984045,3
275984045,171515072,3
335463992,275095097,3
275095097,335463992,3
335464004,24862782,3
335464045,335464004,3
335464050,335464045,3
335463992,335464050,3
24865245,335463996,3
24865245,335463996,3
335463996,335464046,3
335463996,335464046,3
335464046,335464049,3
335464049,335463992,3
275984045,171515077,3
171515077,275984045,3
872680776,24865245,3
872680776,24865245,3
215675252,1039866912,3
215675252,1039866912,3
1039866912,872680776,3
1039866912,872680776,3
1063304273,24862765,3
1063304273,24862765,3
1063304277,1063304273,3
1063304277,1063304273,3
215675251,1063304277,3
215675251,1063304277,3
1063304280,215675251,3
1063304280,215675251,3
24862782,1063304280,3
24862782,1063304280,3
171518454,171518435,3
171518454,171518435,3
171518425,171518424,3
171518425,171518424,3
221993765,171518459,3
221993765,171518459,3
335455168,221993765,3
335455168,221993765,3
171518523,222001833,3
171518523,222001833,3
222001880,222001879,3
222001880,222001879,3
222001879,222001881,3
222001879,222001881,3
222001881,222001882,3
222001881,222001882,3
222001883,222001878,3
222001883,222001878,3
222001878,171518523,3
222001878,171518523,3
171518459,171518454,3
171518459,171518454,3
222001882,222001883,3
222001882,222001883,3
335455167,335455173,3
335455167,335455173,3
335455173,335455168,3
335455173,335455168,3
171518435,338881802,3
171518435,338881802,3
338881802,171518425,3
338881802,171518425,3
24866450,24866456,3
24866450,24866456,3
24866456,24866450,3
24866456,24866450,3
24866224,24866214,3
24866224,24866214,3
24866214,24866224,3
24866214,24866224,3
171518415,24866450,3
171518415,24866450,3
24866450,171518415,3
24866450,171518415,3
171517473,171518415,3
171517473,171518415,3
171518415,171517473,3
171518415,171517473,3
24866230,171517461,3
24866230,171517461,3
171517461,24866230,3
171517461,24866230,3
171517337,24866224,3
171517337,24866224,3
24866224,171517337,3
24866224,171517337,3
171517121,24866211,3
171517121,24866211,3
24866211,171517121,3
24866211,171517121,3
171517337,171517345,3
171517337,171517345,3
171517345,171517337,3
171517345,171517337,3
171517016,216615355,3
216615355,171517016,3
216615355,171517005,3
171517005,216615355,3
216615372,171517473,3
216615372,171517473,3
171517473,216615372,3
171517473,216615372,3
275974409,171517016,3
171517016,275974409,3
171517082,275974409,3
275974409,171517082,3
24866211,171517076,3
171517076,24866211,3
335455019,24866232,3
335455019,24866232,3
24866232,335455019,3
24866232,335455019,3
171517005,335463598,3
335463598,171517005,3
335463598,24866080,3
24866080,335463598,3
24866007,275976629,3
275976629,24866007,3
24866013,335463791,3
335463791,24866013,3
335463791,275976639,3
275976639,335463791,3
275984106,171515584,3
171515584,275984106,3
275976629,338857919,3
338857919,275976629,3
338857919,24866013,3
24866013,338857919,3
848561138,216615372,3
848561138,216615372,3
216615372,848561138,3
216615372,848561138,3
275976639,848893467,3
848893467,275976639,3
24866080,848893468,3
848893468,24866080,3
848893468,848893469,3
848893469,848893468,3
848893469,243541986,3
243541986,848893469,3
171517345,889535585,3
171517345,889535585,3
889535585,171517345,3
889535585,171517345,3
171517461,889535586,3
171517461,889535586,3
889535586,171517461,3
889535586,171517461,3
889535584,889535586,3
889535584,889535586,3
889535586,889535584,3
889535586,889535584,3
24866232,889535587,3
24866232,889535587,3
889535587,24866232,3
889535587,24866232,3
889535587,24866230,3
889535587,24866230,3
24866230,889535587,3
24866230,889535587,3
24866007,918464450,3
918464450,24866007,3
918464450,275984106,3
275984106,918464450,3
335455019,976098877,3
335455019,976098877,3
976098877,335455019,3
976098877,335455019,3
848893467,976142323,3
976142323,848893467,3
976142323,243541986,3
243541986,976142323,3
24866214,171517121,3
24866214,171517121,3
171517121,24866214,3
171517121,24866214,3
171517076,976199205,3
976199205,171517076,3
976199205,171517082,3
171517082,976199205,3
976098877,1062385669,3
976098877,1062385669,3
1062385669,976098877,3
1062385669,976098877,3
1062385669,848561138,3
1062385669,848561138,3
848561138,1062385669,3
848561138,1062385669,3
1075284345,889535584,3
1075284345,889535584,3
889535584,1075284345,3
889535584,1075284345,3
889535585,1075284346,3
889535585,1075284346,3
1075284346,889535585,3
1075284346,889535585,3
1075284346,1075284345,3
1075284346,1075284345,3
1075284345,1075284346,3
1075284345,1075284346,3
171517577,24866248,3
24866248,171517577,3
24866248,24866251,3
24866248,24866251,3
24866250,24866248,3
24866250,24866248,3
24866150,171517577,3
171517577,24866150,3
24866126,171516574,3
171516574,24866126,3
24864683,171512342,3
171512342,24864683,3
24864542,24864732,3
24864732,24864542,3
171516662,24866150,3
24866150,171516662,3
216600819,24866126,3
24866126,216600819,3
24864570,216601222,3
216601222,24864570,3
216601222,24864587,3
24864587,216601222,3
24864658,216616251,3
216616251,24864658,3
216616251,171512331,3
171512331,216616251,3
24864632,216616301,3
216616301,24864632,3
24864640,216616302,3
216616302,24864640,3
171512342,24864694,3
24864694,171512342,3
24864587,216616349,3
216616349,24864587,3
171512061,216616351,3
216616351,171512061,3
216616351,24864567,3
24864567,216616351,3
171512076,216616422,3
216616422,171512076,3
216616422,24864550,3
24864550,216616422,3
171512076,171512061,3
171512061,171512076,3
216616423,171512536,3
171512536,216616423,3
24864550,216616423,3
216616423,24864550,3
24864732,216601325,3
216601325,24864732,3
216601325,216601328,3
216601328,216601325,3
216601328,216601332,3
216601332,216601328,3
216616428,216600831,3
216600831,216616428,3
216600831,216600842,3
216600842,216600831,3
216600842,171516662,3
171516662,216600842,3
24864567,243542131,3
243542131,24864567,3
216601332,243542344,3
243542344,216601332,3
171516574,275986224,3
275986224,171516574,3
275986224,275986222,3
275986222,275986224,3
275986222,216616428,3
216616428,275986222,3
275990023,24864542,3
24864542,275990023,3
24864539,275990023,3
275990023,24864539,3
171512331,335459569,3
335459569,171512331,3
335459569,24864683,3
24864683,335459569,3
24864694,335459570,3
335459570,24864694,3
24864674,216601194,3
216601194,24864674,3
216616349,216601200,3
216601200,216616349,3
243542131,24864570,3
24864570,243542131,3
216616301,24864640,3
24864640,216616301,3
216601200,24864674,3
24864674,216601200,3
243542344,338859060,3
338859060,243542344,3
171512536,338859060,3
338859060,171512536,3
338872349,24866110,3
24866110,338872349,3
24866110,216600819,3
216600819,24866110,3
335459570,848561142,3
848561142,335459570,3
848561142,24864632,3
24864632,848561142,3
216601194,918464459,3
918464459,216601194,3
918464459,24864658,3
24864658,918464459,3
216616302,950299636,3
950299636,216616302,3
950299636,338872349,3
338872349,950299636,3
24865436,24865442,3
24865436,24865442,3
24865435,24865436,3
24865435,24865436,3
24865015,24865440,3
24865015,24865440,3
24865440,24865434,3
24865440,24865434,3
24865442,24865016,3
24865442,24865016,3
171518424,24866456,3
171518424,24866456,3
24866456,222001880,3
24866456,222001880,3
24866271,24866252,3
24866271,24866252,3
24866254,24866272,3
24866254,24866272,3
171517586,24866250,3
171517586,24866250,3
24866252,171517586,3
24866252,171517586,3
24866251,171517589,3
24866251,171517589,3
171517589,24866254,3
171517589,24866254,3
24866272,24866271,3
24866268,24866246,3
24866254,24866278,3
24865463,24865016,3
24865015,24865007,3
24865007,24865004,3
24865451,24865476,3
24865442,24865451,3
24865436,24865451,3
24866252,24866254,3
24865016,24865015,3
24865440,24865442,3
24866271,24866268,3
171517588,24866252,3
222001878,221993767,3
171518523,221993767,3
221993767,221993760,3
221993760,221993771,3
222001833,222001834,3
222001874,221993765,3
335455168,171518523,3
222001874,335455168,3
222001854,335455167,3
24862251,24862171,4
24862191,24862167,4
24880142,24880220,4
24880242,196986141,4
24881598,24881582,4
24881576,24881589,4
221993646,196987051,4
880294701,196987053,4
196987055,880294701,4
863501726,863501725,4
863501725,813011272,4
851371180,851371179,4
851371180,851371179,4
851371179,863501723,4
851371179,863501723,4
863501723,863501726,4
863501723,863501726,4
221993773,813011270,4
221993773,813011270,4
863501726,24866507,4
24866507,24866515,4
221975724,221975785,4
221975724,221975785,4
222001828,222001887,4
222001828,222001887,4
24881002,24880995,4
24880995,24881002,4
24880924,24880919,4
24880919,24880924,4
24880762,24880773,4
24880773,24880762,4
24880769,171528080,4
171528080,24880769,4
171528595,24880924,4
24880924,171528595,4
171528679,171528680,4
171528680,171528679,4
171528538,24880908,4
24880908,171528538,4
171528080,171528118,4
171528118,171528080,4
171528118,171528120,4
171528120,171528118,4
171528120,24880777,4
24880777,171528120,4
171528406,24880857,4
24880857,171528406,4
171528679,171528538,4
171528538,171528679,4
24880773,24880769,4
24880769,24880773,4
24880954,171528902,4
171528902,24880954,4
171528925,24881002,4
24881002,171528925,4
216617023,24880954,4
24880954,216617023,4
24880777,275987405,4
275987405,24880777,4
24880857,171528429,4
171528429,24880857,4
171528429,215644725,4
215644725,171528429,4
215644725,335462857,4
335462857,215644725,4
335462857,216617023,4
216617023,335462857,4
24880833,215644516,4
215644516,24880833,4
215644516,171528406,4
171528406,215644516,4
335462864,171528595,4
171528595,335462864,4
24880908,335462864,4
335462864,24880908,4
24880841,215644493,4
215644493,24880841,4
215644493,24880833,4
24880833,215644493,4
171528680,215644306,4
215644306,171528680,4
275987405,914993044,4
914993044,275987405,4
914993044,24880841,4
24880841,914993044,4
24880919,916249450,4
916249450,24880919,4
916249451,916249452,4
916249452,916249451,4
916249452,24880762,4
24880762,916249452,4
171528902,917383399,4
917383399,171528902,4
917383399,171528925,4
171528925,917383399,4
24883174,918461178,4
918461178,24883174,4
918461178,215644306,4
215644306,918461178,4
916249450,919930584,4
919930584,916249450,4
919930584,916249451,4
916249451,919930584,4
171535835,171535838,4
171535838,171535835,4
171535767,171535779,4
171535779,171535767,4
171530282,216617022,4
216617022,171530282,4
215646329,215646335,4
215646335,215646329,4
215646335,215646338,4
215646338,215646335,4
215646306,171530282,4
171530282,215646306,4
215646348,243540243,4
243540243,215646348,4
215646338,215646348,4
215646348,215646338,4
24881470,338836101,4
338836101,24881470,4
338836101,215646306,4
215646306,338836101,4
243540243,851850712,4
851850712,243540243,4
851850712,171535767,4
171535767,851850712,4
216617022,918459965,4
918459965,216617022,4
918459965,335458911,4
335458911,918459965,4
171535779,918459969,4
918459969,171535779,4
918459969,918459970,4
918459970,918459969,4
918459970,171535835,4
171535835,918459970,4
335458911,918461183,4
918461183,335458911,4
918461183,215646329,4
215646329,918461183,4
24866490,24866499,4
24866499,24866490,4
24866490,24866489,4
24866489,24866490,4
24866556,24866554,4
24866554,24866556,4
24866650,24866531,4
24866531,24866650,4
171518343,171518344,4
171518344,171518343,4
171518344,171518345,4
171518345,171518344,4
171518345,24866434,4
24866434,171518345,4
24866568,24866571,4
24866571,24866568,4
24866571,24866572,4
24866572,24866571,4
24866572,24866573,4
24866573,24866572,4
24866573,24866650,4
24866650,24866573,4
24866520,24866503,4
24866503,24866520,4
171518491,24866520,4
24866520,171518491,4
24866554,171518343,4
171518343,24866554,4
215673457,171518491,4
171518491,215673457,4
24866531,215673457,4
215673457,24866531,4
24866434,24866568,4
24866568,24866434,4
24866499,880294296,4
880294296,24866499,4
880294296,24866503,4
24866503,880294296,4
24884972,171535342,4
171535342,24884972,4
24884727,24884728,4
24884728,24884727,4
215648577,24884727,4
24884727,215648577,4
24884738,171534867,4
171534867,24884738,4
24884783,215648672,4
215648672,24884783,4
215648672,215648808,4
215648808,215648672,4
24880639,215648360,4
215648360,24880639,4
24880636,215648035,4
215648035,24880636,4
215648035,24880639,4
24880639,215648035,4
24884728,171534640,4
171534640,24884728,4
171535342,243540192,4
243540192,171535342,4
243540192,171535576,4
171535576,243540192,4
275213877,24884783,4
24884783,275213877,4
171534867,275496612,4
275496612,171534867,4
275496629,24884738,4
24884738,275496629,4
171534640,275496629,4
275496629,171534640,4
171535576,275214060,4
275214060,171535576,4
215648808,215648815,4
215648815,215648808,4
215648815,24884972,4
24884972,215648815,4
215648360,215648577,4
215648577,215648360,4
275496612,918466696,4
918466696,275496612,4
918466696,275213877,4
275213877,918466696,4
275214060,957598844,4
957598844,275214060,4
24885021,957598844,4
957598844,24885021,4
24880451,24880447,4
24880447,24880451,4
24867108,24867100,4
24867100,24867108,4
24880447,24880424,4
24880424,24880447,4
216604152,24867108,4
24867108,216604152,4
24880424,216604152,4
216604152,24880424,4
24867100,24867098,4
24867098,24867100,4
24864021,171511251,4
171511251,24864021,4
24864215,171511657,4
171511657,24864215,4
24864203,24864215,4
24864215,24864203,4
24864625,24866110,4
24866110,24864625,4
171511811,216601501,4
216601501,171511811,4
216601566,171511811,4
171511811,216601566,4
171511251,216616427,4
216616427,171511251,4
216616427,842907466,4
842907466,216616427,4
842907466,171511259,4
171511259,842907466,4
216601501,914979200,4
914979200,216601501,4
914979200,171511878,4
171511878,914979200,4
171511259,914996357,4
914996357,171511259,4
914996357,216601600,4
216601600,914996357,4
171511657,918458227,4
918458227,171511657,4
918458227,216601566,4
216601566,918458227,4
171511878,918464466,4
918464466,171511878,4
918464466,24864625,4
24864625,918464466,4
216601600,918469858,4
918469858,216601600,4
918469858,24864203,4
24864203,918469858,4
