County,State,Estimated_Usage_2016,County_State
St. Clair County,Alabama,749.24,St. Clair County_Alabama
Shelby County,Alabama,1814.08,Shelby County_Alabama
Sumter County,Alabama,111.32,Sumter County_Alabama
Talladega County,Alabama,690.42,Talladega County_Alabama
Tallapoosa County,Alabama,348.09,Tallapoosa County_Alabama
Tuscaloosa County,Alabama,1772.76,Tuscaloosa County_Alabama
Walker County,Alabama,553.83,Walker County_Alabama
Washington County,Alabama,142.51,Washington County_Alabama
Wilcox County,Alabama,93.1,Wilcox County_Alabama
Winston County,Alabama,205.11,Winston County_Alabama
Aleutians East Borough,Alaska,29.07,Aleutians East Borough_Alaska
Aleutians West Census Area,Alaska,48.89,Aleutians West Census Area_Alaska
Anchorage Municipality,Alaska,2550.13,Anchorage Municipality_Alaska
Bethel Census Area,Alaska,154.6,Bethel Census Area_Alaska
Bristol Bay Borough,Alaska,7.75,Bristol Bay Borough_Alaska
Denali Borough,Alaska,17.49,Denali Borough_Alaska
Dillingham Census Area,Alaska,42.64,Dillingham Census Area_Alaska
Fairbanks North Star Borough,Alaska,863.87,Fairbanks North Star Borough_Alaska
Haines Borough,Alaska,21.68,Haines Borough_Alaska
Hoonah-Angoon Census Area,Alaska,18.26,Hoonah-Angoon Census Area_Alaska
Juneau City and Borough,Alaska,277.99,Juneau City and Borough_Alaska
Kenai Peninsula Borough,Alaska,501.52,Kenai Peninsula Borough_Alaska
Ketchikan Gateway Borough,Alaska,117.67,Ketchikan Gateway Borough_Alaska
Kodiak Island Borough,Alaska,117.63,Kodiak Island Borough_Alaska
Kusilvak Census Area,Alaska,70.13,Kusilvak Census Area_Alaska
Lake and Peninsula Borough,Alaska,13.71,Lake and Peninsula Borough_Alaska
Matanuska-Susitna Borough,Alaska,893.67,Matanuska-Susitna Borough_Alaska
Nome Census Area,Alaska,85.47,Nome Census Area_Alaska
North Slope Borough,Alaska,83.38,North Slope Borough_Alaska
Northwest Arctic Borough,Alaska,65.97,Northwest Arctic Borough_Alaska
Petersburg Borough,Alaska,28.06,Petersburg Borough_Alaska
Prince of Wales-Hyder Census Area,Alaska,55.91,Prince of Wales-Hyder Census Area_Alaska
Sitka City and Borough,Alaska,74.97,Sitka City and Borough_Alaska
Skagway Municipality,Alaska,9.71,Skagway Municipality_Alaska
Southeast Fairbanks Census Area,Alaska,58.76,Southeast Fairbanks Census Area_Alaska
Valdez-Cordova Census Area,Alaska,79.95,Valdez-Cordova Census Area_Alaska
Wrangell City and Borough,Alaska,21.46,Wrangell City and Borough_Alaska
Yakutat City and Borough,Alaska,5.26,Yakutat City and Borough_Alaska
Yukon-Koyukuk Census Area,Alaska,46.53,Yukon-Koyukuk Census Area_Alaska
Apache County,Arizona,612.64,Apache County_Arizona
Cochise County,Arizona,1079.22,Cochise County_Arizona
Coconino County,Arizona,1205.63,Coconino County_Arizona
Gila County,Arizona,458.21,Gila County_Arizona
Graham County,Arizona,324.52,Graham County_Arizona
Greenlee County,Arizona,82.81,Greenlee County_Arizona
La Paz County,Arizona,177.27,La Paz County_Arizona
Maricopa County,Arizona,36539.05,Maricopa County_Arizona
Mohave County,Arizona,1763.38,Mohave County_Arizona
Navajo County,Arizona,931.13,Navajo County_Arizona
Pima County,Arizona,8731.27,Pima County_Arizona
Pinal County,Arizona,3581,Pinal County_Arizona
Santa Cruz County,Arizona,398.7,Santa Cruz County_Arizona
Yavapai County,Arizona,1927,Yavapai County_Arizona
Yuma County,Arizona,1780.53,Yuma County_Arizona
Arkansas County,Arkansas,155.69,Arkansas County_Arkansas
Ashley County,Arkansas,176.11,Ashley County_Arkansas
Baxter County,Arkansas,352.97,Baxter County_Arkansas
Benton County,Arkansas,2224.24,Benton County_Arkansas
Boone County,Arkansas,319.69,Boone County_Arkansas
Bradley County,Arkansas,94.1,Bradley County_Arkansas
Calhoun County,Arkansas,44.12,Calhoun County_Arkansas
Carroll County,Arkansas,238.12,Carroll County_Arkansas
Chicot County,Arkansas,93.45,Chicot County_Arkansas
Clark County,Arkansas,193.91,Clark County_Arkansas
Clay County,Arkansas,129.14,Clay County_Arkansas
Cleburne County,Arkansas,215.99,Cleburne County_Arkansas
Cleveland County,Arkansas,70.78,Cleveland County_Arkansas
Columbia County,Arkansas,206.34,Columbia County_Arkansas
Conway County,Arkansas,179.07,Conway County_Arkansas
Craighead County,Arkansas,908.03,Craighead County_Arkansas
Crawford County,Arkansas,534.61,Crawford County_Arkansas
Crittenden County,Arkansas,423.38,Crittenden County_Arkansas
Cross County,Arkansas,146.07,Cross County_Arkansas
Dallas County,Arkansas,63.51,Dallas County_Arkansas
Desha County,Arkansas,102.09,Desha County_Arkansas
Drew County,Arkansas,159.18,Drew County_Arkansas
Faulkner County,Arkansas,1047.62,Faulkner County_Arkansas
Franklin County,Arkansas,151.6,Franklin County_Arkansas
Fulton County,Arkansas,103.78,Fulton County_Arkansas
Garland County,Arkansas,843.51,Garland County_Arkansas
Grant County,Arkansas,154.95,Grant County_Arkansas
Greene County,Arkansas,383.79,Greene County_Arkansas
Hempstead County,Arkansas,189.07,Hempstead County_Arkansas
Hot Spring County,Arkansas,286.74,Hot Spring County_Arkansas
Howard County,Arkansas,114.68,Howard County_Arkansas
Independence County,Arkansas,318.47,Independence County_Arkansas
Izard County,Arkansas,115.71,Izard County_Arkansas
Jackson County,Arkansas,148.35,Jackson County_Arkansas
Jefferson County,Arkansas,604.04,Jefferson County_Arkansas
Johnson County,Arkansas,224.37,Johnson County_Arkansas
Lafayette County,Arkansas,59.14,Lafayette County_Arkansas
Lawrence County,Arkansas,142.85,Lawrence County_Arkansas
Lee County,Arkansas,80.14,Lee County_Arkansas
Lincoln County,Arkansas,117.75,Lincoln County_Arkansas
Little River County,Arkansas,106.57,Little River County_Arkansas
Logan County,Arkansas,186.4,Logan County_Arkansas
Lonoke County,Arkansas,616.21,Lonoke County_Arkansas
Madison County,Arkansas,138.24,Madison County_Arkansas
Marion County,Arkansas,140.52,Marion County_Arkansas
Miller County,Arkansas,376.17,Miller County_Arkansas
Mississippi County,Arkansas,367.9,Mississippi County_Arkansas
Monroe County,Arkansas,61.8,Monroe County_Arkansas
Montgomery County,Arkansas,76.78,Montgomery County_Arkansas
Nevada County,Arkansas,71.9,Nevada County_Arkansas
Newton County,Arkansas,67.44,Newton County_Arkansas
Ouachita County,Arkansas,206.05,Ouachita County_Arkansas
Perry County,Arkansas,88.15,Perry County_Arkansas
Phillips County,Arkansas,163.55,Phillips County_Arkansas
Pike County,Arkansas,92.88,Pike County_Arkansas
Poinsett County,Arkansas,205.98,Poinsett County_Arkansas
Polk County,Arkansas,172.9,Polk County_Arkansas
Pope County,Arkansas,548.06,Pope County_Arkansas
Prairie County,Arkansas,70.8,Prairie County_Arkansas
Pulaski County,Arkansas,3383.85,Pulaski County_Arkansas
Randolph County,Arkansas,149.52,Randolph County_Arkansas
St. Francis County,Arkansas,226.03,St. Francis County_Arkansas
Saline County,Arkansas,1009.83,Saline County_Arkansas
Scott County,Arkansas,88.49,Scott County_Arkansas
Searcy County,Arkansas,68.33,Searcy County_Arkansas
Sebastian County,Arkansas,1093.76,Sebastian County_Arkansas
Sevier County,Arkansas,145.69,Sevier County_Arkansas
Sharp County,Arkansas,145.98,Sharp County_Arkansas
Stone County,Arkansas,107.23,Stone County_Arkansas
Union County,Arkansas,342.2,Union County_Arkansas
Van Buren County,Arkansas,142.68,Van Buren County_Arkansas
Washington County,Arkansas,1960.01,Washington County_Arkansas
White County,Arkansas,677.54,White County_Arkansas
Woodruff County,Arkansas,56.77,Woodruff County_Arkansas
Yell County,Arkansas,184.48,Yell County_Arkansas
Alameda County,California,14159.72,Alameda County_California
Alpine County,California,9.07,Alpine County_California
Amador County,California,321.22,Amador County_California
Butte County,California,1943.63,Butte County_California
Calaveras County,California,388.7,Calaveras County_California
Colusa County,California,184.93,Colusa County_California
Contra Costa County,California,9757.19,Contra Costa County_California
Del Norte County,California,235.28,Del Norte County_California
El Dorado County,California,1596.59,El Dorado County_California
Fresno County,California,8390.92,Fresno County_California
Glenn County,California,238.96,Glenn County_California
Humboldt County,California,1169.58,Humboldt County_California
Imperial County,California,1546.71,Imperial County_California
Inyo County,California,154.41,Inyo County_California
Kern County,California,7570.71,Kern County_California
Kings County,California,1282.8,Kings County_California
Lake County,California,548.13,Lake County_California
Lassen County,California,265.18,Lassen County_California
Los Angeles County,California,86834.79,Los Angeles County_California
Madera County,California,1322.7,Madera County_California
Marin County,California,2236.25,Marin County_California
Mariposa County,California,149.76,Mariposa County_California
Mendocino County,California,749.74,Mendocino County_California
Merced County,California,2299.21,Merced County_California
Modoc County,California,76.66,Modoc County_California
Mono County,California,121.85,Mono County_California
Monterey County,California,3730.32,Monterey County_California
Napa County,California,1211.38,Napa County_California
Nevada County,California,849.12,Nevada County_California
Orange County,California,27204.84,Orange County_California
Placer County,California,3254.31,Placer County_California
Plumas County,California,161.06,Plumas County_California
Riverside County,California,20442.58,Riverside County_California
Sacramento County,California,12968.84,Sacramento County_California
San Benito County,California,508.24,San Benito County_California
San Bernardino County,California,18311.33,San Bernardino County_California
San Diego County,California,28402.38,San Diego County_California
San Francisco County,California,7488.63,San Francisco County_California
San Joaquin County,California,6282.19,San Joaquin County_California
San Luis Obispo County,California,2419.22,San Luis Obispo County_California
San Mateo County,California,6591.23,San Mateo County_California
Santa Barbara County,California,3815.34,Santa Barbara County_California
Santa Clara County,California,16555.91,Santa Clara County_California
Santa Cruz County,California,2356.96,Santa Cruz County_California
Shasta County,California,1532.23,Shasta County_California
Sierra County,California,25.37,Sierra County_California
Siskiyou County,California,373.05,Siskiyou County_California
Solano County,California,3769.22,Solano County_California
Sonoma County,California,4317.9,Sonoma County_California
Stanislaus County,California,4629.3,Stanislaus County_California
Sutter County,California,822.81,Sutter County_California
Tehama County,California,543.56,Tehama County_California
Trinity County,California,110.08,Trinity County_California
Tulare County,California,3947.02,Tulare County_California
Tuolumne County,California,460.78,Tuolumne County_California
Ventura County,California,7283.79,Ventura County_California
Yolo County,California,1849.26,Yolo County_California
Yuba County,California,643.52,Yuba County_California
Adams County,Colorado,4275,Adams County_Colorado
Alamosa County,Colorado,141.24,Alamosa County_Colorado
Arapahoe County,Colorado,5478.97,Arapahoe County_Colorado
Archuleta County,Colorado,110.1,Archuleta County_Colorado
Baca County,Colorado,30.27,Baca County_Colorado
Bent County,Colorado,48.43,Bent County_Colorado
Boulder County,Colorado,2767.3,Boulder County_Colorado
Broomfield County,Colorado,570.35,Broomfield County_Colorado
Chaffee County,Colorado,163.78,Chaffee County_Colorado
Cheyenne County,Colorado,15.86,Cheyenne County_Colorado
Clear Creek County,Colorado,80.27,Clear Creek County_Colorado
Conejos County,Colorado,69.13,Conejos County_Colorado
Costilla County,Colorado,31.71,Costilla County_Colorado
Crowley County,Colorado,45.14,Crowley County_Colorado
Custer County,Colorado,39.41,Custer County_Colorado
Delta County,Colorado,260.46,Delta County_Colorado
Denver County,Colorado,5977.02,Denver County_Colorado
Dolores County,Colorado,17.64,Dolores County_Colorado
Douglas County,Colorado,2815.01,Douglas County_Colorado
Eagle County,Colorado,468.29,Eagle County_Colorado
Elbert County,Colorado,215.69,Elbert County_Colorado
El Paso County,Colorado,5908.97,El Paso County_Colorado
Fremont County,Colorado,403.11,Fremont County_Colorado
Garfield County,Colorado,504.91,Garfield County_Colorado
Gilpin County,Colorado,50.74,Gilpin County_Colorado
Grand County,Colorado,130.16,Grand County_Colorado
Gunnison County,Colorado,141.48,Gunnison County_Colorado
Hinsdale County,Colorado,6.76,Hinsdale County_Colorado
Huerfano County,Colorado,56.45,Huerfano County_Colorado
Jackson County,Colorado,11.64,Jackson County_Colorado
Jefferson County,Colorado,4905.9,Jefferson County_Colorado
Kiowa County,Colorado,11.51,Kiowa County_Colorado
Kit Carson County,Colorado,65.42,Kit Carson County_Colorado
Lake County,Colorado,65.07,Lake County_Colorado
La Plata County,Colorado,474.12,La Plata County_Colorado
Larimer County,Colorado,2908,Larimer County_Colorado
Las Animas County,Colorado,120.77,Las Animas County_Colorado
Lincoln County,Colorado,47.61,Lincoln County_Colorado
Logan County,Colorado,186.47,Logan County_Colorado
Mesa County,Colorado,1285.62,Mesa County_Colorado
Mineral County,Colorado,6.5,Mineral County_Colorado
Moffat County,Colorado,112.77,Moffat County_Colorado
Montezuma County,Colorado,223.07,Montezuma County_Colorado
Montrose County,Colorado,353.22,Montrose County_Colorado
Morgan County,Colorado,241.47,Morgan County_Colorado
Otero County,Colorado,156.26,Otero County_Colorado
Ouray County,Colorado,41.08,Ouray County_Colorado
Park County,Colorado,148.97,Park County_Colorado
Phillips County,Colorado,36.75,Phillips County_Colorado
Pitkin County,Colorado,154.16,Pitkin County_Colorado
Prowers County,Colorado,102.68,Prowers County_Colorado
Pueblo County,Colorado,1414.65,Pueblo County_Colorado
Rio Blanco County,Colorado,55.5,Rio Blanco County_Colorado
Rio Grande County,Colorado,97.27,Rio Grande County_Colorado
Routt County,Colorado,212.67,Routt County_Colorado
Saguache County,Colorado,54.96,Saguache County_Colorado
San Juan County,Colorado,5.91,San Juan County_Colorado
San Miguel County,Colorado,68.84,San Miguel County_Colorado
Sedgwick County,Colorado,20.64,Sedgwick County_Colorado
Summit County,Colorado,263.2,Summit County_Colorado
Teller County,Colorado,206.23,Teller County_Colorado
Washington County,Colorado,41.49,Washington County_Colorado
Weld County,Colorado,2530.82,Weld County_Colorado
Yuma County,Colorado,86.49,Yuma County_Colorado
Fairfield County,Connecticut,8106.45,Fairfield County_Connecticut
Hartford County,Connecticut,7672.03,Hartford County_Connecticut
Litchfield County,Connecticut,1568.44,Litchfield County_Connecticut
Middlesex County,Connecticut,1399.85,Middlesex County_Connecticut
New Haven County,Connecticut,7361.61,New Haven County_Connecticut
New London County,Connecticut,2304.71,New London County_Connecticut
Tolland County,Connecticut,1296.39,Tolland County_Connecticut
Windham County,Connecticut,995.73,Windham County_Connecticut
Kent County,Delaware,1497.46,Kent County_Delaware
New Castle County,Delaware,4765.39,New Castle County_Delaware
Sussex County,Delaware,1881.48,Sussex County_Delaware
District of Columbia,District of Columbia,5890.85,District of Columbia_District of Columbia
Alachua County,Florida,2267.6,Alachua County_Florida
Baker County,Florida,239.14,Baker County_Florida
Bay County,Florida,1573.44,Bay County_Florida
Bradford County,Florida,229.4,Bradford County_Florida
Brevard County,Florida,4953.59,Brevard County_Florida
Broward County,Florida,16413.45,Broward County_Florida
Calhoun County,Florida,122.99,Calhoun County_Florida
Charlotte County,Florida,1524.86,Charlotte County_Florida
Citrus County,Florida,1225.66,Citrus County_Florida
Clay County,Florida,1778.19,Clay County_Florida
Collier County,Florida,3134.68,Collier County_Florida
Columbia County,Florida,593.89,Columbia County_Florida
DeSoto County,Florida,311.12,DeSoto County_Florida
Dixie County,Florida,141.24,Dixie County_Florida
Duval County,Florida,7945.1,Duval County_Florida
Escambia County,Florida,2673,Escambia County_Florida
Flagler County,Florida,921.08,Flagler County_Florida
Franklin County,Florida,101.5,Franklin County_Florida
Gadsden County,Florida,395.12,Gadsden County_Florida
Gilchrist County,Florida,150.99,Gilchrist County_Florida
Glades County,Florida,115.14,Glades County_Florida
Gulf County,Florida,137.8,Gulf County_Florida
Hamilton County,Florida,122.77,Hamilton County_Florida
Hardee County,Florida,233.63,Hardee County_Florida
Hendry County,Florida,344.09,Hendry County_Florida
Hernando County,Florida,1566.36,Hernando County_Florida
Highlands County,Florida,876.8,Highlands County_Florida
Hillsborough County,Florida,11848.98,Hillsborough County_Florida
Holmes County,Florida,166.36,Holmes County_Florida
Indian River County,Florida,1297.72,Indian River County_Florida
Jackson County,Florida,414.73,Jackson County_Florida
Jefferson County,Florida,119.59,Jefferson County_Florida
Lafayette County,Florida,75.19,Lafayette County_Florida
Lake County,Florida,2872.16,Lake County_Florida
Lee County,Florida,6198.11,Lee County_Florida
Leon County,Florida,2462.28,Leon County_Florida
Levy County,Florida,341.74,Levy County_Florida
Liberty County,Florida,71.23,Liberty County_Florida
Madison County,Florida,157.01,Madison County_Florida
Manatee County,Florida,3220.97,Manatee County_Florida
Marion County,Florida,2983.86,Marion County_Florida
Martin County,Florida,1359.3,Martin County_Florida
Miami-Dade County,Florida,23359.84,Miami-Dade County_Florida
Monroe County,Florida,660.51,Monroe County_Florida
Nassau County,Florida,686.48,Nassau County_Florida
Okaloosa County,Florida,1718.24,Okaloosa County_Florida
Okeechobee County,Florida,349.35,Okeechobee County_Florida
Orange County,Florida,11367.23,Orange County_Florida
Osceola County,Florida,2897.74,Osceola County_Florida
Palm Beach County,Florida,12452.95,Palm Beach County_Florida
Pasco County,Florida,4375.22,Pasco County_Florida
Pinellas County,Florida,8243.18,Pinellas County_Florida
Polk County,Florida,5716.34,Polk County_Florida
Putnam County,Florida,621.01,Putnam County_Florida
St. Johns County,Florida,2016.28,St. Johns County_Florida
St. Lucie County,Florida,2624.1,St. Lucie County_Florida
Santa Rosa County,Florida,1457.68,Santa Rosa County_Florida
Sarasota County,Florida,3543.79,Sarasota County_Florida
Seminole County,Florida,3909.63,Seminole County_Florida
Sumter County,Florida,1046.72,Sumter County_Florida
Suwannee County,Florida,376.12,Suwannee County_Florida
Taylor County,Florida,189.75,Taylor County_Florida
Union County,Florida,130.86,Union County_Florida
Volusia County,Florida,4536.68,Volusia County_Florida
Wakulla County,Florida,273.64,Wakulla County_Florida
Walton County,Florida,561.22,Walton County_Florida
Washington County,Florida,209.96,Washington County_Florida
Appling County,Georgia,158.08,Appling County_Georgia
Atkinson County,Georgia,70.8,Atkinson County_Georgia
Bacon County,Georgia,96.96,Bacon County_Georgia
Baker County,Georgia,27.34,Baker County_Georgia
Baldwin County,Georgia,388.08,Baldwin County_Georgia
Banks County,Georgia,157.2,Banks County_Georgia
Barrow County,Georgia,660.36,Barrow County_Georgia
Bartow County,Georgia,886.66,Bartow County_Georgia
Ben Hill County,Georgia,147.71,Ben Hill County_Georgia
Berrien County,Georgia,162.78,Berrien County_Georgia
Bibb County,Georgia,1314.29,Bibb County_Georgia
Bleckley County,Georgia,110.31,Bleckley County_Georgia
Brantley County,Georgia,157.67,Brantley County_Georgia
Brooks County,Georgia,135.03,Brooks County_Georgia
Bryan County,Georgia,307.47,Bryan County_Georgia
Bulloch County,Georgia,641,Bulloch County_Georgia
Burke County,Georgia,193.75,Burke County_Georgia
Butts County,Georgia,203.42,Butts County_Georgia
Calhoun County,Georgia,54.5,Calhoun County_Georgia
Camden County,Georgia,449.92,Camden County_Georgia
Candler County,Georgia,93.07,Candler County_Georgia
Carroll County,Georgia,996.34,Carroll County_Georgia
Catoosa County,Georgia,568.81,Catoosa County_Georgia
Charlton County,Georgia,110.15,Charlton County_Georgia
Chatham County,Georgia,2476.49,Chatham County_Georgia
Chattahoochee County,Georgia,86.56,Chattahoochee County_Georgia
Chattooga County,Georgia,213.01,Chattooga County_Georgia
Cherokee County,Georgia,2075.62,Cherokee County_Georgia
Clarke County,Georgia,1071.6,Clarke County_Georgia
Clay County,Georgia,25.78,Clay County_Georgia
Clayton County,Georgia,2399.29,Clayton County_Georgia
Clinch County,Georgia,58.01,Clinch County_Georgia
Cobb County,Georgia,6422.71,Cobb County_Georgia
Coffee County,Georgia,368.33,Coffee County_Georgia
Colquitt County,Georgia,390.32,Colquitt County_Georgia
Columbia County,Georgia,1265.36,Columbia County_Georgia
Cook County,Georgia,147.23,Cook County_Georgia
Coweta County,Georgia,1204.8,Coweta County_Georgia
Crawford County,Georgia,105.48,Crawford County_Georgia
Crisp County,Georgia,196.42,Crisp County_Georgia
Dade County,Georgia,139.17,Dade County_Georgia
Dawson County,Georgia,202.56,Dawson County_Georgia
Decatur County,Georgia,228.94,Decatur County_Georgia
DeKalb County,Georgia,6413.44,DeKalb County_Georgia
Dodge County,Georgia,178.8,Dodge County_Georgia
Dooly County,Georgia,118.82,Dooly County_Georgia
Dougherty County,Georgia,775.39,Dougherty County_Georgia
Douglas County,Georgia,1217.27,Douglas County_Georgia
Early County,Georgia,88.31,Early County_Georgia
Echols County,Georgia,34,Echols County_Georgia
Effingham County,Georgia,503.58,Effingham County_Georgia
Elbert County,Georgia,164.25,Elbert County_Georgia
Emanuel County,Georgia,192.36,Emanuel County_Georgia
Evans County,Georgia,91.36,Evans County_Georgia
Fannin County,Georgia,214.78,Fannin County_Georgia
Fayette County,Georgia,955.27,Fayette County_Georgia
Floyd County,Georgia,829.48,Floyd County_Georgia
Forsyth County,Georgia,1890.28,Forsyth County_Georgia
Franklin County,Georgia,191.27,Franklin County_Georgia
Fulton County,Georgia,8774.94,Fulton County_Georgia
Gilmer County,Georgia,256.6,Gilmer County_Georgia
Glascock County,Georgia,25.56,Glascock County_Georgia
Glynn County,Georgia,722.79,Glynn County_Georgia
Gordon County,Georgia,488.49,Gordon County_Georgia
Grady County,Georgia,213.16,Grady County_Georgia
Greene County,Georgia,144.97,Greene County_Georgia
Gwinnett County,Georgia,7767.33,Gwinnett County_Georgia
Habersham County,Georgia,378.58,Habersham County_Georgia
Hall County,Georgia,1686.18,Hall County_Georgia
Hancock County,Georgia,74.05,Hancock County_Georgia
Haralson County,Georgia,247.31,Haralson County_Georgia
Harris County,Georgia,288.56,Harris County_Georgia
Hart County,Georgia,218.77,Hart County_Georgia
Heard County,Georgia,99.32,Heard County_Georgia
Henry County,Georgia,1897.81,Henry County_Georgia
Houston County,Georgia,1301.51,Houston County_Georgia
Irwin County,Georgia,79.94,Irwin County_Georgia
Jackson County,Georgia,558.56,Jackson County_Georgia
Jasper County,Georgia,118.14,Jasper County_Georgia
Jeff Davis County,Georgia,128.31,Jeff Davis County_Georgia
Jefferson County,Georgia,135.22,Jefferson County_Georgia
Jenkins County,Georgia,75.18,Jenkins County_Georgia
Johnson County,Georgia,82.92,Johnson County_Georgia
Jones County,Georgia,245.19,Jones County_Georgia
Lamar County,Georgia,158.73,Lamar County_Georgia
Lanier County,Georgia,89.46,Lanier County_Georgia
Laurens County,Georgia,405.85,Laurens County_Georgia
Lee County,Georgia,250.64,Lee County_Georgia
Liberty County,Georgia,528.11,Liberty County_Georgia
Lincoln County,Georgia,67.4,Lincoln County_Georgia
Long County,Georgia,157.42,Long County_Georgia
Lowndes County,Georgia,981.06,Lowndes County_Georgia
Lumpkin County,Georgia,270.31,Lumpkin County_Georgia
McDuffie County,Georgia,184.19,McDuffie County_Georgia
McIntosh County,Georgia,120.62,McIntosh County_Georgia
Macon County,Georgia,115.72,Macon County_Georgia
Madison County,Georgia,247.29,Madison County_Georgia
Marion County,Georgia,72.63,Marion County_Georgia
Meriwether County,Georgia,180.83,Meriwether County_Georgia
Miller County,Georgia,50.39,Miller County_Georgia
Mitchell County,Georgia,192.76,Mitchell County_Georgia
Monroe County,Georgia,231.1,Monroe County_Georgia
Montgomery County,Georgia,77.14,Montgomery County_Georgia
Morgan County,Georgia,155.32,Morgan County_Georgia
Murray County,Georgia,337.84,Murray County_Georgia
Muscogee County,Georgia,1683.39,Muscogee County_Georgia
Newton County,Georgia,914.63,Newton County_Georgia
Oconee County,Georgia,316.36,Oconee County_Georgia
Oglethorpe County,Georgia,126.21,Oglethorpe County_Georgia
Paulding County,Georgia,1333.03,Paulding County_Georgia
Peach County,Georgia,229.73,Peach County_Georgia
Pickens County,Georgia,263.07,Pickens County_Georgia
Pierce County,Georgia,163.96,Pierce County_Georgia
Pike County,Georgia,153.48,Pike County_Georgia
Polk County,Georgia,357.14,Polk County_Georgia
Pulaski County,Georgia,96.87,Pulaski County_Georgia
Putnam County,Georgia,184.7,Putnam County_Georgia
Quitman County,Georgia,19.96,Quitman County_Georgia
Rabun County,Georgia,141.32,Rabun County_Georgia
Randolph County,Georgia,61.38,Randolph County_Georgia
Richmond County,Georgia,1731.46,Richmond County_Georgia
Rockdale County,Georgia,763.81,Rockdale County_Georgia
Schley County,Georgia,44.38,Schley County_Georgia
Screven County,Georgia,120.12,Screven County_Georgia
Seminole County,Georgia,72.28,Seminole County_Georgia
Spalding County,Georgia,554.01,Spalding County_Georgia
Stephens County,Georgia,220.2,Stephens County_Georgia
Stewart County,Georgia,51.61,Stewart County_Georgia
Sumter County,Georgia,260.46,Sumter County_Georgia
Talbot County,Georgia,54.52,Talbot County_Georgia
Taliaferro County,Georgia,13.84,Taliaferro County_Georgia
Tattnall County,Georgia,217.03,Tattnall County_Georgia
Taylor County,Georgia,70.25,Taylor County_Georgia
Telfair County,Georgia,136.53,Telfair County_Georgia
Terrell County,Georgia,76.06,Terrell County_Georgia
Thomas County,Georgia,385.83,Thomas County_Georgia
Tift County,Georgia,347.94,Tift County_Georgia
Toombs County,Georgia,232.9,Toombs County_Georgia
Towns County,Georgia,97.87,Towns County_Georgia
Treutlen County,Georgia,57.52,Treutlen County_Georgia
Troup County,Georgia,599.95,Troup County_Georgia
