Line_ID,Start_Object_ID,End_Object_ID,Full_Line_ID
20594j,11397,11398,20594
13512,20285,20320,13512
47302a,18392,18393,47302
47302b,18393,18399,47302
47302c,18399,18400,47302
15947a,18399,18392,15947
15947b,18392,18393,15947
42414a,18393,18399,42414
42414b,18399,18392,42414
42414c,18392,18400,42414
38701a,18399,18393,38701
38701b,18393,18392,38701
19825a,11449,11407,19825
19825b,11407,11423,19825
40948a,11407,11449,40948
40948b,11449,11423,40948
40948c,11423,11448,40948
13578a,11423,11449,13578
13578b,11449,11407,13578
13578c,11407,11436,13578
34462a,11423,11449,34462
34462b,11449,11407,34462
13747a,11448,20299,13747
13747b,20299,20286,13747
13747c,20286,20303,13747
3887,11448,20304,3887
3316a,20271,20270,3316
3316b,20270,20266,3316
5590a,20266,20270,5590
5590b,20270,20271,5590
5590c,20271,20318,5590
44624a,20266,20270,44624
44624b,20270,20271,44624
22856a,20266,20270,22856
22856b,20270,20271,22856
22856c,20271,20316,22856
13857a,20316,20271,13857
13857b,20271,20266,13857
13857c,20266,20270,13857
32048a,20271,20266,32048
32048b,20266,20270,32048
32048c,20270,20318,32048
27973,11394,11393,27973
5462,11394,11373,5462
42524,20269,20320,42524
1394,20318,20304,1394
27399,20282,20281,27399
7512a,20304,20318,7512
7512b,20318,20303,7512
40650,20318,20281,40650
14370a,11433,11417,14370
14370b,11417,11416,14370
47606a,11433,11416,47606
47606b,11416,11417,47606
389a,20299,20286,389
389b,20286,20303,389
48515,11405,11406,48515
30735a,11435,11406,30735
30735b,11406,11405,30735
16843,11406,11405,16843
29010a,11417,11416,29010
29010b,11416,20301,29010
30865a,18341,11404,30865
30865b,11404,11429,30865
34017,18364,11447,34017
38220,18364,20320,38220
47327,18341,18340,47327
37843a,18341,11447,37843
37843b,11447,18340,37843
37843c,18340,11398,37843
37843d,11398,11397,37843
17832a,11404,11429,17832
17832b,11429,11447,17832
17832c,11447,11398,17832
17832d,11398,11397,17832
9630a,11429,11404,9630
9630b,11404,11438,9630
16785a,11429,11404,16785
16785b,11404,11447,16785
1216,11429,11404,1216
7589,18363,20317,7589
46868a,18363,20317,46868
46868b,20317,20320,46868
36566,20317,20320,36566
17946a,11437,11428,17946
17946b,11428,11427,17946
17946c,11427,11426,17946
30a,11425,11424,30
30b,11424,11426,30
30c,11426,11427,30
27011a,11424,11425,27011
27011b,11425,11398,27011
27011c,11398,11397,27011
6763a,11395,11414,6763
6763b,11414,11415,6763
24954a,11440,11413,24954
24954b,11413,11412,24954
19950a,11424,11425,19950
19950b,11425,11390,19950
19950c,11390,11396,19950
19950d,11396,11398,19950
19950e,11398,11397,19950
9814a,11413,11412,9814
9814b,11412,11424,9814
9814c,11424,11425,9814
9814d,11425,11440,9814
25878a,11426,11427,25878
25878b,11427,11428,25878
42202a,11413,11440,42202
42202b,11440,11412,42202
46823a,11395,11414,46823
46823b,11414,11415,46823
47071a,11412,11413,47071
47071b,11413,11424,47071
47071c,11424,11425,47071
47071d,11425,11440,47071
47105a,11427,11424,47105
47105b,11424,11425,47105
47105c,11425,11426,47105
7279a,11440,11414,7279
7279b,11414,11415,7279
7279c,11415,11412,7279
7279d,11412,11395,7279
7279e,11395,11413,7279
9022a,11426,11437,9022
9022b,11437,11427,9022
11183a,11413,11414,11183
11183b,11414,11415,11183
11183c,11415,11440,11183
11183d,11440,11412,11183
11183e,11412,11395,11183
40599a,11426,11427,40599
40599b,11427,11437,40599
9910a,11447,11398,9910
9910b,11398,11397,9910
11262,18340,18343,11262
8393,18340,18343,8393
48359a,18318,18317,48359
48359b,18317,11269,48359
476,18347,18345,476
42876a,18317,18318,42876
42876b,18318,18316,42876
42876c,18316,18315,42876
24815a,11269,18317,24815
24815b,18317,18318,24815
15038a,18347,18316,15038
15038b,18316,18315,15038
49603,18347,18348,49603
48342a,18317,18318,48342
48342b,18318,11281,48342
9843a,18347,18345,9843
9843b,18345,18342,9843
9843c,18342,18360,9843
49600,18347,18348,49600
49601,18347,11242,49601
33985a,18318,18317,33985
33985b,18317,11281,33985
4815a,18347,18316,4815
4815b,18316,18315,4815
4815c,18315,18334,4815
4815d,18334,18324,4815
4815e,18324,18333,4815
4815f,18333,18356,4815
4815g,18356,18355,4815
4815h,18355,18326,4815
26729a,18347,18316,26729
26729b,18316,18315,26729
30640a,18318,18317,30640
30640b,18317,18315,30640
30640c,18315,18316,30640
47163a,18315,18316,47163
47163b,18316,18334,47163
47163c,18334,18356,47163
47163d,18356,18333,47163
29801,18345,18360,29801
39201a,18316,18315,39201
39201b,18315,18333,39201
39201c,18333,18334,39201
39201d,18334,18356,39201
8834a,18312,18301,8834
8834b,18301,18311,8834
8834c,18311,18337,8834
8834d,18337,18310,8834
39757a,18311,18312,39757
39757b,18312,18313,39757
39757c,18313,18314,39757
45573a,18311,18301,45573
45573b,18301,18312,45573
45573c,18312,18337,45573
45573d,18337,18310,45573
45573e,18310,18309,45573
45573f,18309,18326,45573
45573g,18326,16389,45573
45573h,16389,16390,45573
45573i,16390,16430,45573
45573j,16430,16350,45573
45573k,16350,16347,45573
28257a,18358,18306,28257
28257b,18306,18305,28257
25429a,18358,11252,25429
25429b,11252,11253,25429
25429c,11253,11282,25429
25429d,11282,18357,25429
25429e,18357,18355,25429
25429f,18355,18308,25429
25429g,18308,18306,25429
25429h,18306,18305,25429
25429i,18305,18307,25429
25429j,18307,11275,25429
26817a,18312,18311,26817
26817b,18311,18355,26817
26817c,18355,18309,26817
26817d,18309,18326,26817
5410a,18299,18314,5410
5410b,18314,18313,5410
5410c,18313,18359,5410
42078a,18358,11282,42078
42078b,11282,11252,42078
42078c,11252,11253,42078
42078d,11253,18306,42078
42078e,18306,18305,42078
16806a,18312,18311,16806
16806b,18311,18301,16806
16806c,18301,18353,16806
16806d,18353,18337,16806
17841a,18299,18359,17841
17841b,18359,18313,17841
17841c,18313,18314,17841
43349a,18311,18312,43349
43349b,18312,18313,43349
43349c,18313,18314,43349
12165a,18311,18312,12165
12165b,18312,18309,12165
12165c,18309,18355,12165
12165d,18355,18326,12165
43356a,18301,18312,43356
43356b,18312,18311,43356
43356c,18311,18310,43356
43356d,18310,18337,43356
43356e,18337,16362,43356
43356f,16362,16349,43356
43356g,16349,16348,43356
43356h,16348,16344,43356
43356i,16344,16361,43356
43356j,16361,16360,43356
43356k,16360,18355,43356
1208a,18358,18306,1208
1208b,18306,18305,1208
1208c,18305,18307,1208
1208d,18307,18308,1208
1208e,18308,18357,1208
16419a,18358,18305,16419
16419b,18305,18306,16419
12131a,18358,18307,12131
12131b,18307,18308,12131
12131c,18308,18357,12131
12131d,18357,18305,12131
12131e,18305,18306,12131
14959a,18312,18311,14959
14959b,18311,18301,14959
14959c,18301,18310,14959
14959d,18310,18337,14959
14959e,18337,18326,14959
14959f,18326,18309,14959
14959g,18309,16430,14959
14959h,16430,16390,14959
14959i,16390,16389,14959
14959j,16389,16347,14959
14959k,16347,16350,14959
19066a,18358,11253,19066
19066b,11253,11282,19066
19066c,11282,11252,19066
19066d,11252,18305,19066
19066e,18305,18306,19066
31196a,18356,18333,31196
31196b,18333,18334,31196
31196c,18334,18324,31196
31196d,18324,18309,31196
31196e,18309,18326,31196
31196f,18326,18355,31196
34081a,18356,18334,34081
34081b,18334,18324,34081
34081c,18324,18333,34081
16780a,18324,18355,16780
16780b,18355,18309,16780
16780c,18309,18326,16780
24010a,18333,18334,24010
24010b,18334,18356,24010
156,18324,18354,156
19003a,18334,18333,19003
19003b,18333,18356,19003
18365a,18329,18325,18365
18365b,18325,18330,18365
18365c,18330,18352,18365
43687a,18329,18330,43687
43687b,18330,18352,43687
43687c,18352,18351,43687
13983,18325,18323,13983
26195a,18329,18330,26195
26195b,18330,18352,26195
24253a,18325,18329,24253
24253b,18329,18330,24253
24253c,18330,18352,24253
24253d,18352,18323,24253
24253e,18323,18326,24253
24253f,18326,18309,24253
2923a,18325,18294,2923
2923b,18294,18323,2923
2923c,18323,18309,2923
2923d,18309,18326,2923
2923e,18326,18322,2923
2923f,18322,18362,2923
2923g,18362,18321,2923
2923h,18321,18304,2923
29889a,18330,18329,29889
29889b,18329,18352,29889
48341a,18325,18294,48341
48341b,18294,18323,48341
48341c,18323,18309,48341
48341d,18309,18326,48341
48341e,18326,18304,48341
48341f,18304,18362,48341
48341g,18362,18321,48341
48341h,18321,18322,48341
16976,18310,16360,16976
4661a,18310,16350,4661
4661b,16350,16347,4661
26768a,16232,16349,26768
26768b,16349,16348,26768
26768c,16348,16362,26768
26768d,16362,16233,26768
26768e,16233,16227,26768
26768f,16227,16226,26768
11454a,16232,16226,11454
11454b,16226,16227,11454
24916a,16232,16226,24916
24916b,16226,16227,24916
12566,16232,16233,12566
7662a,16349,16362,7662
7662b,16362,16348,7662
19896a,16348,16349,19896
19896b,16349,16362,19896
13345a,16362,16348,13345
13345b,16348,16349,13345
11941a,16362,16348,11941
11941b,16348,16349,11941
11941c,16349,16226,11941
11941d,16226,16227,11941
30598a,16349,16362,30598
30598b,16362,16348,30598
30598c,16348,16226,30598
30598d,16226,16227,30598
30528a,16362,16348,30528
30528b,16348,16349,30528
30528c,16349,16361,30528
47919a,18313,16363,47919
47919b,16363,18314,47919
33193a,18313,18314,33193
33193b,18314,16363,33193
9266,16329,16344,9266
18825,16344,16361,18825
41236,16360,16344,41236
14015a,11283,11255,14015
14015b,11255,11254,14015
14015c,11254,11284,14015
14015d,11284,11259,14015
14015e,11259,11258,14015
14015f,11258,11257,14015
14015g,11257,11256,14015
15361a,11255,11254,15361
15361b,11254,11283,15361
15361c,11283,16231,15361
15361d,16231,16227,15361
15361e,16227,16226,15361
43236a,11283,11254,43236
43236b,11254,11255,43236
44999a,11283,11254,44999
44999b,11254,11255,44999
44999c,11255,11257,44999
44999d,11257,11256,44999
33250a,16231,16227,33250
33250b,16227,16226,33250
16440a,16231,11254,16440
16440b,11254,11255,16440
16440c,11255,11283,16440
29437a,11283,11255,29437
29437b,11255,11254,29437
32007a,18328,18327,32007
