Plant_ID,Total_MW,PrimSource
132,8.5,hydroelectric
133,8.5,hydroelectric
134,163.4,natural gas
136,172,hydroelectric
137,25.2,hydroelectric
139,52,hydroelectric
140,2,hydroelectric
141,3.5,hydroelectric
142,1020,natural gas
143,1.7,hydroelectric
144,12,hydroelectric
145,2,hydroelectric
146,61,hydroelectric
147,69.9,hydroelectric
148,95,hydroelectric
149,160,hydroelectric
150,80,hydroelectric
151,113,hydroelectric
152,120,hydroelectric
153,9.2,hydroelectric
154,126,hydroelectric
155,3.2,hydroelectric
156,4.2,hydroelectric
157,44,hydroelectric
159,7,hydroelectric
160,4.4,hydroelectric
161,5.8,hydroelectric
162,7,hydroelectric
163,91,hydroelectric
164,644,geothermal
165,58,hydroelectric
166,6.4,hydroelectric
168,14.5,hydroelectric
169,17.2,hydroelectric
170,20,hydroelectric
171,28,hydroelectric
172,34,hydroelectric
173,1.9,hydroelectric
174,18.8,hydroelectric
175,1689,coal
176,34,geothermal
177,858,natural gas
179,3.8,hydroelectric
180,1997,natural gas
181,8.5,hydroelectric
182,88.4,hydroelectric
183,66.6,hydroelectric
184,173.5,hydroelectric
185,100,hydroelectric
186,70.8,hydroelectric
187,100,hydroelectric
188,7.3,hydroelectric
189,8.4,hydroelectric
190,8.2,hydroelectric
191,3.8,hydroelectric
192,1.6,hydroelectric
193,10.6,hydroelectric
194,3,hydroelectric
195,451.6,natural gas
196,1.8,hydroelectric
197,2.3,hydroelectric
198,4.5,hydroelectric
199,40.2,hydroelectric
200,26.4,hydroelectric
201,260,natural gas
202,3,hydroelectric
203,160,hydroelectric
204,1491,natural gas
205,11.3,hydroelectric
206,10.8,hydroelectric
207,1310,natural gas
208,11.4,hydroelectric
209,972,natural gas
210,3.2,hydroelectric
211,3.1,hydroelectric
212,2.6,hydroelectric
213,1177,nuclear
214,27.7,hydroelectric
215,256,natural gas
216,0.7,hydroelectric
217,156.8,hydroelectric
218,100,hydroelectric
219,115.5,hydroelectric
220,1036,coal
221,9.8,hydroelectric
222,7.3,hydroelectric
223,19.1,hydroelectric
224,0,hydroelectric
225,342,natural gas
228,1678.9,pumped storage
229,37.5,hydroelectric
230,2.4,hydroelectric
231,9.9,hydroelectric
232,2,hydroelectric
233,5,hydroelectric
234,439,natural gas
235,1595.4,natural gas
236,37.5,hydroelectric
237,2.7,hydroelectric
238,6.1,hydroelectric
239,785.5,natural gas
241,36.5,hydroelectric
242,576,natural gas
243,94.5,hydroelectric
244,9,hydroelectric
245,44,hydroelectric
246,27.3,hydroelectric
247,11,hydroelectric
248,72,hydroelectric
249,25.8,hydroelectric
250,36,hydroelectric
251,9,hydroelectric
254,235.6,natural gas
256,16,hydroelectric
257,132,hydroelectric
258,6,hydroelectric
259,86,hydroelectric
261,155.9,hydroelectric
262,156.2,hydroelectric
263,74.1,hydroelectric
264,25.5,hydroelectric
265,241.5,hydroelectric
266,262,hydroelectric
267,743.1,hydroelectric
268,115.1,pumped storage
269,203.2,hydroelectric
270,4.3,hydroelectric
271,215.1,hydroelectric
272,177.4,hydroelectric
273,117,hydroelectric
274,16.6,hydroelectric
275,714,hydroelectric
276,14.4,pumped storage
277,120,hydroelectric
278,401,pumped storage
279,180,hydroelectric
280,140,hydroelectric
281,315,hydroelectric
282,46.7,hydroelectric
283,1.4,hydroelectric
284,10,petroleum
285,27,natural gas
286,5,hydroelectric
287,324,pumped storage
288,886,natural gas
289,1410,coal
290,14,natural gas
291,1.6,hydroelectric
292,3.1,hydroelectric
294,15,hydroelectric
295,43,natural gas
296,2.8,hydroelectric
297,2.8,hydroelectric
298,7.9,hydroelectric
299,1.9,hydroelectric
300,3.1,hydroelectric
301,5.9,hydroelectric
302,4.1,hydroelectric
303,5.5,hydroelectric
304,1.5,petroleum
305,208,coal
306,55,natural gas
307,5.6,hydroelectric
308,1,hydroelectric
310,2.2,petroleum
311,17.2,hydroelectric
312,14.4,petroleum
313,5.1,petroleum
314,51.7,coal
315,50,geothermal
316,9.2,petroleum
317,86.4,hydroelectric
318,51.6,hydroelectric
319,173.2,hydroelectric
320,5.2,hydroelectric
321,26,hydroelectric
322,9.3,hydroelectric
323,94.5,hydroelectric
324,38.2,hydroelectric
325,5.6,hydroelectric
326,9.9,hydroelectric
327,441,coal
328,100,coal
329,7.2,hydroelectric
330,663,natural gas
331,10,hydroelectric
332,77,natural gas
334,29.4,pumped storage
335,17.4,petroleum
336,8.4,hydroelectric
337,95.6,petroleum
338,132.5,petroleum
339,496.4,petroleum
340,1168,pumped storage
341,56.2,biomass
343,41.5,hydroelectric
344,28.9,hydroelectric
345,2,hydroelectric
346,18.1,petroleum
347,8,hydroelectric
348,9.9,hydroelectric
349,16.1,petroleum
350,770.2,petroleum
351,148.4,petroleum
352,1191,coal
353,17.4,petroleum
354,2087.8,nuclear
355,400.4,coal
356,3.2,hydroelectric
357,15.3,petroleum
358,1,hydroelectric
359,30,hydroelectric
360,3.8,hydroelectric
361,1,hydroelectric
362,52,biomass
363,50,petroleum
364,18,petroleum
365,725,natural gas
366,426.1,coal
367,15,petroleum
368,103.1,natural gas
369,1273,coal
370,280,natural gas
371,1210,natural gas
372,2366,natural gas
373,2109,natural gas
374,1260,natural gas
375,1212,natural gas
376,1912,natural gas
377,2752,nuclear
378,16.8,hydroelectric
379,48,natural gas
380,18.4,hydroelectric
381,1.3,hydroelectric
382,171,petroleum
383,2188,coal
384,107,natural gas
385,11.5,hydroelectric
386,1248,natural gas
387,149,natural gas
388,924,coal
389,534,natural gas
390,1677.4,coal
391,2302,nuclear
392,417,coal
393,112,natural gas
394,32.7,natural gas
395,317.2,natural gas
396,1322,coal
397,93.5,natural gas
398,1.6,hydroelectric
399,124,natural gas
400,807,natural gas
402,155,hydroelectric
403,290,natural gas
404,468,natural gas
405,236,natural gas
406,43.5,hydroelectric
407,6.1,wind
408,22,petroleum
409,13.5,petroleum
410,189.1,hydroelectric
411,3232,coal
412,9.6,hydroelectric
413,6.3,hydroelectric
414,38.6,hydroelectric
415,840,coal
416,2534,natural gas
417,0.2,hydroelectric
418,22.8,hydroelectric
419,1.5,hydroelectric
420,416,petroleum
421,10.5,hydroelectric
422,6,hydroelectric
423,34.4,hydroelectric
424,59,hydroelectric
425,43.8,hydroelectric
426,72.9,hydroelectric
427,16.6,hydroelectric
428,52,hydroelectric
429,714,natural gas
430,28.5,hydroelectric
431,14,petroleum
432,12,hydroelectric
433,23.9,hydroelectric
434,2.9,hydroelectric
435,15.2,hydroelectric
436,14,coal
437,420,hydroelectric
438,17.3,hydroelectric
439,20.1,hydroelectric
440,126.8,hydroelectric
441,72,hydroelectric
442,168,hydroelectric
443,34,natural gas
452,38,hydroelectric
453,1.9,hydroelectric
455,23.4,hydroelectric
456,6,hydroelectric
458,2,hydroelectric
459,28,hydroelectric
460,9,hydroelectric
461,110.4,hydroelectric
462,81.4,hydroelectric
463,744,hydroelectric
464,94.2,hydroelectric
465,14.4,hydroelectric
466,2.1,hydroelectric
467,15.3,hydroelectric
468,71.9,hydroelectric
469,5.4,petroleum
470,12.8,hydroelectric
471,29.4,hydroelectric
472,6.4,hydroelectric
473,53.2,hydroelectric
474,18.2,hydroelectric
475,8.1,hydroelectric
476,7.1,hydroelectric
477,33,hydroelectric
478,27.9,hydroelectric
479,15.2,hydroelectric
480,254.6,hydroelectric
481,17.5,hydroelectric
483,400,hydroelectric
484,8,hydroelectric
485,3,hydroelectric
486,8,hydroelectric
487,1.5,hydroelectric
488,176.4,hydroelectric
489,42,hydroelectric
490,560,coal
491,895,coal
492,511,natural gas
493,1797,nuclear
494,314,coal
495,1108,coal
496,1538,coal
497,1819,nuclear
498,796.8,coal
499,510,coal
500,197.2,petroleum
501,948,coal
502,1778,coal
503,411,coal
504,284,coal
505,69.9,natural gas
506,9,geothermal
507,1.1,hydroelectric
508,17,hydroelectric
509,487,natural gas
510,9.4,hydroelectric
517,9.7,petroleum
518,15.8,petroleum
520,16.8,petroleum
521,8.4,petroleum
523,34.3,petroleum
524,11,hydroelectric
525,37.7,natural gas
526,14.4,petroleum
530,534,coal
531,5.1,petroleum
532,14,petroleum
535,33.4,natural gas
536,430,coal
537,1173,coal
538,1.4,hydroelectric
539,1.4,hydroelectric
540,4,hydroelectric
541,966,natural gas
542,644,natural gas
543,16.4,natural gas
544,1710.5,coal
545,31,natural gas
546,469,coal
547,4,hydroelectric
548,6,hydroelectric
549,1085,coal
550,595,coal
551,45,hydroelectric
552,264,natural gas
553,280,coal
554,65,natural gas
555,360,coal
556,20,natural gas
557,225,natural gas
558,1,hydroelectric
559,24.1,coal
560,1.8,petroleum
561,21.1,natural gas
562,99.7,coal
563,248.3,coal
564,601.4,nuclear
565,1.2,hydroelectric
566,165.4,natural gas
567,142.4,coal
568,65.9,natural gas
569,113,natural gas
570,1517.3,coal
571,116.9,natural gas
572,510,coal
573,32.6,natural gas
574,269.4,coal
575,142,hydroelectric
577,0.9,petroleum
578,105.2,natural gas
579,2.7,petroleum
580,9.8,natural gas
582,7.5,petroleum
583,6.9,natural gas
586,41.3,natural gas
587,56.5,natural gas
588,1.8,petroleum
594,3.6,petroleum
598,3.2,petroleum
600,4,petroleum
606,7.9,petroleum
607,22,natural gas
608,2,petroleum
609,6.5,petroleum
610,9.4,petroleum
611,24,petroleum
612,220.9,coal
616,3.2,hydroelectric
618,1.5,petroleum
620,2.5,petroleum
621,4.8,petroleum
622,17,petroleum
627,3.7,petroleum
629,17.1,petroleum
632,14.8,petroleum
634,9.2,petroleum
635,13.6,petroleum
636,75.4,natural gas
637,113.5,natural gas
638,4,petroleum
639,13,natural gas
640,65.7,natural gas
641,146.7,natural gas
642,92.7,natural gas
643,294,natural gas
644,825,natural gas
645,1398.4,coal
646,190,natural gas
647,223,natural gas
648,478,coal
649,61,coal
651,4.9,petroleum
652,11.5,natural gas
657,11.4,natural gas
658,46,natural gas
659,29.7,natural gas
660,57,natural gas
661,13.5,petroleum
662,6.9,petroleum
665,9.5,natural gas
666,16.1,natural gas
668,6.2,natural gas
669,14.1,natural gas
670,19.4,petroleum
671,24.5,petroleum
672,2.5,petroleum
673,140.3,natural gas
674,259,natural gas
676,4.6,petroleum
677,16,petroleum
678,8.7,petroleum
679,156.1,natural gas
682,5.2,natural gas
683,11.5,natural gas
684,5.6,petroleum
686,26,natural gas
687,14.5,natural gas
688,14.4,natural gas
690,5.1,petroleum
691,5,petroleum
692,2.9,natural gas
695,5,natural gas
697,7.4,petroleum
698,23.5,natural gas
699,11.1,natural gas
700,203.3,natural gas
701,260,natural gas
702,31.5,hydroelectric
703,1597,natural gas
704,1919,coal
705,24,natural gas
706,2.3,hydroelectric
707,677,natural gas
708,1465,coal
709,100.8,hydroelectric
710,182,natural gas
711,14,natural gas
712,148,hydroelectric
713,399.8,coal
714,11.9,petroleum
715,222.5,hydroelectric
716,2071,natural gas
717,1206,coal
718,312,hydroelectric
719,443,coal
720,312,coal
721,123,natural gas
722,341,coal
723,382.4,other
724,138,natural gas
725,1178.9,coal
726,662,natural gas
727,732,natural gas
728,368.5,natural gas
730,925.9,natural gas
731,1873.8,natural gas
732,150.1,natural gas
733,116,natural gas
734,243,natural gas
735,72.1,natural gas
736,7,natural gas
737,7,petroleum
738,430,natural gas
740,9.3,hydroelectric
743,3.4,hydroelectric
744,4,hydroelectric
745,9,hydroelectric
746,20,hydroelectric
747,32,petroleum
748,8,hydroelectric
749,6.2,hydroelectric
750,23.2,hydroelectric
751,87.4,hydroelectric
753,2.8,hydroelectric
754,1.6,hydroelectric
755,1.8,hydroelectric
757,9.2,hydroelectric
758,21.6,hydroelectric
759,827.1,petroleum
760,7.7,hydroelectric
761,13.2,hydroelectric
762,14.9,hydroelectric
763,88.5,hydroelectric
764,30.8,petroleum
765,4.2,petroleum
767,14,petroleum
768,97,natural gas
769,958.9,coal
770,116.7,natural gas
771,403.8,natural gas
772,60.9,petroleum
773,39,petroleum
774,115.8,natural gas
775,10.4,petroleum
776,167.3,petroleum
777,18,hydroelectric
778,2177,natural gas
779,831,coal
780,1423,coal
781,572,hydroelectric
782,31.9,petroleum
783,31.4,petroleum
784,1999.8,natural gas
785,677.2,nuclear
786,123,petroleum
787,243.9,natural gas
789,1113,petroleum
790,3.4,hydroelectric
791,1.6,hydroelectric
792,33.1,hydroelectric
793,6.9,hydroelectric
795,13.9,hydroelectric
796,61.8,hydroelectric
797,32.6,hydroelectric
798,15.8,petroleum
799,3.8,hydroelectric
800,3.6,hydroelectric
801,4,hydroelectric
802,189.7,natural gas
803,15.8,petroleum
804,183.3,natural gas
806,46.6,natural gas
807,131,natural gas
808,2.8,hydroelectric
810,6.3,hydroelectric
811,7.2,hydroelectric
812,3.6,hydroelectric
813,1718,natural gas
814,6.1,hydroelectric
815,3,hydroelectric
816,33,natural gas
817,30,hydroelectric
818,4,hydroelectric
819,1458,coal
820,4.4,hydroelectric
821,2179,pumped storage
822,1.4,hydroelectric
823,801.8,nuclear
825,5,natural gas
826,79,natural gas
827,1.1,hydroelectric
828,14,petroleum
829,127,natural gas
830,1192,nuclear
831,128,natural gas
832,3080,coal
833,116,natural gas
834,14,petroleum
835,14,petroleum
836,14,petroleum
837,283,coal
838,14,petroleum
839,1240,coal
840,52,petroleum
841,520,coal
843,4.8,petroleum
845,4.8,hydroelectric
846,2,hydroelectric
849,0.4,hydroelectric
850,0.4,hydroelectric
851,359,coal
852,17.7,biomass
853,0.8,hydroelectric
854,11.8,hydroelectric
855,5.3,hydroelectric
856,7.8,hydroelectric
858,7.2,hydroelectric
859,9.6,hydroelectric
860,12,hydroelectric
862,7.2,hydroelectric
863,4,hydroelectric
864,3,natural gas
866,70.4,coal
867,8.4,natural gas
868,5.1,petroleum
869,19.6,natural gas
870,189.9,coal
871,154.5,coal
872,20,petroleum
873,3.2,hydroelectric
874,72.1,coal
875,10.7,natural gas
876,4.5,petroleum
878,3.5,petroleum
879,6.9,petroleum
882,2.2,hydroelectric
884,77.4,natural gas
885,23.6,natural gas
886,6.8,petroleum
887,1.8,hydroelectric
888,19.3,petroleum
889,8.5,petroleum
890,12.3,petroleum
891,49.7,natural gas
892,39.5,natural gas
893,18.5,natural gas
894,88.9,natural gas
895,16.2,hydroelectric
896,1083.3,coal
897,13.1,hydroelectric
898,2.3,hydroelectric
899,5.1,hydroelectric
900,59.8,biomass
902,1.6,hydroelectric
903,1.8,hydroelectric
904,76.2,hydroelectric
905,4.1,hydroelectric
906,497,natural gas
907,52,natural gas
908,6.1,hydroelectric
909,530,natural gas
910,285.6,natural gas
911,511,coal
912,617,nuclear
913,1040,nuclear
914,18,biomass
915,454,natural gas
916,12,petroleum
917,18,biomass
918,139.1,coal
919,2,petroleum
920,8.2,petroleum
921,9,petroleum
922,6.5,petroleum
923,11,petroleum
924,22.6,petroleum
925,9.6,petroleum
926,12.2,petroleum
928,38,natural gas
929,34.3,petroleum
930,6.1,petroleum
931,1.1,hydroelectric
932,30.5,coal
933,30.1,natural gas
935,5.4,petroleum
936,5.8,petroleum
938,15.7,petroleum
939,3.5,petroleum
940,15.6,petroleum
943,13.2,petroleum
945,16.8,natural gas
946,70.8,petroleum
947,10,petroleum
948,16.6,natural gas
950,12.8,petroleum
952,9.2,natural gas
953,11.2,petroleum
956,5.8,petroleum
958,25,biomass
960,2,petroleum
961,27.3,coal
963,19.6,petroleum
964,180.6,natural gas
965,225.3,natural gas
966,21.9,petroleum
967,132,natural gas
968,32,natural gas
969,749,natural gas
970,532.4,natural gas
971,210.3,natural gas
972,49.5,natural gas
973,33.3,natural gas
974,14,natural gas
975,477,natural gas
976,16,petroleum
977,198,coal
978,955.7,coal
979,334,coal
980,396,petroleum
981,54,petroleum
982,13,natural gas
983,18.1,petroleum
984,70.9,natural gas
985,406.2,coal
986,243.2,natural gas
987,3,hydroelectric
988,2372,coal
989,936,coal
990,234,hydroelectric
991,970,coal
992,440,pumped storage
993,6.1,petroleum
994,10.3,petroleum
995,19.5,natural gas
996,35.7,natural gas
997,90,natural gas
998,85.1,natural gas
999,52,hydroelectric
1000,9.2,petroleum
1001,25.3,natural gas
1002,7,petroleum
1003,47.2,natural gas
1004,93,natural gas
1005,30,petroleum
1006,39,natural gas
1007,38,petroleum
1008,25.3,petroleum
1009,7.1,petroleum
1010,40.1,natural gas
1011,3.4,petroleum
1012,0.7,petroleum
1013,14.7,petroleum
1014,29.3,natural gas
1015,8.8,petroleum
1016,10,petroleum
1017,308,natural gas
1018,8,petroleum
1019,216.5,hydroelectric
1020,1153,coal
1021,1138,coal
1022,74.9,natural gas
1023,23.6,natural gas
1024,21,hydroelectric
1025,64,hydroelectric
1026,16,hydroelectric
1027,48,hydroelectric
1028,206,hydroelectric
1029,48,hydroelectric
1031,60.5,hydroelectric
1032,64.5,hydroelectric
1033,94,hydroelectric
1035,580.5,hydroelectric
1036,428,hydroelectric
1037,259.4,hydroelectric
1039,17.5,natural gas
1040,1,petroleum
1042,8.4,natural gas
1044,4,petroleum
1046,99.3,natural gas
1047,21,hydroelectric
1048,20,hydroelectric
1049,22.5,hydroelectric
1050,1,petroleum
1051,6,natural gas
1053,8.7,petroleum
1055,1.6,natural gas
1058,156.5,coal
1059,81.6,natural gas
1060,18,natural gas
1061,41,natural gas
1064,29,natural gas
1066,22.6,natural gas
1067,3.2,natural gas
1068,45,hydroelectric
1069,42.9,natural gas
1070,41.5,petroleum
1071,1,hydroelectric
1072,40.9,petroleum
1074,22,hydroelectric
1075,215,coal
1076,1.2,hydroelectric
1077,122.6,petroleum
1078,557.4,coal
1079,319.9,natural gas
1080,10.8,petroleum
1085,2.4,petroleum
1086,4.1,natural gas
1088,1.9,petroleum
1090,13.6,natural gas
1093,8.5,natural gas
1096,1141,natural gas
1097,226,natural gas
1098,897.6,natural gas
1099,165.9,hydroelectric
1100,188.8,hydroelectric
1101,33.8,hydroelectric
1102,39,hydroelectric
1103,16.8,hydroelectric
1104,8.4,hydroelectric
1105,5.6,hydroelectric
1106,12.3,hydroelectric
1107,2,hydroelectric
1108,1.6,hydroelectric
1109,3.6,hydroelectric
1110,14,petroleum
1111,472.1,coal
1112,155.5,coal
1113,11.7,hydroelectric
1114,17.5,petroleum
1115,292,petroleum
1117,607.7,nuclear
1118,200,natural gas
1119,444,natural gas
1120,1229,natural gas
1121,168,natural gas
1122,81,natural gas
1123,459.4,natural gas
1124,1566.2,natural gas
1125,2366.6,nuclear
1126,524.5,natural gas
1127,55,natural gas
1128,1540,coal
1129,324.2,natural gas
1130,183,natural gas
1131,154,natural gas
1132,847,coal
1133,466,natural gas
1134,17.2,natural gas
1135,45,natural gas
1136,500.8,natural gas
1137,4.8,hydroelectric
1138,25,hydroelectric
1139,21.3,petroleum
1140,14.4,hydroelectric
1141,21.3,natural gas
1142,858,natural gas
1143,638,natural gas
1144,556.8,natural gas
1145,41.7,petroleum
1146,1000.4,nuclear
1147,282.9,natural gas
1148,2279.2,natural gas
1149,14.9,natural gas
1150,37.7,petroleum
1151,668.2,natural gas
1152,25.2,petroleum
1153,104.1,petroleum
1154,1592.5,natural gas
1155,473.5,natural gas
1156,65.7,petroleum
1157,8.5,petroleum
1158,10,petroleum
1159,49.7,petroleum
1160,5.5,hydroelectric
1161,107.5,natural gas
1162,4,petroleum
1163,15,hydroelectric
1164,13.6,hydroelectric
1165,302.2,coal
1166,788.8,natural gas
1167,3.5,hydroelectric
1168,16.6,hydroelectric
1169,1.8,hydroelectric
1170,30.3,hydroelectric
1171,4.5,hydroelectric
1172,14.2,hydroelectric
1173,15.8,hydroelectric
1175,29.7,hydroelectric
1176,10.8,hydroelectric
1177,520,coal
1178,5.8,hydroelectric
1179,2,hydroelectric
1180,2.9,hydroelectric
1181,2,hydroelectric
1182,3.7,hydroelectric
1183,4.1,hydroelectric
1184,22.4,hydroelectric
1185,5.2,hydroelectric
1186,2,hydroelectric
1187,0.2,hydroelectric
1188,1.5,hydroelectric
1189,10.2,hydroelectric
1190,7.5,hydroelectric
1191,4.5,hydroelectric
1192,0.8,hydroelectric
1193,8.8,hydroelectric
1194,5.4,hydroelectric
1195,6.3,hydroelectric
1196,2.8,hydroelectric
1197,6.2,hydroelectric
1198,2.5,hydroelectric
1199,3.9,hydroelectric
1200,7.6,hydroelectric
1201,0.8,hydroelectric
1202,7,hydroelectric
1203,8,hydroelectric
1204,1916,nuclear
1205,5.1,hydroelectric
1206,2.2,hydroelectric
1207,1638,petroleum
1208,4.2,hydroelectric
1209,2.6,hydroelectric
1210,2.3,hydroelectric
1211,2.8,hydroelectric
1212,18.3,hydroelectric
1213,24,hydroelectric
1214,2.3,hydroelectric
1215,3.4,hydroelectric
1216,36.9,hydroelectric
1217,15.9,hydroelectric
1218,1.5,hydroelectric
1219,2.2,hydroelectric
1220,36.9,hydroelectric
1221,14.4,hydroelectric
1222,19.8,hydroelectric
1223,54.5,hydroelectric
1224,23.3,hydroelectric
1225,40,hydroelectric
1226,4.1,hydroelectric
1227,4.4,hydroelectric
1228,25.9,hydroelectric
1229,5.6,hydroelectric
1230,3.8,hydroelectric
1231,0.6,hydroelectric
1232,1137,natural gas
1233,18,hydroelectric
1234,33.1,natural gas
1235,4.3,hydroelectric
1236,10.9,hydroelectric
1237,33,natural gas
1238,7.4,hydroelectric
1239,3,hydroelectric
1240,8.5,hydroelectric
1241,43.8,hydroelectric
1242,1,hydroelectric
1243,8.7,petroleum
1244,65.8,natural gas
1245,8.6,petroleum
1246,87,natural gas
1247,11.6,hydroelectric
1248,11.6,hydroelectric
1249,1166.8,pumped storage
1250,240,pumped storage
1251,2435.2,hydroelectric
1252,856,hydroelectric
1253,33.5,natural gas
1254,6.3,hydroelectric
1255,698,natural gas
1256,79,petroleum
1257,4,hydroelectric
1258,2439,coal
1259,84,hydroelectric
1260,112,hydroelectric
1261,124,petroleum
1262,1098,coal
1263,31.5,hydroelectric
1264,668,natural gas
1265,1388,coal
1266,324,hydroelectric
1267,662,natural gas
1268,27,hydroelectric
1269,2058,coal
1270,62,hydroelectric
1271,40,hydroelectric
1272,33.4,hydroelectric
1273,5.4,hydroelectric
1274,6.4,hydroelectric
1275,9.5,hydroelectric
1276,6.4,hydroelectric
1277,1,hydroelectric
1278,1.8,hydroelectric
1279,50,hydroelectric
1280,9.8,hydroelectric
1281,19.7,hydroelectric
1282,2.5,hydroelectric
1283,220,hydroelectric
1284,95,hydroelectric
1285,3.6,hydroelectric
1286,13.9,hydroelectric
1287,304.2,hydroelectric
1288,173.7,pumped storage
1289,15,petroleum
1290,192.3,coal
1291,41.7,petroleum
1292,4,petroleum
1293,510,hydroelectric
1294,667,coal
1295,684,coal
1296,1800,coal
1297,4,batteries
1298,136.2,natural gas
1299,1076,coal
1300,640,coal
1301,24,petroleum
1302,1530,coal
1303,266,natural gas
1304,25,natural gas
1305,12,petroleum
1306,12,petroleum
1307,102.4,natural gas
1308,25,petroleum
1309,2223,coal
1310,539,natural gas
1311,962.8,coal
1312,152,petroleum
1313,369,natural gas
1314,17,petroleum
1315,1.4,petroleum
1316,31.5,natural gas
1317,16,natural gas
1318,32,natural gas
1319,40.9,coal
1320,123,natural gas
1321,30.6,petroleum
1322,17.9,natural gas
1323,78.5,coal
1324,48.8,coal
1325,36.5,petroleum
1326,22.4,petroleum
1327,3,petroleum
1328,7.8,petroleum
1329,866.7,natural gas
1330,1508.5,coal
1331,461.5,natural gas
1332,1320,natural gas
1333,1370,natural gas
1334,605,natural gas
1335,313.3,natural gas
1336,167,natural gas
1337,21.2,petroleum
1338,128,hydroelectric
1339,126.5,hydroelectric
1340,258,pumped storage
1341,80,hydroelectric
1342,114.8,hydroelectric
1343,8.7,natural gas
1344,71,hydroelectric
1345,5.4,natural gas
1347,6,petroleum
1348,51.2,hydroelectric
1349,42,hydroelectric
1350,485,natural gas
1351,322,natural gas
1353,219.8,hydroelectric
1354,17.9,hydroelectric
1355,31,hydroelectric
1356,2.8,hydroelectric
1357,3,hydroelectric
1358,10.4,hydroelectric
1359,98,hydroelectric
1360,32,hydroelectric
1361,4.6,hydroelectric
1362,36,hydroelectric
1364,0.9,hydroelectric
1365,18,hydroelectric
1366,11.6,hydroelectric
1367,45,hydroelectric
1369,45.8,hydroelectric
1370,58,hydroelectric
1371,110,hydroelectric
1372,24.7,hydroelectric
1373,353,hydroelectric
1374,18.3,hydroelectric
1376,8,hydroelectric
1377,7.5,hydroelectric
1378,21,hydroelectric
1379,1153.9,hydroelectric
1380,26,hydroelectric
1381,100,hydroelectric
1382,17,hydroelectric
1383,80,hydroelectric
1384,30,hydroelectric
1385,2058,hydroelectric
1386,120,hydroelectric
1387,990.5,hydroelectric
1388,259,natural gas
1389,18,petroleum
1390,53,petroleum
1391,36,petroleum
1392,18,petroleum
1393,164,petroleum
1394,17,petroleum
1395,27,petroleum
1396,36,petroleum
1397,19,hydroelectric
1398,1711.2,coal
1400,1887.2,coal
1401,33.2,hydroelectric
1402,521,coal
1403,571,natural gas
1404,46,petroleum
1405,1711.2,coal
1406,310,natural gas
1407,56,petroleum
1408,1418.4,natural gas
1409,28,petroleum
1410,42,petroleum
1411,27,petroleum
1412,249,hydroelectric
1413,28,petroleum
1414,14,petroleum
1415,1772,natural gas
1416,1515,coal
1417,41,petroleum
1418,44,hydroelectric
1419,28,petroleum
1420,27,petroleum
1421,39,petroleum
1422,56,petroleum
1423,820,natural gas
1424,51,petroleum
1425,51,petroleum
1426,1070,pumped storage
1427,2450.4,nuclear
1428,98,petroleum
1429,30,petroleum
1430,52,petroleum
1431,417.5,hydroelectric
1432,129.7,natural gas
1433,468,natural gas
