,Sub_ID,State,County
46,55532,"[Texas, Texas, Texas, Texas]","[Bosque County, Hamilton County, Bell County, Coryell County]"
47,55002,"[Texas, Texas, Texas]","[Bowie County, Leon County, Robertson County]"
48,57114,"[Texas, Texas, Texas]","[Brewster County, Pecos County, Terrell County]"
49,55780,"[Texas, Texas, Texas, Texas]","[Brown County, Menard County, McCulloch County, Mason County]"
50,55796,"[Texas, Texas, Texas]","[Callahan County, Runnels County, Taylor County]"
51,54927,"[Texas, Texas, Texas]","[Camp County, Leon County, Robertson County]"
52,55024,"[Texas, Texas, Texas]","[Cass County, Robertson County, Leon County]"
53,63182,"[Texas, Texas]","[Chambers County, Galveston County]"
54,54966,"[Texas, Texas, Texas]","[Cherokee County, Leon County, Madison County]"
55,55000,"[Texas, Texas, Texas, Texas]","[Clay County, Foard County, King County, Cottle County]"
56,55838,"[Texas, Texas]","[Coleman County, Concho County]"
57,55168,"[Texas, Texas]","[Collin County, Falls County]"
58,56604,"[Texas, Texas]","[Collingsworth County, Wheeler County]"
59,54968,"[Texas, Texas, Texas]","[Comanche County, Lampasas County, Coryell County]"
60,55749,"[Texas, Texas]","[Cooke County, Falls County]"
61,55318,"[Texas, Texas]","[Dallas County, Falls County]"
62,55584,"[Texas, Texas, Texas]","[Delta County, Leon County, Robertson County]"
63,55685,"[Texas, Texas]","[Denton County, Falls County]"
64,55043,"[Texas, Texas, Texas]","[Eastland County, Lampasas County, Coryell County]"
65,55399,"[Texas, Texas]","[Ellis County, Falls County]"
66,55033,"[Texas, Texas, Texas, Texas]","[Erath County, Palo Pinto County, Lampasas County, Coryell County]"
67,55138,"[Texas, Texas, Texas]","[Fannin County, Leon County, Robertson County]"
68,54861,"[Texas, Texas, Texas]","[Franklin County, Leon County, Robertson County]"
69,55498,"[Texas, Texas, Texas]","[Freestone County, Robertson County, Leon County]"
70,55130,"[Texas, Texas]","[Grayson County, Falls County]"
71,54873,"[Texas, Texas, Texas]","[Gregg County, Leon County, Robertson County]"
72,55755,"[Texas, Texas, Texas, Texas]","[Hardeman County, Cottle County, King County, Foard County]"
73,63123,"[Texas, Texas]","[Hardin County, Galveston County]"
74,54869,"[Texas, Texas, Texas]","[Harrison County, Madison County, Leon County]"
75,55788,"[Texas, Texas, Texas]","[Haskell County, Fisher County, Jones County]"
76,37274,"[Texas, Oklahoma]","[Hemphill County, Roger Mills County]"
77,55483,"[Texas, Texas, Texas]","[Henderson County, Leon County, Robertson County]"
78,55488,"[Texas, Texas, Texas]","[Hill County, Falls County, McLennan County]"
79,55847,"[Texas, Texas, Texas]","[Hood County, Lampasas County, Coryell County]"
80,55162,"[Texas, Texas, Texas]","[Hopkins County, Robertson County, Leon County]"
81,54976,"[Texas, Texas, Texas]","[Houston County, Leon County, Madison County]"
82,55172,"[Texas, Texas, Texas]","[Hunt County, Leon County, Robertson County]"
83,55161,"[Texas, Texas, Texas]","[Jack County, Coryell County, Lampasas County]"
84,63432,"[Texas, Texas]","[Jasper County, Galveston County]"
85,57297,"[Texas, Texas]","[Jeff Davis County, Reeves County]"
86,63418,"[Texas, Texas]","[Jefferson County, Galveston County]"
87,62767,"[Texas, Texas, Texas]","[Johnson County, McLennan County, Falls County]"
88,55671,"[Texas, Texas, Texas]","[Kaufman County, Leon County, Robertson County]"
89,55786,"[Texas, Texas, Texas, Texas]","[Knox County, Foard County, King County, Cottle County]"
90,55123,"[Texas, Texas, Texas]","[Lamar County, Robertson County, Leon County]"
91,63417,"[Texas, Texas, Texas]","[Liberty County, Montgomery County, Harris County]"
92,54889,"[Texas, Texas]","[Limestone County, Falls County]"
93,40418,"[Texas, Oklahoma]","[Lipscomb County, Beaver County]"
94,55028,"[Texas, Texas, Texas]","[Marion County, Leon County, Robertson County]"
95,54975,"[Texas, Texas, Texas]","[Mills County, San Saba County, Lampasas County]"
96,55508,"[Texas, Texas, Texas, Texas]","[Montague County, King County, Cottle County, Foard County]"
97,54924,"[Texas, Texas, Texas]","[Morris County, Leon County, Robertson County]"
98,54970,"[Texas, Texas]","[Nacogdoches County, Montgomery County]"
99,55531,"[Texas, Texas]","[Navarro County, Falls County]"
100,62610,"[Texas, Texas]","[Newton County, NA]"
101,63326,"[Texas, Texas]","[Orange County, Galveston County]"
102,54959,"[Texas, Texas, Texas]","[Panola County, Madison County, Leon County]"
103,55849,"[Texas, Texas, Texas]","[Parker County, Coryell County, Bell County]"
104,63434,"[Texas, Texas]","[Polk County, Montgomery County]"
105,47922,"[Texas, Texas]","[Presidio County, Culberson County]"
106,55276,"[Texas, Texas, Texas]","[Rains County, Leon County, Robertson County]"
107,54860,"[Texas, Texas, Texas]","[Red River County, Leon County, Robertson County]"
108,55255,"[Texas, Texas, Texas]","[Rockwall County, Leon County, Robertson County]"
109,55053,"[Texas, Texas, Texas]","[Rusk County, Madison County, Leon County]"
110,56297,"[Texas, Texas]","[Sabine County, Galveston County]"
111,63112,"[Texas, Texas]","[San Augustine County, Montgomery County]"
112,63119,"[Texas, Texas]","[San Jacinto County, Montgomery County]"
113,55768,"[Texas, Texas, Texas]","[Shackelford County, Fisher County, Jones County]"
114,43831,"[Texas, Louisiana]","[Shelby County, De Soto Parish]"
115,55080,"[Texas, Texas, Texas]","[Smith County, Leon County, Robertson County]"
116,55502,"[Texas, Texas, Texas]","[Somervell County, Bell County, Coryell County]"
117,55030,"[Texas, Texas, Texas]","[Stephens County, Jones County, Fisher County]"
118,55709,"[Texas, Texas, Texas]","[Tarrant County, McLennan County, Falls County]"
119,54932,"[Texas, Texas, Texas]","[Throckmorton County, Jones County, Fisher County]"
120,54921,"[Texas, Texas, Texas]","[Titus County, Robertson County, Leon County]"
121,63395,"[Texas, Texas]","[Trinity County, Montgomery County]"
122,63611,"[Texas, Texas]","[Tyler County, Montgomery County]"
123,54871,"[Texas, Texas, Texas]","[Upshur County, Robertson County, Leon County]"
124,55561,"[Texas, Texas, Texas]","[Van Zandt County, Leon County, Robertson County]"
125,62788,"[Texas, Texas]","[Walker County, Montgomery County]"
126,54986,"[Texas, Texas, Texas, Texas]","[Wichita County, King County, Cottle County, Foard County]"
127,55757,"[Texas, Texas, Texas, Texas]","[Wilbarger County, Cottle County, Foard County, King County]"
128,55727,"[Texas, Texas, Texas]","[Wise County, Coryell County, Bell County]"
129,55061,"[Texas, Texas, Texas]","[Wood County, Leon County, Robertson County]"
130,54930,"[Texas, Texas, Texas]","[Young County, Jones County, Fisher County]"
131,59222,"[Utah, Utah]","[Piute County, Sevier County]"
132,59100,"[Utah, Utah]","[Wayne County, Garfield County]"
133,28484,"[Virginia, Virginia]","[Greene County, Albemarle County]"
134,36066,"[Virginia, Virginia]","[Mathews County, Gloucester County]"
135,36074,"[Virginia, Virginia]","[Poquoson city, Hampton city]"
136,36816,"[West Virginia, Virginia]","[Monroe County, Giles County]"
137,24852,"[Wisconsin, Wisconsin]","[Pepin County, Buffalo County]"
138,13103,"[Wisconsin, Wisconsin, Wisconsin]","[Taylor County, Marathon County, Clark County]"
139,10000,North Dakota,Williams County
140,10001,North Dakota,Williams County
141,10002,North Dakota,Williams County
142,10003,North Dakota,Williams County
143,10004,North Dakota,Williams County
144,10005,North Dakota,Williams County
145,10006,North Dakota,Williams County
146,10007,North Dakota,Williams County
147,10008,North Dakota,Williams County
148,10009,North Dakota,Williams County
149,10010,North Dakota,Williams County
150,10011,North Dakota,Williams County
151,10012,North Dakota,Williams County
152,10013,North Dakota,Williams County
153,10014,North Dakota,Williams County
154,10015,North Dakota,Williams County
155,10016,North Dakota,Williams County
156,10017,North Dakota,Williams County
157,10018,North Dakota,Williams County
158,10019,North Dakota,Williams County
159,10020,North Dakota,Williams County
160,10021,North Dakota,Williams County
161,10022,North Dakota,Williams County
162,10023,North Dakota,Williams County
163,10024,North Dakota,Williams County
164,10025,North Dakota,Williams County
165,10026,"[North Dakota, North Dakota]","[Cavalier County, Towner County]"
166,10027,North Dakota,Cavalier County
167,10028,North Dakota,Cavalier County
168,10029,North Dakota,Cavalier County
169,10030,North Dakota,Cavalier County
170,10031,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Walsh County, Cavalier County]"
171,10032,"[North Dakota, North Dakota, North Dakota]","[Cavalier County, Walsh County, Ramsey County]"
172,10033,North Dakota,Cavalier County
173,10034,North Dakota,Cavalier County
174,10035,North Dakota,Cavalier County
175,10036,"[North Dakota, North Dakota]","[Cavalier County, Towner County]"
176,10037,North Dakota,Walsh County
177,10038,"[North Dakota, North Dakota, North Dakota]","[Walsh County, Ramsey County, Cavalier County]"
178,10039,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Cavalier County, Walsh County]"
179,10040,North Dakota,Cavalier County
180,10041,North Dakota,Cavalier County
181,10042,"[North Dakota, North Dakota]","[Cavalier County, Towner County]"
182,10043,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Cavalier County, Towner County]"
183,10044,North Dakota,Cavalier County
184,10045,North Dakota,Cavalier County
185,10046,North Dakota,Cavalier County
186,10047,North Dakota,Cavalier County
187,10048,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Cavalier County, Walsh County]"
188,10049,North Dakota,Cavalier County
189,10050,North Dakota,Cavalier County
190,10051,North Dakota,Cavalier County
191,10052,North Dakota,Cavalier County
192,10053,North Dakota,Cavalier County
193,10054,North Dakota,Cavalier County
194,10055,North Dakota,Cavalier County
195,10056,"[North Dakota, North Dakota]","[Towner County, Ramsey County]"
196,10057,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
197,10058,"[North Dakota, North Dakota, North Dakota]","[Pierce County, McHenry County, Benson County]"
198,10059,"[North Dakota, North Dakota, North Dakota]","[McHenry County, Benson County, Pierce County]"
199,10060,North Dakota,Benson County
200,10061,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
201,10062,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
202,10063,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
203,10064,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
204,10065,North Dakota,Rolette County
205,10066,"[North Dakota, North Dakota]","[Bottineau County, Rolette County]"
206,10067,"[North Dakota, North Dakota]","[Pierce County, Rolette County]"
207,10068,North Dakota,Rolette County
208,10069,"[North Dakota, North Dakota]","[Cavalier County, Towner County]"
209,10070,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
210,10071,"[North Dakota, North Dakota]","[Pierce County, Rolette County]"
211,10072,"[North Dakota, North Dakota]","[Rolette County, Pierce County]"
212,10073,North Dakota,Rolette County
213,10074,North Dakota,NA
214,10075,North Dakota,NA
215,10076,"[North Dakota, North Dakota]","[Rolette County, Towner County]"
216,10077,North Dakota,Rolette County
217,10078,"[North Dakota, North Dakota]","[Rolette County, Pierce County]"
218,10079,"[North Dakota, North Dakota]","[Pierce County, Rolette County]"
219,10080,"[North Dakota, North Dakota]","[Towner County, Ramsey County]"
220,10081,North Dakota,NA
221,10082,"[North Dakota, North Dakota, North Dakota]","[Pierce County, McHenry County, Benson County]"
222,10083,"[North Dakota, North Dakota, North Dakota]","[Benson County, Pierce County, McHenry County]"
223,10084,"[North Dakota, North Dakota]","[Towner County, Ramsey County]"
224,10085,North Dakota,Penobscot County
225,10086,North Dakota,McLean County
226,10087,"[North Dakota, North Dakota]","[Sheridan County, McLean County]"
227,10088,North Dakota,Sheridan County
228,10089,North Dakota,McLean County
229,10090,North Dakota,Sheridan County
230,10091,North Dakota,Sheridan County
231,10092,"[North Dakota, North Dakota]","[Sheridan County, McLean County]"
232,10093,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
233,10094,North Dakota,NA
234,10095,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
235,10096,North Dakota,McLean County
236,10097,North Dakota,McLean County
237,10098,North Dakota,McLean County
238,10100,North Dakota,McLean County
239,10101,North Dakota,McLean County
240,10102,North Dakota,Mercer County
241,10103,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
242,10104,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
243,10105,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
244,10106,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
245,10107,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
246,10108,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
247,10109,North Dakota,McLean County
248,10110,North Dakota,McLean County
249,10112,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
250,10113,North Dakota,NA
251,10114,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
252,10115,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
253,10116,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
254,10117,North Dakota,McLean County
255,10118,North Dakota,McLean County
256,10119,North Dakota,McLean County
257,10120,North Dakota,McLean County
258,10121,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
259,10122,North Dakota,McLean County
260,10124,"[North Dakota, North Dakota]","[Oliver County, Mercer County]"
261,10125,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
262,10126,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
263,10127,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
264,10128,"[North Dakota, North Dakota]","[Mercer County, Oliver County]"
265,10129,North Dakota,McLean County
266,10130,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
267,10131,North Dakota,Williams County
268,10132,"[North Dakota, North Dakota]","[Mountrail County, McLean County]"
269,10133,"[North Dakota, North Dakota]","[Mountrail County, McKenzie County]"
270,10134,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
271,10135,North Dakota,McKenzie County
272,10136,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
273,10137,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
274,10138,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
275,10139,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
276,10140,"[North Dakota, North Dakota]","[Mountrail County, McKenzie County]"
277,10141,"[North Dakota, North Dakota]","[Mountrail County, McKenzie County]"
278,10142,North Dakota,McKenzie County
279,10143,"[North Dakota, North Dakota]","[Mountrail County, McLean County]"
280,10144,"[North Dakota, North Dakota]","[Mountrail County, McLean County]"
281,10145,North Dakota,McKenzie County
282,10146,North Dakota,McKenzie County
283,10147,North Dakota,McKenzie County
284,10148,North Dakota,McKenzie County
285,10149,North Dakota,McKenzie County
286,10150,"[North Dakota, North Dakota]","[McLean County, Mountrail County]"
287,10151,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
288,10152,"[North Dakota, North Dakota]","[Mountrail County, McKenzie County]"
289,10153,North Dakota,McKenzie County
290,10154,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
291,10155,"[North Dakota, North Dakota]","[McKenzie County, Mountrail County]"
292,10156,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
293,10157,North Dakota,McKenzie County
294,10158,North Dakota,McKenzie County
295,10159,North Dakota,McKenzie County
296,10160,North Dakota,McKenzie County
297,10161,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
298,10162,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
299,10163,North Dakota,McKenzie County
300,10164,North Dakota,McKenzie County
301,10165,North Dakota,McKenzie County
302,10166,North Dakota,McKenzie County
303,10167,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
304,10168,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
305,10169,North Dakota,McKenzie County
306,10170,North Dakota,McKenzie County
307,10171,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
308,10172,North Dakota,McKenzie County
309,10173,North Dakota,McKenzie County
310,10174,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
311,10175,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
312,10176,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
313,10177,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
314,10178,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
315,10179,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
316,10180,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
317,10181,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
318,10182,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
319,10183,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
320,10184,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
321,10185,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
322,10186,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
323,10187,North Dakota,NA
324,10188,North Dakota,McKenzie County
325,10190,"[North Dakota, North Dakota]","[Dunn County, McKenzie County]"
326,10191,"[North Dakota, North Dakota]","[McKenzie County, Dunn County]"
327,10192,North Dakota,McKenzie County
328,10193,"[North Dakota, North Dakota]","[Ramsey County, Benson County]"
329,10197,"[North Dakota, North Dakota]","[Ramsey County, Benson County]"
330,10198,"[North Dakota, North Dakota]","[Ramsey County, Benson County]"
331,10199,"[North Dakota, North Dakota, North Dakota]","[Nelson County, Ramsey County, Walsh County]"
332,10200,"[North Dakota, North Dakota]","[Ramsey County, Walsh County]"
333,10201,North Dakota,Benson County
334,10202,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Eddy County, Benson County]"
335,10203,"[North Dakota, North Dakota, North Dakota]","[Benson County, Ramsey County, Eddy County]"
336,10204,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Ramsey County, Benson County, Nelson County, Eddy County]"
337,10205,"[North Dakota, North Dakota, North Dakota]","[Ramsey County, Eddy County, Benson County]"
338,10206,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Nelson County, Eddy County, Ramsey County]"
339,10207,North Dakota,Griggs County
340,10208,North Dakota,NA
341,10209,North Dakota,NA
342,10210,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
343,10211,"[North Dakota, North Dakota]","[Ramsey County, Nelson County]"
344,10212,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Nelson County, Eddy County, Ramsey County]"
345,10213,North Dakota,NA
346,10214,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
347,10215,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
348,10217,"[North Dakota, North Dakota]","[Ramsey County, Nelson County]"
349,10218,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Nelson County, Eddy County, Ramsey County]"
350,10219,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Nelson County, Ramsey County, Eddy County]"
351,10220,"[North Dakota, North Dakota, North Dakota]","[Benson County, Ramsey County, Eddy County]"
352,10221,"[North Dakota, North Dakota, North Dakota]","[Benson County, Eddy County, Ramsey County]"
353,10222,"[North Dakota, North Dakota]","[Walsh County, Nelson County]"
354,10223,"[North Dakota, North Dakota]","[Ramsey County, Nelson County]"
355,10224,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
356,10225,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
357,10226,"[North Dakota, North Dakota]","[Nelson County, Ramsey County]"
358,10227,"[North Dakota, North Dakota]","[Nelson County, Ramsey County]"
359,10228,"[North Dakota, North Dakota]","[Walsh County, Nelson County]"
360,10229,"[North Dakota, North Dakota]","[Benson County, Ramsey County]"
361,10231,"[North Dakota, North Dakota]","[Ramsey County, Benson County]"
362,10232,"[North Dakota, North Dakota]","[Nelson County, Ramsey County]"
363,10233,"[North Dakota, North Dakota]","[Nelson County, Ramsey County]"
364,10234,"[North Dakota, North Dakota]","[Nelson County, Ramsey County]"
365,10235,North Dakota,Nelson County
366,10236,North Dakota,Benson County
367,10237,"[North Dakota, North Dakota, North Dakota]","[McHenry County, Benson County, Pierce County]"
368,10238,"[North Dakota, North Dakota, North Dakota]","[Wells County, Eddy County, Foster County]"
369,10239,"[North Dakota, North Dakota, North Dakota]","[Eddy County, Foster County, Wells County]"
370,10240,North Dakota,Benson County
371,10241,North Dakota,Benson County
372,10242,North Dakota,Benson County
373,10243,North Dakota,Wells County
374,10244,"[North Dakota, North Dakota, North Dakota]","[Pierce County, Towner County, Benson County]"
375,10245,"[North Dakota, North Dakota]","[Benson County, Wells County]"
376,10246,"[North Dakota, North Dakota]","[Benson County, Wells County]"
377,10247,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Pierce County, Benson County, Wells County, Sheridan County]"
378,10248,"[North Dakota, North Dakota, North Dakota]","[Wells County, Benson County, Eddy County]"
379,10249,"[North Dakota, North Dakota]","[Pierce County, Benson County]"
380,10250,"[North Dakota, North Dakota]","[Benson County, Wells County]"
381,10251,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Wells County, Benson County, Sheridan County, Pierce County]"
382,10252,"[North Dakota, North Dakota, North Dakota]","[Benson County, Towner County, Ramsey County]"
383,10253,"[North Dakota, North Dakota, North Dakota]","[Pierce County, Towner County, Benson County]"
384,10254,"[North Dakota, North Dakota, North Dakota]","[Eddy County, Wells County, Benson County]"
385,10255,North Dakota,Benson County
386,10256,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Sheridan County, Wells County, Benson County, Pierce County]"
387,10257,"[North Dakota, North Dakota]","[Pierce County, Benson County]"
388,10258,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Sheridan County, Wells County, Pierce County]"
389,10259,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Pierce County, Wells County, Sheridan County]"
390,10260,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Benson County, Sheridan County, Wells County, Pierce County]"
391,10261,"[North Dakota, North Dakota, North Dakota]","[Towner County, Ramsey County, Benson County]"
392,10262,North Dakota,Ramsey County
393,10263,"[North Dakota, North Dakota, North Dakota]","[Eddy County, Foster County, Wells County]"
394,10264,North Dakota,Ramsey County
395,10266,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Mountrail County, Burke County, Ward County, Renville County]"
396,10267,North Dakota,Bottineau County
397,10268,"[North Dakota, North Dakota]","[McHenry County, Bottineau County]"
398,10269,"[North Dakota, North Dakota]","[McHenry County, Bottineau County]"
399,10270,"[North Dakota, North Dakota]","[McHenry County, Bottineau County]"
400,10271,North Dakota,Bottineau County
401,10272,"[North Dakota, North Dakota]","[Renville County, Bottineau County]"
402,10273,"[North Dakota, North Dakota]","[Bottineau County, Renville County]"
403,10274,North Dakota,Bottineau County
404,10275,North Dakota,Bottineau County
405,10276,North Dakota,Bottineau County
406,10277,North Dakota,Bottineau County
407,10278,"[North Dakota, North Dakota]","[Bottineau County, Renville County]"
408,10279,North Dakota,Bottineau County
409,10280,North Dakota,Bottineau County
410,10281,North Dakota,Bottineau County
411,10282,North Dakota,Bottineau County
412,10283,"[North Dakota, North Dakota]","[Bottineau County, Renville County]"
413,10284,"[North Dakota, North Dakota]","[Renville County, Bottineau County]"
414,10285,North Dakota,Bottineau County
415,10286,North Dakota,Bottineau County
416,10287,North Dakota,Bottineau County
417,10288,North Dakota,Bottineau County
418,10289,North Dakota,Bottineau County
419,10290,"[North Dakota, North Dakota]","[Renville County, Bottineau County]"
420,10291,"[North Dakota, North Dakota]","[McHenry County, Bottineau County]"
421,10292,North Dakota,Bottineau County
422,10293,North Dakota,Bottineau County
423,10294,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Pierce County, Bottineau County, McHenry County, Rolette County]"
424,10295,"[North Dakota, North Dakota]","[Bottineau County, Rolette County]"
425,10296,"[North Dakota, North Dakota]","[Bottineau County, Rolette County]"
426,10297,"[North Dakota, North Dakota]","[Bottineau County, Rolette County]"
427,10298,"[North Dakota, North Dakota]","[Bottineau County, McHenry County]"
428,10299,North Dakota,Bottineau County
429,10300,North Dakota,Bottineau County
430,10301,"[North Dakota, North Dakota, North Dakota]","[Ward County, Mountrail County, Renville County]"
431,10302,"[North Dakota, North Dakota, North Dakota]","[McHenry County, Benson County, Pierce County]"
432,10303,"[North Dakota, North Dakota]","[Pierce County, McHenry County]"
433,10304,"[North Dakota, North Dakota, North Dakota, North Dakota]","[Ward County, Renville County, McHenry County, Bottineau County]"
434,10305,North Dakota,Ward County
435,10306,"[North Dakota, North Dakota, North Dakota]","[McHenry County, Benson County, Pierce County]"
436,10307,"[North Dakota, North Dakota]","[Pierce County, McHenry County]"
437,10308,"[North Dakota, North Dakota]","[Pierce County, McHenry County]"
438,10309,North Dakota,Ward County
