County,State,pop_2016,pop_2017,pop_2018
Yukon-Koyukuk Census Area,Alaska,5423,5396,5327
Apache County,Arizona,71403,71545,71818
Cochise County,Arizona,125782,124990,126770
Coconino County,Arizona,140515,141107,142854
Gila County,Arizona,53404,53629,53889
Graham County,Arizona,37823,37501,38072
Greenlee County,Arizona,9651,9468,9483
La Paz County,Arizona,20661,20735,21098
Maricopa County,Arizona,4258603,4329580,4410824
Mohave County,Arizona,205521,207114,209550
Navajo County,Arizona,108523,109144,110445
Pima County,Arizona,1017624,1027502,1039073
Pinal County,Arizona,417363,432114,447138
Santa Cruz County,Arizona,46468,46636,46511
Yavapai County,Arizona,224591,228055,231993
Yuma County,Arizona,207520,209756,212128
Arkansas County,Arkansas,18145,17904,17769
Ashley County,Arkansas,20525,20319,20046
Baxter County,Arkansas,41139,41316,41619
Benton County,Arkansas,259234,266504,272608
Boone County,Arkansas,37260,37486,37480
Bradley County,Arkansas,10967,10853,10897
Calhoun County,Arkansas,5142,5224,5277
Carroll County,Arkansas,27753,27947,28223
Chicot County,Arkansas,10892,10639,10438
Clark County,Arkansas,22600,22180,22061
Clay County,Arkansas,15051,14910,14847
Cleburne County,Arkansas,25174,25046,24965
Cleveland County,Arkansas,8249,8181,8018
Columbia County,Arkansas,24049,23700,23537
Conway County,Arkansas,20871,20848,20891
Craighead County,Arkansas,105830,107037,108558
Crawford County,Arkansas,62309,62917,63406
Crittenden County,Arkansas,49345,48730,48342
Cross County,Arkansas,17024,16852,16676
Dallas County,Arkansas,7402,7354,7182
Desha County,Arkansas,11899,11732,11512
Drew County,Arkansas,18552,18373,18328
Faulkner County,Arkansas,122100,123397,124806
Franklin County,Arkansas,17669,17844,17810
Fulton County,Arkansas,12096,12112,12269
Garland County,Arkansas,98311,98444,99154
Grant County,Arkansas,18059,18096,18188
Greene County,Arkansas,44730,44977,45325
Hempstead County,Arkansas,22036,21881,21741
Hot Spring County,Arkansas,33419,33600,33701
Howard County,Arkansas,13366,13377,13341
Independence County,Arkansas,37118,37409,37678
Izard County,Arkansas,13486,13680,13593
Jackson County,Arkansas,17290,17057,16811
Jefferson County,Arkansas,70400,69269,68114
Johnson County,Arkansas,26150,26489,26742
Lafayette County,Arkansas,6893,6822,6682
Lawrence County,Arkansas,16649,16590,16434
Lee County,Arkansas,9340,9147,8985
Lincoln County,Arkansas,13724,13473,13383
Little River County,Arkansas,12421,12393,12326
Logan County,Arkansas,21725,21753,21737
Lonoke County,Arkansas,71819,72878,73657
Madison County,Arkansas,16112,16349,16481
Marion County,Arkansas,16378,16460,16722
Miller County,Arkansas,43842,43884,43592
Mississippi County,Arkansas,42879,42073,41239
Monroe County,Arkansas,7203,7052,6900
Montgomery County,Arkansas,8949,8907,8924
Nevada County,Arkansas,8380,8328,8326
Newton County,Arkansas,7860,7837,7805
Ouachita County,Arkansas,24015,23824,23606
Perry County,Arkansas,10274,10335,10352
Phillips County,Arkansas,19062,18564,18029
Pike County,Arkansas,10825,10721,10673
Poinsett County,Arkansas,24007,24121,23974
Polk County,Arkansas,20151,20162,20049
Pope County,Arkansas,63876,63655,64000
Prairie County,Arkansas,8252,8250,8074
Pulaski County,Arkansas,394386,393616,392680
Randolph County,Arkansas,17427,17645,17948
St. Francis County,Arkansas,26344,25938,25439
Saline County,Arkansas,117695,119669,121421
Scott County,Arkansas,10313,10374,10319
Searcy County,Arkansas,7964,7947,7958
Sebastian County,Arkansas,127477,127865,127753
Sevier County,Arkansas,16980,17146,17139
Sharp County,Arkansas,17014,17200,17366
Stone County,Arkansas,12498,12517,12457
Union County,Arkansas,39883,39420,39126
Van Buren County,Arkansas,16629,16533,16603
Washington County,Arkansas,228438,232780,236961
White County,Arkansas,78967,78941,78727
Woodruff County,Arkansas,6616,6600,6490
Yell County,Arkansas,21501,21544,21535
Alameda County,California,1650306,1658131,1666753
Alpine County,California,1057,1121,1101
Amador County,California,37438,38551,39383
Butte County,California,226529,229207,231256
Calaveras County,California,45303,45642,45602
Colusa County,California,21553,21675,21627
Contra Costa County,California,1137194,1144863,1150215
Del Norte County,California,27422,27428,27828
El Dorado County,California,186082,188722,190678
Fresno County,California,977956,986542,994400
Glenn County,California,27851,27956,28047
Humboldt County,California,136314,136527,136373
Imperial County,California,180268,181574,181827
Inyo County,California,17996,17948,17987
Kern County,California,882361,888988,896764
Kings County,California,149509,149696,151366
Lake County,California,63884,64162,64382
Lassen County,California,30906,31123,30802
Los Angeles County,California,10120540,10118759,10105518
Madera County,California,154160,155904,157672
Marin County,California,260633,259725,259666
Mariposa County,California,17455,17437,17471
Mendocino County,California,87382,87697,87606
Merced County,California,267971,271340,274765
Modoc County,California,8935,8848,8777
Mono County,California,14202,14235,14250
Monterey County,California,434767,435477,435594
Napa County,California,141185,140386,139417
Nevada County,California,98964,99503,99696
Orange County,California,3170707,3179950,3185968
Placer County,California,379288,385565,393149
Plumas County,California,18772,18740,18804
Riverside County,California,2382570,2417224,2450758
Sacramento County,California,1511510,1527718,1540975
San Benito County,California,59235,60199,61537
San Bernardino County,California,2134174,2153203,2171603
San Diego County,California,3310280,3325468,3343364
San Francisco County,California,872795,879166,883305
San Joaquin County,California,732185,742516,752660
San Luis Obispo County,California,281958,282838,284010
San Mateo County,California,768204,768808,769545
Santa Barbara County,California,444675,445606,446527
Santa Clara County,California,1929581,1933383,1937570
Santa Cruz County,California,274702,275105,274255
Shasta County,California,178581,179539,180040
Sierra County,California,2957,3009,2987
Siskiyou County,California,43479,43784,43724
Solano County,California,439300,443877,446610
Sonoma County,California,503249,503246,499942
Stanislaus County,California,539542,545267,549815
Sutter County,California,95898,96438,96807
Tehama County,California,63352,63718,63916
Trinity County,California,12830,12726,12535
Tulare County,California,460023,463097,465861
Tuolumne County,California,53704,54039,54539
Ventura County,California,848921,850802,850967
Yolo County,California,215530,218376,220408
Yuba County,California,75002,76775,78041
Adams County,Colorado,498249,504428,511868
Alamosa County,Colorado,16461,16543,16683
Arapahoe County,Colorado,638571,644132,651215
Archuleta County,Colorado,12832,13317,13765
Baca County,Colorado,3528,3563,3585
Bent County,Colorado,5645,5857,5882
Boulder County,Colorado,322527,324073,326078
Broomfield County,Colorado,66474,68232,69267
Chaffee County,Colorado,19089,19651,20027
Cheyenne County,Colorado,1849,1860,1876
Clear Creek County,Colorado,9356,9582,9605
Conejos County,Colorado,8057,8153,8200
Costilla County,Colorado,3696,3772,3828
Crowley County,Colorado,5261,5798,5858
Custer County,Colorado,4593,4873,4954
Delta County,Colorado,30356,30537,30953
Denver County,Colorado,696618,705439,716492
Dolores County,Colorado,2056,2053,2074
Douglas County,Colorado,328088,335668,342776
Eagle County,Colorado,54579,54992,54993
Elbert County,Colorado,25138,25735,26282
El Paso County,Colorado,688687,700800,713856
Fremont County,Colorado,46982,47607,48021
Garfield County,Colorado,58847,59113,59770
Gilpin County,Colorado,5914,6026,6121
Grand County,Colorado,15170,15356,15525
Gunnison County,Colorado,16489,16931,17246
Hinsdale County,Colorado,788,791,811
Huerfano County,Colorado,6579,6645,6889
Jackson County,Colorado,1357,1379,1399
Jefferson County,Colorado,571779,575817,580233
Kiowa County,Colorado,1342,1367,1383
Kit Carson County,Colorado,7625,7152,7163
Lake County,Colorado,7584,7753,7824
La Plata County,Colorado,55258,55541,56310
Larimer County,Colorado,338926,343993,350518
Las Animas County,Colorado,14076,14231,14503
Lincoln County,Colorado,5549,5530,5610
Logan County,Colorado,21733,21665,21528
Mesa County,Colorado,149838,151406,153207
Mineral County,Colorado,757,759,776
Moffat County,Colorado,13143,13095,13188
Montezuma County,Colorado,25999,26148,26158
Montrose County,Colorado,41168,41785,42214
Morgan County,Colorado,28143,28228,28558
Otero County,Colorado,18212,18403,18432
Ouray County,Colorado,4788,4809,4833
Park County,Colorado,17362,17920,18556
Phillips County,Colorado,4283,4297,4286
Pitkin County,Colorado,17967,17952,17950
Prowers County,Colorado,11967,12071,12164
Pueblo County,Colorado,164877,166426,167529
Rio Blanco County,Colorado,6469,6394,6336
Rio Grande County,Colorado,11337,11306,11250
Routt County,Colorado,24787,25346,25733
Saguache County,Colorado,6406,6643,6843
San Juan County,Colorado,689,711,762
San Miguel County,Colorado,8023,8047,8191
Sedgwick County,Colorado,2405,2334,2303
Summit County,Colorado,30676,31004,31007
Teller County,Colorado,24036,24638,25083
Washington County,Colorado,4836,4936,4909
Weld County,Colorado,294965,305274,314305
Yuma County,Colorado,10080,10015,10020
Fairfield County,Connecticut,944802,943457,943823
Hartford County,Connecticut,894170,892931,892697
Litchfield County,Connecticut,182801,181710,181111
Middlesex County,Connecticut,163152,162855,162682
New Haven County,Connecticut,857991,857794,857620
New London County,Connecticut,268612,267826,266784
Tolland County,Connecticut,151094,150933,150921
Windham County,Connecticut,116052,116374,117027
Kent County,Delaware,174528,176445,178550
New Castle County,Delaware,555403,556419,559335
Sussex County,Delaware,219285,224214,229286
District of Columbia,District of Columbia,686575,695691,702455
Alachua County,Florida,264287,266820,269956
Baker County,Florida,27872,28230,28355
Bay County,Florida,183384,184046,185287
Bradford County,Florida,26736,27133,27732
Brevard County,Florida,577338,588265,596849
Broward County,Florida,1912977,1934471,1951260
Calhoun County,Florida,14334,14437,14587
Charlotte County,Florida,177722,181537,184998
Citrus County,Florida,142850,145512,147929
Clay County,Florida,207247,212177,216072
Collier County,Florida,365345,372345,378488
Columbia County,Florida,69217,69825,70503
DeSoto County,Florida,36261,37252,37489
Dixie County,Florida,16461,16636,16700
Duval County,Florida,925996,937642,950181
Escambia County,Florida,311537,313258,315534
Flagler County,Florida,107351,109937,112067
Franklin County,Florida,11830,11752,11736
Gadsden County,Florida,46051,45972,45894
Gilchrist County,Florida,17598,17865,18256
Glades County,Florida,13420,13608,13724
Gulf County,Florida,16061,16122,16164
Hamilton County,Florida,14309,14389,14310
Hardee County,Florida,27229,27202,27245
Hendry County,Florida,40103,41144,41556
Hernando County,Florida,182558,186784,190865
Highlands County,Florida,102191,104060,105424
Hillsborough County,Florida,1380991,1410115,1436888
Holmes County,Florida,19389,19448,19477
Indian River County,Florida,151248,154314,157413
Jackson County,Florida,48337,48360,48305
Jefferson County,Florida,13938,14147,14288
Lafayette County,Florida,8763,8623,8732
Lake County,Florida,334748,345087,356495
Lee County,Florida,722386,739506,754610
Leon County,Florida,286977,291247,292502
Levy County,Florida,39829,40306,40770
Liberty County,Florida,8302,8242,8457
Madison County,Florida,18299,18465,18529
Manatee County,Florida,375402,385450,394855
Marion County,Florida,347767,353717,359977
Martin County,Florida,158426,159792,160912
Miami-Dade County,Florida,2722574,2744878,2761581
Monroe County,Florida,76982,76636,75027
Nassau County,Florida,80009,82864,85832
Okaloosa County,Florida,200260,203684,207269
Okeechobee County,Florida,40716,41188,41537
Orange County,Florida,1324843,1352933,1380645
Osceola County,Florida,337730,352661,367990
Palm Beach County,Florida,1451384,1470338,1485941
Pasco County,Florida,509929,525021,539630
Pinellas County,Florida,960737,969305,975280
Polk County,Florida,666236,685830,708009
Putnam County,Florida,72378,73385,74163
St. Johns County,Florida,234996,243928,254261
St. Lucie County,Florida,305837,313400,321128
Santa Rosa County,Florida,169892,174069,179349
Sarasota County,Florida,413027,419689,426718
Seminole County,Florida,455665,462236,467832
Sumter County,Florida,121995,124933,128754
Suwannee County,Florida,43837,44136,44191
Taylor County,Florida,22115,21815,21623
Union County,Florida,15252,15469,14940
Volusia County,Florida,528747,538180,547538
Wakulla County,Florida,31893,32101,32461
Walton County,Florida,65410,68275,71375
Washington County,Florida,24471,24618,24880
Appling County,Georgia,18424,18438,18507
Atkinson County,Georgia,8252,8215,8297
Bacon County,Georgia,11301,11236,11185
Baker County,Georgia,3186,3180,3092
Baldwin County,Georgia,45231,44921,44823
Banks County,Georgia,18321,18638,18988
Barrow County,Georgia,76965,78843,80809
Bartow County,Georgia,103340,104981,106408
Ben Hill County,Georgia,17216,17001,16787
Berrien County,Georgia,18972,19113,19252
Bibb County,Georgia,153180,152892,153095
Bleckley County,Georgia,12856,12775,12838
Brantley County,Georgia,18376,18767,18897
Brooks County,Georgia,15738,15648,15513
Bryan County,Georgia,35836,37019,38109
Bulloch County,Georgia,74708,76084,77296
Burke County,Georgia,22581,22518,22423
Butts County,Georgia,23709,24042,24193
Calhoun County,Georgia,6352,6399,6352
Camden County,Georgia,52438,53067,53677
Candler County,Georgia,10847,10725,10836
Carroll County,Georgia,116123,117458,118121
Catoosa County,Georgia,66294,66503,67420
Charlton County,Georgia,12838,12822,12968
Chatham County,Georgia,288633,289260,289195
Chattahoochee County,Georgia,10088,10285,10684
Chattooga County,Georgia,24826,24716,24790
Cherokee County,Georgia,241912,247894,254149
Clarke County,Georgia,124894,126820,127330
Clay County,Georgia,3005,2962,2887
Clayton County,Georgia,279636,284534,289615
Clinch County,Georgia,6761,6684,6648
Cobb County,Georgia,748563,752783,756865
Coffee County,Georgia,42929,42885,43093
Colquitt County,Georgia,45492,45543,45592
Columbia County,Georgia,147477,151642,154291
Cook County,Georgia,17159,17230,17162
Coweta County,Georgia,140419,143050,145864
Crawford County,Georgia,12294,12295,12318
Crisp County,Georgia,22893,22723,22601
Dade County,Georgia,16220,16249,16226
Dawson County,Georgia,23608,24324,25083
Decatur County,Georgia,26683,26674,26575
DeKalb County,Georgia,747482,752088,756558
Dodge County,Georgia,20839,20741,20705
Dooly County,Georgia,13848,13690,13706
Dougherty County,Georgia,90371,89417,91243
Douglas County,Georgia,141872,143672,145331
Early County,Georgia,10292,10304,10247
Echols County,Georgia,3963,3933,4000
Effingham County,Georgia,58692,60058,62190
Elbert County,Georgia,19143,19108,19120
Emanuel County,Georgia,22419,22501,22612
Evans County,Georgia,10648,10756,10721
Fannin County,Georgia,25032,25336,25964
Fayette County,Georgia,111336,112629,113459
Floyd County,Georgia,96675,97427,97927
Forsyth County,Georgia,220311,228588,236612
Franklin County,Georgia,22292,22815,23023
Fulton County,Georgia,1022714,1038884,1050114
Gilmer County,Georgia,29907,30409,30816
Glascock County,Georgia,2979,3050,2995
Glynn County,Georgia,84241,84859,85219
Gordon County,Georgia,56933,57187,57685
Grady County,Georgia,24844,24749,24748
Greene County,Georgia,16896,17220,17698
Gwinnett County,Georgia,905277,918153,927781
Habersham County,Georgia,44123,44547,45388
Hall County,Georgia,196523,199439,202148
Hancock County,Georgia,8631,8545,8348
Haralson County,Georgia,28824,29231,29533
Harris County,Georgia,33632,33943,34475
Hart County,Georgia,25497,25756,26099
Heard County,Georgia,11576,11759,11879
Henry County,Georgia,221188,225508,230220
Houston County,Georgia,151690,153138,155469
Irwin County,Georgia,9317,9383,9398
Jackson County,Georgia,65100,67716,70422
Jasper County,Georgia,13769,13886,14040
Jeff Davis County,Georgia,14955,15013,15029
Jefferson County,Georgia,15760,15613,15430
Jenkins County,Georgia,8762,8774,8683
Johnson County,Georgia,9664,9760,9708
Jones County,Georgia,28577,28453,28616
Lamar County,Georgia,18500,18636,19000
Lanier County,Georgia,10427,10433,10340
Laurens County,Georgia,47302,47353,47325
Lee County,Georgia,29212,29443,29764
Liberty County,Georgia,61551,61745,61497
Lincoln County,Georgia,7856,7861,7915
Long County,Georgia,18347,18773,18998
Lowndes County,Georgia,114342,115389,116321
Lumpkin County,Georgia,31505,32822,32955
McDuffie County,Georgia,21467,21497,21531
McIntosh County,Georgia,14058,14102,14340
Macon County,Georgia,13487,13251,13143
Madison County,Georgia,28821,29277,29650
Marion County,Georgia,8465,8414,8351
Meriwether County,Georgia,21076,21031,21068
Miller County,Georgia,5873,5833,5686
Mitchell County,Georgia,22466,22333,22192
Monroe County,Georgia,26935,27181,27520
Montgomery County,Georgia,8991,9068,9193
Morgan County,Georgia,18103,18381,18853
Murray County,Georgia,39375,39809,39921
Muscogee County,Georgia,196198,193766,194160
Newton County,Georgia,106600,107935,109541
Oconee County,Georgia,36871,38012,39272
Oglethorpe County,Georgia,14710,14888,15054
Paulding County,Georgia,155364,159552,164044
Peach County,Georgia,26775,26881,27297
Pickens County,Georgia,30661,31526,31980
Pierce County,Georgia,19109,19219,19389
Pike County,Georgia,17888,18206,18634
Polk County,Georgia,41625,41910,42470
Pulaski County,Georgia,11290,11208,11069
Putnam County,Georgia,21527,21706,21809
Quitman County,Georgia,2326,2348,2279
Rabun County,Georgia,16471,16557,16867
Randolph County,Georgia,7154,6991,6833
Richmond County,Georgia,201801,201460,201554
Rockdale County,Georgia,89021,89866,90594
Schley County,Georgia,5173,5254,5236
Screven County,Georgia,14000,13959,13938
Seminole County,Georgia,8424,8287,8315
Spalding County,Georgia,64570,65403,66100
Stephens County,Georgia,25664,25785,26035
Stewart County,Georgia,6015,6179,6199
Sumter County,Georgia,30356,29817,29733
Talbot County,Georgia,6354,6257,6272
Taliaferro County,Georgia,1613,1622,1608
Tattnall County,Georgia,25295,25353,25391
Taylor County,Georgia,8188,8114,8039
Telfair County,Georgia,15913,15890,15876
Terrell County,Georgia,8865,8717,8611
Thomas County,Georgia,44968,44662,44448
Tift County,Georgia,40552,40438,40571
Toombs County,Georgia,27144,26896,26887
Towns County,Georgia,11407,11539,11852
Treutlen County,Georgia,6704,6760,6809
Troup County,Georgia,69924,70038,70034
Turner County,Georgia,7941,7915,7912
Twiggs County,Georgia,8245,8260,8188
Union County,Georgia,22671,23427,24001
Upson County,Georgia,26255,26197,26215
Walker County,Georgia,68452,69027,69410
Walton County,Georgia,89873,91406,93503
Ware County,Georgia,35704,35728,35680
Warren County,Georgia,5349,5292,5251
Washington County,Georgia,20341,20294,20386
Wayne County,Georgia,29953,29760,29808
Webster County,Georgia,2615,2596,2611
Wheeler County,Georgia,7999,7952,7879
White County,Georgia,28824,29455,29970
Whitfield County,Georgia,104308,104063,104062
Wilcox County,Georgia,8835,8794,8812
Wilkes County,Georgia,9810,9877,9876
Wilkinson County,Georgia,9020,8967,9036
Worth County,Georgia,20719,20536,20299
Hawaii County,Hawaii,198126,199503,200983
Honolulu County,Hawaii,992692,986429,980080
Kalawao County,Hawaii,88,88,88
Kauai County,Hawaii,71575,71780,72133
Maui County,Hawaii,165624,166403,167207
Ada County,Idaho,444824,456885,469966
Adams County,Idaho,3940,4132,4250
Bannock County,Idaho,84794,85641,87138
Bear Lake County,Idaho,5926,6031,6050
Benewah County,Idaho,9015,9165,9226
Bingham County,Idaho,45318,45904,46236
Blaine County,Idaho,21987,22277,22601
Boise County,Idaho,7084,7355,7634
Bonner County,Idaho,42333,43621,44727
Bonneville County,Idaho,112249,114692,116854
Boundary County,Idaho,11652,11914,11948
Butte County,Idaho,2574,2600,2611
Camas County,Idaho,1083,1097,1127
Canyon County,Idaho,211370,216871,223499
Caribou County,Idaho,6901,7027,7060
Cassia County,Idaho,23494,23697,23864
Clark County,Idaho,871,885,852
Clearwater County,Idaho,8652,8654,8758
Custer County,Idaho,4083,4152,4280
Elmore County,Idaho,26084,26800,27259
Franklin County,Idaho,13318,13488,13726
Fremont County,Idaho,12916,13115,13168
Gem County,Idaho,16958,17343,17634
Gooding County,Idaho,15166,15170,15196
Idaho County,Idaho,16230,16373,16513
Jefferson County,Idaho,27841,28500,29439
Jerome County,Idaho,23425,23759,24015
Kootenai County,Idaho,153103,157485,161505
Latah County,Idaho,39038,39714,40134
Lemhi County,Idaho,7709,7861,7961
Lewis County,Idaho,3854,3902,3861
Lincoln County,Idaho,5275,5338,5360
Madison County,Idaho,38960,39373,39304
Minidoka County,Idaho,20654,20796,20825
Nez Perce County,Idaho,40160,40374,40408
Oneida County,Idaho,4303,4412,4488
Owyhee County,Idaho,11369,11626,11693
Payette County,Idaho,22901,23208,23551
Power County,Idaho,7712,7648,7768
Shoshone County,Idaho,12430,12552,12796
Teton County,Idaho,11152,11435,11640
Twin Falls County,Idaho,83747,85278,86081
Valley County,Idaho,10431,10693,11041
Washington County,Idaho,10044,10061,10161
Adams County,Illinois,66521,66094,65691
Alexander County,Illinois,6457,6302,6060
Bond County,Illinois,16541,16635,16630
Boone County,Illinois,53594,53512,53577
Brown County,Illinois,6627,6611,6556
Bureau County,Illinois,33391,33168,32993
Calhoun County,Illinois,4866,4841,4802
Carroll County,Illinois,14593,14481,14312
Cass County,Illinois,12667,12461,12260
Champaign County,Illinois,209961,210104,209983
Christian County,Illinois,33214,33011,32661
Clark County,Illinois,15860,15809,15596
Clay County,Illinois,13315,13272,13253
Clinton County,Illinois,37592,37607,37639
Coles County,Illinois,51767,51348,50885
Cook County,Illinois,5228455,5204502,5180493
Crawford County,Illinois,19136,18955,18807
Cumberland County,Illinois,10868,10864,10808
DeKalb County,Illinois,103984,104151,104143
De Witt County,Illinois,16133,15909,15769
Douglas County,Illinois,19720,19639,19479
DuPage County,Illinois,931680,930662,928589
Edgar County,Illinois,17518,17411,17360
Edwards County,Illinois,6535,6471,6392
Effingham County,Illinois,34186,34147,34208
Fayette County,Illinois,21566,21535,21416
Ford County,Illinois,13346,13317,13264
Franklin County,Illinois,39093,39004,38701
Fulton County,Illinois,35455,35095,34844
Gallatin County,Illinois,5157,5069,5058
Greene County,Illinois,13119,13168,13044
Grundy County,Illinois,50306,50613,50972
Hamilton County,Illinois,8186,8195,8163
Hancock County,Illinois,18203,17973,17844
Hardin County,Illinois,3988,3935,3910
Henderson County,Illinois,6886,6819,6709
Henry County,Illinois,49511,49246,49090
Iroquois County,Illinois,28168,27830,27604
Jackson County,Illinois,58776,57958,57419
Jasper County,Illinois,9576,9540,9611
Jefferson County,Illinois,38247,38111,37820
Jersey County,Illinois,21906,21901,21847
Jo Daviess County,Illinois,21842,21549,21366
Johnson County,Illinois,12457,12425,12456
Kane County,Illinois,531463,533156,534216
Kankakee County,Illinois,111074,110544,110024
Kendall County,Illinois,124592,126272,127915
Knox County,Illinois,50938,50628,50112
Lake County,Illinois,704644,703006,700832
LaSalle County,Illinois,110203,109681,109430
Lawrence County,Illinois,16167,16000,15765
Lee County,Illinois,34482,34511,34223
Livingston County,Illinois,36100,36115,35761
Logan County,Illinois,29153,29015,28925
McDonough County,Illinois,30875,30323,29955
McHenry County,Illinois,307296,308013,308570
McLean County,Illinois,173140,172845,172828
Macon County,Illinois,106430,105533,104712
Macoupin County,Illinois,45689,45515,45313
Madison County,Illinois,265733,265471,264461
Marion County,Illinois,38055,37821,37620
Marshall County,Illinois,11875,11685,11534
Mason County,Illinois,13673,13688,13565
Massac County,Illinois,14439,14312,14080
Menard County,Illinois,12399,12286,12288
Mercer County,Illinois,15599,15623,15601
Monroe County,Illinois,33908,34159,34335
Montgomery County,Illinois,29056,28755,28601
Morgan County,Illinois,34616,34199,33976
Moultrie County,Illinois,14603,14703,14717
Ogle County,Illinois,51162,51032,50923
Peoria County,Illinois,185073,182578,180621
Perry County,Illinois,21391,21297,21174
Piatt County,Illinois,16526,16456,16396
Pike County,Illinois,15738,15672,15611
Pope County,Illinois,4179,4194,4212
Pulaski County,Illinois,5602,5541,5463
Putnam County,Illinois,5714,5718,5740
Randolph County,Illinois,32416,32264,32106
Richland County,Illinois,15822,15848,15763
Rock Island County,Illinois,145230,144293,143477
St. Clair County,Illinois,263102,262426,261059
Saline County,Illinois,24230,24035,23906
Sangamon County,Illinois,198004,196889,195348
Schuyler County,Illinois,7029,6976,6907
Scott County,Illinois,5048,4978,4926
Shelby County,Illinois,21738,21752,21741
Stark County,Illinois,5509,5457,5427
Stephenson County,Illinois,45497,44981,44753
Tazewell County,Illinois,133887,133391,132328
Union County,Illinois,17112,16985,16841
Vermilion County,Illinois,78494,77776,76806
Wabash County,Illinois,11542,11550,11549
Warren County,Illinois,17303,17170,17032
Washington County,Illinois,14178,13951,13995
Wayne County,Illinois,16549,16442,16332
White County,Illinois,14070,13925,13665
Whiteside County,Illinois,56472,55947,55626
Will County,Illinois,688648,691017,692310
