HID,TID
511210203001817,128
511210207001150,1295
511210207001142,613
51121020900308,645
511210207001139,613
51121021300433,675
511210203001849,128
51121021300444,1482
51121021300446,165
511210203001847,128
51121021300428,804
511210207001146,1150
511210207001137,1360
51121021300442,1459
511210207001125,212
511210207001131,469
511210207001141,613
511210203001863,1065
511210203001844,128
51121021300441,165
511210207001133,469
51121021300437,165
511210207001129,473
51121021300447,165
511210207001134,1360
511210203001861,1065
511210203001855,111
51121021300429,165
511210203001856,111
511210203001862,1065
51121020900305,1081
511210203001852,128
511210207001126,212
511210207001130,469
511210203001857,1065
51121021300439,1482
511210204001694,1145
511210207001128,473
511210207001144,613
511210203001864,218
51121021300445,1321
511210203001853,128
511210203001860,111
511210203001859,111
511210203001851,128
511210207001135,1360
511210203001865,218
511210203001848,128
51121021300438,165
51121021300440,1482
511210203001858,1065
51121021300443,184
51121020900321,176
51121021300411,940
511210207001117,895
511210207001132,469
51121020900325,8
511210207001127,473
511210207001157,1295
51121020900320,176
511210203001854,128
51121020900326,8
511210207001114,1150
511210207001119,1479
51121021300407,590
511210203001828,128
51121020900328,8
51121020900324,846
51121021300404,165
51121020900329,8
51121021300414,165
51121021300406,165
511210203001831,720
511210203001827,128
51121021300412,940
511210203001832,128
511210207001115,732
51121021300410,165
511210203001822,334
51121020900323,846
511210207001123,469
511210203001830,128
511210203001823,776
511210203001826,128
511210203001825,776
511210207001121,469
51121021300409,590
51121021300405,165
51121021300423,531
51121020900327,8
51121021300422,590
511210207001105,1007
511210207001124,469
511210207001122,469
511210207001116,732
511210203001824,334
511210203001829,128
511210207001106,1150
51121021300413,940
511210207001120,1007
51121021300408,590
511210203001836,1003
511210207001118,1479
51121020900310,176
51121020900322,176
51121020900318,1085
51121020900311,176
511210203001833,1003
511210207001109,1150
511210203001834,1003
51121021300479,229
51121020900315,176
51121020900312,176
511210207001112,418
51121020900319,176
511210203001842,334
511210203001835,334
511210207001104,1007
511210203001839,334
511210207001113,1150
511210203001837,1003
511210203001843,334
51121021300416,325
511210203001840,334
511210207001107,1150
51121021300421,590
51121020900316,176
511210207001110,418
511210203001838,1003
511210207001108,1150
51121020900314,176
51121021300425,1321
51121021300424,1482
51121021300417,325
51121021300489,583
51121021300477,1060
51121021300449,74
51121021300452,910
51121021300453,675
51121021300457,229
51121021300476,423
51121021300448,165
51121020900313,176
51121021300458,860
51121020300592,354
51121021300467,423
51121021300466,423
51121021300483,898
51121021300471,74
51121021300474,229
51121021300454,74
51121021300472,74
51121020900317,846
51121021300481,588
51121021300473,1060
511210207001103,1150
51121021300475,547
51121020300593,354
51121021300482,1459
511210207001111,418
51121021300468,423
51121021300462,547
51121020300598,655
51121020300590,354
51121021300450,860
51121021300451,910
51121021300455,860
51121021300495,1219
51121021300480,229
51121021300460,1069
51121021300469,229
51121021300418,325
51121021300464,547
51121021300498,513
51121020300596,354
51121021300463,547
51121020300595,354
51121021300487,588
51121020300599,655
51121020300594,354
51121020300591,354
51121021300478,229
51121021300484,1219
51121021300419,20
51121021300415,547
51121021300420,590
51121021300488,1135
51121021300459,860
51121021300499,361
511210203001841,334
51121021300456,45
51121021300486,588
51121021300485,1219
51121021300470,547
51121021300465,898
51121021300491,1135
51121021300461,675
51121020300597,655
51121020300665,655
51121020300660,1084
51121020300661,1084
511210205001431,748
511210207001198,1295
511210202011400,224
511210202011403,224
51121020300668,655
51121021300496,1219
51121021300497,588
511210207001195,1150
511210207001193,1295
511210205001432,1356
511210205001430,507
511210207001196,1150
511210202011402,224
51121021300493,45
511210208001026,1473
51121021300494,1439
51121020300664,655
511210207001190,1295
511210208001029,373
511210208001028,1473
51121020300667,655
51121020300666,655
511210208001027,1473
511210207001192,1295
51121021300490,184
511210205001434,748
511210207001197,469
511210207001194,1150
511210205001433,748
51121020300663,927
51121021300492,315
511210208001025,1473
511210207001199,104
511210207001191,1295
51121020300652,453
511210205001425,507
511210205001424,507
51121020300662,927
511210208001038,1473
51121020300656,775
511210205001428,507
51121020300658,775
511210208001032,1417
511210205001426,748
511210208001035,1473
51121020300651,1084
51121020300649,354
51121020300659,775
51121020300653,453
511210205001443,1430
511210205001445,1430
511210205001427,748
511210205001439,507
511210208001034,1473
511210205001429,507
511210202011401,224
511210205001442,407
511210208001039,305
511210205001444,1430
51121020300657,775
511210208001033,1473
511210208001044,113
511210208001030,373
51121020300654,775
511210208001037,1254
511210208001031,1417
511210205001440,407
511210208001040,305
51121020300650,1084
511210208001041,305
511210205001441,407
51121020300655,775
511210208001036,1473
511210208001042,1417
511210208001006,530
511210208001005,530
511210208001010,564
511210205001451,254
51121020300639,775
51121020300642,775
51121020300640,775
511210208001011,564
51121020300647,354
51121020300643,775
51121020300644,775
511210205001448,1430
511210208001008,564
51121020300636,775
511210205001450,254
511210208001007,530
51121020300638,775
511210205001452,618
511210208001004,530
51121020300646,1084
511210205001436,507
511210208001012,606
511210208001003,530
511210208001045,113
511210205001447,1430
511210205001454,618
51121020300645,1084
51121020300641,775
51121020300648,354
511210205001455,618
511210208001009,305
511210205001456,618
511210208001043,1417
511210205001438,507
511210208001046,113
511210205001435,748
511210205001453,618
511210205001449,1430
511210208001013,305
511210205001437,507
511210208001016,305
51121020300629,354
51121020300634,775
51121020300633,775
511210208001015,305
51121020300628,354
511210206001298,446
511210206001294,446
51121020300631,354
51121020300637,775
511210206001299,446
511210205001466,594
511210206001293,446
511210206001290,446
51121020300630,354
511210206001292,446
511210205001463,594
511210208001019,305
511210208001024,1473
511210206001291,446
511210205001446,1430
511210205001467,594
511210205001465,594
511210205001462,594
511210208001020,305
511210205001464,594
511210205001460,618
511210206001295,446
511210206001297,446
511210205001461,594
51121020300635,775
511210208001021,305
511210208001014,305
511210208001022,305
511210208001018,305
511210208001017,305
51121020300632,354
511210206001296,446
511210205001459,618
51121020300627,354
51121020300626,1084
511210202011439,125
511210205001471,1133
511210202011442,125
511210206001285,1138
511210205001476,1133
511210206001287,1138
511210205001477,1133
511210205001472,1133
511210202011438,125
511210206001281,1138
511210206001286,1138
511210206001289,586
511210202011446,29
511210205001468,1133
511210205001457,618
511210202011440,125
511210205001458,618
511210202011445,627
511210208001023,1473
511210205001481,748
511210206001283,1138
511210205001478,1133
511210206001280,1138
511210205001473,1133
511210205001475,1133
51121020300692,893
511210206001282,1138
511210205001470,1133
511210206001277,1344
511210202011437,125
511210206001288,1138
511210206001284,586
511210202011443,627
511210206001278,1138
51121020300697,893
511210202011431,570
511210205001484,439
511210205001483,178
511210205001487,439
511210202011432,224
511210202011435,801
511210206001275,1344
51121020300698,893
51121020300690,453
511210206001273,1195
51121020300699,893
51121020300695,893
511210202011433,224
511210202011441,125
511210206001279,1138
511210205001489,439
511210202011444,627
511210205001482,178
511210205001486,439
511210202011434,801
511210202011436,125
511210205001488,439
511210202011430,224
511210206001271,468
51121020300693,893
51121020300694,893
511210202011447,627
511210206001270,468
511210205001485,439
511210202011428,570
51121020300696,893
511210206001274,1344
511210205001480,748
511210206001272,1195
511210205001474,1133
51121020300691,453
511210206001276,1344
511210206001261,1195
511210208001001,530
51121020300680,927
511210202011426,570
51121020300686,453
511210202011429,224
511210206001267,468
51121020300681,927
511210205001479,748
51121020300685,453
511210206001265,1195
511210206001269,1195
511210206001262,1195
51121020300689,453
511210205001496,1340
511210202011422,570
51121020300687,453
511210208001002,530
511210206001264,468
51121020300688,453
511210205001492,439
511210206001268,468
511210205001491,439
511210202011421,570
511210205001490,439
511210202011420,570
511210202011425,224
511210202011424,570
511210202011427,224
511210205001469,101
51121020300683,1084
511210205001495,1340
51121020300682,927
51121020300672,655
511210202011412,224
51121020300673,655
511210202011406,224
511210202011407,224
511210202011404,224
51121020300675,655
511210202011411,224
511210206001266,1195
51121020300669,655
511210202011405,224
511210202011409,224
511210206001248,1195
511210202011408,224
511210206001247,468
511210206001249,1195
511210206001244,468
511210207001216,469
511210206001243,468
511210206001246,468
511210207001215,469
511210207001213,469
511210206001245,1195
511210207001214,469
511210202011482,306
511210206001240,446
511210207001219,469
511210207001218,469
511210206001242,468
511210202011483,306
511210206001241,468
511210202011480,1383
511210202011481,306
511210202011486,801
511210202011487,801
511210202011484,627
511210202011485,306
511210207001217,469
511210203001888,576
51121020300670,655
511210206001256,1195
511210203001889,576
511210202011418,224
511210202011416,224
51121020300674,655
51121020300678,354
511210202011488,801
51121020300677,354
511210206001259,1195
511210206001258,468
51121020300676,354
511210204001620,1010
511210206001255,1195
511210202011489,801
511210203001898,576
511210204001614,353
511210204001616,353
511210203001894,576
511210204001622,353
511210203001897,576
511210204001613,353
511210203001893,576
511210204001618,1010
511210203001891,576
511210204001612,353
511210203001895,576
511210204001617,1010
511210203001892,198
511210204001615,353
511210206001239,446
511210203001890,198
511210206001236,1173
511210203001896,1299
51121020300684,1084
511210204001619,1010
511210206001250,468
511210205001493,439
511210202011417,570
511210206001251,468
511210205001497,1340
511210202011419,224
51121020900299,846
511210204001621,1010
511210207001222,104
511210207001205,212
511210207001203,104
511210207001220,895
511210207001204,212
51121020900297,846
511210206001235,1173
511210206001234,1173
511210202011470,1383
511210207001206,1150
511210202011472,1383
511210207001207,732
511210207001209,732
511210202011475,1383
511210207001208,732
511210202011477,1383
511210206001231,1173
511210206001230,1173
511210202011476,1383
511210203001899,1299
511210207001223,104
511210202011479,1383
511210204001610,353
51121020900296,260
511210202011478,1383
511210202011474,1383
511210207001202,104
511210202011473,1383
511210206001232,1173
51121020900298,846
511210202011471,1383
511210206001237,1173
511210206001252,468
511210204001605,353
511210207001221,895
511210204001600,353
51121020900290,35
511210202011415,224
511210206001260,468
51121020900291,35
511210206001263,468
511210206001233,1173
511210206001238,1173
511210204001603,947
511210206001254,1195
51121020900294,260
511210206001229,1138
511210206001228,1173
511210207001212,469
511210204001609,353
511210206001224,1173
511210204001607,353
511210206001227,1173
511210206001226,1173
51121020900293,260
511210202011460,456
511210207001211,469
511210202011465,627
511210204001606,353
511210204001602,353
511210206001221,1173
511210204001608,353
511210204001604,947
511210206001222,1173
511210202011463,456
511210203001866,1065
511210204001640,947
511210207001210,469
511210202011461,456
51121020900292,645
511210204001634,1010
51121020900295,260
511210202011467,627
511210202011469,627
511210202011459,456
511210203001867,218
511210204001641,353
511210206001223,1173
511210204001601,353
511210202011466,627
511210203001875,1065
511210203001870,1065
511210203001872,1065
511210204001638,353
511210204001643,353
511210204001636,947
511210206001211,446
511210206001219,1173
511210206001214,446
511210203001871,1065
511210206001216,446
511210204001635,353
511210202011462,456
511210207001201,104
511210206001225,1173
511210206001217,1173
511210206001215,446
511210203001868,218
511210207001200,104
511210202011464,627
511210202011468,627
511210206001220,1173
511210203001869,218
511210206001212,446
511210202011450,627
511210203001876,576
511210206001210,446
511210206001213,446
511210203001874,1065
511210204001639,947
511210203001878,576
511210202011457,456
511210202011456,456
511210202011451,627
511210203001879,1299
511210202011458,456
511210202011454,627
511210202011452,627
511210206001218,1173
511210204001637,353
511210202011455,926
511210204001642,947
511210203001882,576
511210203001886,1299
511210202011449,1383
511210203001883,198
511210203001881,576
511210202011448,627
511210203001877,198
511210204001633,1010
511210204001632,1010
511210204001624,1010
511210204001629,1010
511210206001203,1275
511210204001623,1010
511210204001627,225
51121020900268,8
511210203001887,576
511210203001873,1065
511210202011453,627
511210206001208,1317
511210203001884,576
511210206001207,1317
511210206001201,586
511210204001631,225
511210206001206,1275
511210204001625,1010
511210206001200,586
511210204001626,1010
511210206001209,1317
511210204001630,1010
511210203001880,576
51121020300620,453
511210203001885,576
51121020900267,8
51121020300624,453
511210206001205,586
511210204001628,1010
511210206001202,1275
51121020300621,453
51121020300614,927
51121020900265,8
51121020900263,8
51121020300623,453
51121020900266,8
511210204001664,851
511210204001665,851
511210205001494,1264
511210208001000,530
511210206001204,586
51121020900264,8
51121020300617,655
511210202011413,224
511210204001660,947
51121020900262,176
511210204001658,947
511210206001257,468
51121020300671,655
51121020300679,354
511210204001661,947
511210204001659,947
51121020300618,775
51121020900257,645
51121020900269,846
51121020300622,453
511210204001662,947
51121020900260,176
51121020300611,380
51121020900259,176
511210204001666,851
511210204001656,947
51121020900256,645
511210205001498,1340
51121020300619,453
51121020900254,645
51121020300609,597
51121020300612,380
51121020300613,380
511210202011410,224
51121020900253,645
511210205001499,1340
51121020900261,176
511210204001663,947
511210206001253,468
51121020900255,645
51121020300615,927
511210202011414,224
51121020300616,655
511210204001650,947
511210204001645,947
51121020300603,655
511210204001652,947
51121020300610,1084
511210204001646,353
51121020300606,16
51121020300602,655
51121020300605,16
511210204001648,353
51121020900251,35
511210205001400,178
511210205001401,178
51121020900258,645
51121020300601,655
51121020900287,35
51121020300608,16
511210205001407,1356
511210202011423,570
511210204001678,0
511210204001653,947
511210204001647,947
51121020300600,655
511210204001649,353
511210204001654,947
51121020900288,35
511210205001409,1356
511210204001680,851
511210205001411,1356
51121020900286,35
511210205001408,1356
51121020900289,35
511210204001655,947
511210204001682,851
51121020900250,35
511210205001404,1356
51121020300604,655
51121020900279,176
511210202011493,1142
511210204001679,851
51121020900280,846
511210204001670,851
511210205001410,1356
51121020900285,1085
511210205001406,1356
511210204001688,851
511210205001403,178
511210202011491,801
51121020900282,370
511210205001405,1356
511210204001686,851
51121020900275,176
511210204001671,851
511210204001687,851
51121020900284,370
51121020900277,176
511210205001421,748
51121020900281,1322
51121020900283,370
511210205001423,507
51121020900276,176
511210204001685,851
511210204001674,851
511210205001419,507
511210205001402,178
511210205001412,1356
511210204001683,851
511210204001651,947
511210202011492,1142
511210204001669,851
51121020900274,176
511210204001677,851
511210204001667,851
511210205001422,507
511210204001676,851
511210205001420,507
511210205001417,1356
511210202011499,456
511210202011498,456
511210204001672,851
511210204001673,851
511210204001668,851
511210205001416,1356
511210205001418,1356
511210202011494,1142
511210204001684,851
511210205001414,1356
511210205001413,1356
51121020900271,176
51121020900273,176
511210205001415,1356
51121020900272,176
51121020900225,672
51121020900220,672
511210207001059,816
51121020900223,672
51121020900226,239
51121020900221,672
51121020900224,672
511210203001929,1335
51121020900229,239
51121021300513,898
511210204001583,947
511210204001581,1010
51121021300511,1439
511210202011496,456
511210202011497,1142
511210203001921,1335
51121020900228,239
511210203001923,1335
511210203001924,1335
51121021300510,1439
511210204001585,947
511210204001584,1010
511210204001580,353
51121020900270,846
511210204001675,851
51121020900278,176
51121021300507,1371
511210207001063,816
51121021300508,1371
511210202011490,801
511210202011495,1142
51121020202206,613
51121020202203,613
511210207001064,816
51121020202201,613
51121020202200,613
51121020202202,613
511210204001587,1010
511210203001930,1335
511210207001060,247
511210204001589,1010
511210203001931,971
511210204001579,353
511210204001588,1010
511210207001061,816
511210207001065,816
511210203001926,971
511210203001925,1335
511210203001928,971
511210204001586,947
51121020900211,856
51121020202208,580
511210203001927,971
511210204001582,947
51121021300512,898
511210203001922,1335
51121020900227,239
511210207001067,816
51121021300505,513
511210207001048,36
511210207001062,816
51121021300522,1371
511210207001066,816
51121020900212,856
51121021300523,339
51121020202205,816
51121020202207,580
51121020202209,580
51121020900219,672
511210207001049,36
51121021300503,513
51121021300509,1060
51121021300504,513
511210204001574,353
51121020202204,613
51121021300520,1219
51121021300506,1371
511210204001573,1010
51121020900214,829
511210204001571,1010
511210207001069,1479
511210203001934,1335
51121021300521,361
51121020900217,672
51121020900215,829
511210207001068,816
51121020202210,580
51121021300524,339
511210203001932,1335
511210203001940,1106
511210204001575,947
511210207001054,1291
511210207001053,1291
51121020202217,1072
511210204001576,1010
51121020202215,580
511210203001939,1406
51121020202212,1072
51121020202211,1072
511210203001941,1106
51121020202214,1072
51121020202216,1072
51121021300515,898
511210204001577,353
51121020900218,672
511210203001935,971
51121020202218,1072
51121020900243,1322
511210204001572,1010
51121020900216,829
51121021300516,898
51121020900213,260
51121020900210,58
51121020900244,1322
511210203001942,936
511210207001056,418
511210207001057,418
511210204001569,353
51121020900242,1322
511210207001051,36
511210207001058,247
511210204001568,947
511210207001052,1291
51121020900249,1085
511210204001578,947
511210207001050,36
511210203001933,971
51121021300519,70
511210203001938,1406
511210203001937,936
511210203001936,971
511210207001055,1291
51121020202213,1072
511210204001570,947
511210203001908,576
511210207001038,212
511210203001906,576
51121021300517,1439
511210207001037,469
511210203001907,1299
51121020900245,1322
51121020900248,1085
511210203001900,198
51121020900240,846
51121020900246,1085
51121020900232,239
511210203001902,576
511210207001040,212
511210203001909,576
51121021300514,898
511210203001905,1299
51121020900247,1085
51121021300518,1439
511210207001039,212
511210202011296,1142
511210207001026,36
51121020900241,610
51121020900236,610
51121020900235,610
511210207001027,36
511210207001046,574
511210207001042,574
511210207001043,574
51121020900239,846
511210207001045,574
511210203001901,576
511210203001919,198
511210203001918,880
511210207001029,36
511210203001904,576
51121020900231,239
51121020900233,239
511210207001041,574
511210203001903,1299
51121021300502,513
511210202011298,1142
51121020900230,239
511210202011295,1142
511210202011293,1142
511210207001028,36
511210202011292,1062
511210202011290,1062
511210202011297,1142
511210204001592,1010
51121021300554,339
511210203001915,678
511210202011294,1142
51121021300500,361
51121021300501,513
511210202011299,801
511210203001920,198
511210207001036,1291
511210204001591,1010
511210203001911,576
511210207001018,732
511210203001913,678
51121021300557,1067
511210207001044,574
511210202011291,1062
511210204001599,353
51121021300556,339
511210203001916,678
511210203001917,880
511210203001914,678
51121021300553,315
511210207001031,36
51121020900238,610
511210204001596,947
511210207001035,1291
51121021300555,339
511210207001019,732
511210204001595,353
511210207001016,1295
511210204001590,1010
511210204001593,851
511210203001971,218
511210203001910,576
511210207001020,732
511210203001912,576
51121020900234,239
51121020900237,610
511210203001965,936
511210207001021,732
51121021300552,315
511210207001030,36
511210207001033,1291
511210204001598,947
511210204001597,353
511210207001034,1291
511210207001032,1291
51121021300551,184
511210203001967,936
511210207001015,1295
511210204001594,851
511210207001017,732
51121021300548,583
51121021300565,169
511210207001004,36
511210207001009,1291
511210203001973,218
511210203001975,218
51121021300567,496
511210203001966,1406
51121021300549,315
511210203001974,218
511210207001007,36
511210203001970,1106
51121021300550,315
511210203001979,111
511210203001982,1335
511210207001014,1295
511210207001025,36
511210203001969,1106
51121021300547,583
51121021300560,1449
511210203001968,218
511210207001023,732
511210203001972,1106
511210203001985,111
51121021300566,911
511210203001983,292
511210207001008,1291
511210207001010,1291
51121020900204,856
51121021300535,1439
511210203001946,1406
51121021300530,898
511210207001006,36
511210207001012,1291
51121021300562,270
511210207001022,732
51121021300561,496
511210207001024,36
511210207001005,36
511210203001984,292
51121020900205,58
51121021300534,1439
511210203001976,1335
511210203001945,1406
511210203001980,111
51121021300563,270
511210203001977,1335
511210203001986,198
51121021300564,1177
511210203001948,936
51121020900201,872
51121021300533,70
51121021300568,270
511210207001003,36
51121021300525,339
51121021300541,1371
511210207001000,36
511210207001002,36
51121020900209,856
511210203001947,936
51121021300544,583
511210203001952,936
51121021300545,1067
511210203001950,1406
511210203001953,1406
51121021300529,898
51121021300527,898
51121020900206,856
51121021300540,361
51121020900200,872
51121020900207,58
511210203001957,1406
51121020900203,856
51121020900202,856
51121021300558,1026
51121021300536,339
511210203001954,1406
51121021300532,70
511210207001013,1295
511210203001978,111
511210203001962,936
51121021300599,116
51121021300539,339
511210203001981,1335
51121021300559,270
511210203001963,936
51121021300593,1026
511210203001959,1106
51121021300542,1371
511210203001960,1406
51121021300546,184
511210203001956,936
511210203001958,1406
51121020300483,380
511210203001964,936
51121021300526,1219
51121021300543,583
51121021300537,339
511210203001955,1106
51121020300496,252
51121021300596,1177
51121021300528,898
51121020300494,252
51121020300490,252
511210207001001,36
511210203001951,1406
51121020300481,380
511210203001944,1106
511210203001949,936
51121021300531,70
511210203001943,1406
511210207001011,1291
51121020900208,856
51121021300574,169
51121020300482,380
51121020300493,252
51121020300489,252
51121021300590,1449
511210208001098,838
51121021300572,911
51121021300578,402
51121021300592,169
51121020300498,919
51121020300480,380
51121020300497,919
51121020300492,252
51121020300491,252
51121021300594,1449
51121020300499,919
51121020300484,775
51121021300576,270
51121021300579,911
51121021300595,496
51121021300538,70
51121021300597,116
51121021300591,911
51121020300495,252
51121021300583,270
511210208001095,1254
51121021300569,1177
511210208001094,1254
51121021300587,169
51121021300580,270
51121020300479,380
511210203001961,1406
511210208001092,61
51121020300471,453
51121021300585,402
51121020300474,453
51121020300470,453
511210208001096,1254
51121021300577,1177
51121021300571,1177
51121020300485,252
51121020300487,252
51121020300473,453
51121021300570,1026
51121020300486,252
51121021300575,1449
511210208001091,1281
511210208001078,858
51121020300472,453
51121020300488,252
51121021300573,74
511210208001073,1281
511210208001074,858
511210208001077,858
511210208001088,564
511210208001071,1417
511210207001095,574
511210208001047,113
511210208001083,1281
511210208001082,1281
511210207001094,1479
511210208001084,61
511210208001085,564
51121021300582,1026
511210208001070,1417
511210208001075,858
511210208001079,1281
511210207001092,418
511210208001069,606
51121020300478,380
51121021300589,496
51121020300477,453
511210208001050,113
51121020300476,453
511210208001099,564
511210208001093,61
511210208001052,530
51121021300588,402
511210208001051,113
51121021300584,270
51121021300586,911
51121020300475,453
51121021300581,1026
511210208001097,1254
511210208001049,113
511210207001085,732
511210208001055,1141
511210208001048,113
511210208001054,1141
511210208001062,606
511210207001081,1419
511210207001087,469
511210207001099,1150
511210208001086,858
511210207001098,732
511210207001086,732
511210208001081,564
511210207001083,1419
511210208001080,858
511210207001096,574
511210208001064,373
511210208001087,564
511210207001088,469
511210207001091,418
511210208001061,606
511210207001090,469
511210207001093,1479
511210208001072,1417
511210207001078,1419
511210208001076,564
511210208001059,530
51121020300546,655
511210208001060,606
511210207001071,1479
511210208001065,1141
511210208001146,838
511210207001079,1419
511210208001067,1141
511210207001076,1419
511210207001084,1150
511210207001070,1479
511210208001068,606
511210207001080,1419
51121020300544,927
511210208001057,1141
511210207001089,212
511210207001082,1419
511210208001053,530
511210208001063,606
511210208001056,1141
511210208001058,530
511210205001550,507
51121020300545,655
51121020300543,380
511210208001152,838
51121020300542,380
51121020300539,775
511210208001155,838
511210205001548,507
511210208001154,838
511210205001549,507
511210208001153,838
511210208001149,838
511210208001151,838
51121020300537,775
511210208001156,61
511210208001150,838
511210206001197,1173
51121020300536,354
511210208001158,1281
511210208001157,1281
511210206001199,586
511210206001195,1173
511210205001546,507
511210205001552,507
511210205001563,382
511210208001147,838
511210206001192,446
511210207001074,104
511210208001066,1141
511210207001073,104
511210205001545,748
511210205001562,382
511210207001072,1479
511210205001554,507
511210207001075,104
51121020300528,377
51121020300547,16
511210206001196,446
51121020300532,377
51121020300530,377
511210206001194,1173
51121020300533,377
51121020300531,377
511210205001564,382
511210206001193,446
511210205001565,382
511210205001560,1264
511210205001566,382
511210206001198,1275
51121020300534,377
51121020300535,354
511210205001547,507
5112102050094,586
511210207001077,1419
5112102050090,586
51121020300538,775
511210205001555,507
511210208001160,585
511210208001148,838
51121020300541,380
511210205001553,507
511210208001166,585
511210205001557,1340
51121020300540,380
511210205001551,507
5112102050095,1138
51121020300524,775
511210208001162,1281
511210208001163,1281
51121020300526,927
511210205001558,1340
511210206001186,446
511210208001167,1281
5112102050091,586
511210208001164,1281
511210206001189,446
511210206001190,446
511210208001161,1281
51121020300527,927
511210208001159,1254
511210206001183,446
511210206001184,446
511210205001556,1340
5112102050096,149
51121020300529,377
511210205001561,178
511210208001165,1281
5112102050097,149
511210206001191,446
5112102050092,586
511210206001182,446
511210205001573,1403
511210208001124,1254
511210208001125,1254
51121020300525,999
511210205001575,707
511210206001185,446
511210206001180,1344
51121020300517,635
5112102050099,149
511210205001577,707
511210206001181,219
511210206001187,446
5112102050098,775
51121020300519,635
511210205001559,178
511210206001188,446
5112102050093,586
51121020300518,927
511210208001127,585
511210208001133,1316
5112102050084,1158
51121020300516,927
5112102050081,999
511210205001572,707
511210206001178,219
51121020300523,775
511210205001571,707
511210206001177,1138
511210208001128,50
5112102050080,999
51121020300521,999
511210205001576,707
51121020300515,635
511210208001132,1316
511210208001129,50
51121020300522,999
5112102050087,1364
511210205001568,382
511210205001580,707
511210208001134,1316
511210208001131,50
5112102050083,190
511210205001588,707
5112102050082,999
511210205001569,982
511210205001567,382
5112102050088,1364
511210205001574,707
511210208001126,1254
511210205001570,707
511210206001174,1138
511210206001173,1138
511210206001170,1344
511210206001179,1344
511210206001176,1138
511210208001142,288
511210208001130,50
51121020300513,927
51121020300509,16
51121020300514,635
51121020300507,16
511210208001141,288
511210205001586,707
511210208001140,288
511210205001584,707
51121020300512,635
51121020300510,16
51121020300506,16
511210208001138,756
511210208001136,756
511210206001172,1344
511210205001587,707
51121020300511,635
5112102050085,1364
511210208001139,756
511210205001583,707
51121020300508,16
511210208001143,61
511210205001585,1318
5112102050089,586
5112102050086,1364
511210206001175,157
511210208001145,61
511210208001137,756
511210208001135,1316
511210206001171,1344
511210208001104,564
511210205001581,707
511210208001102,564
511210208001103,50
51121020300581,919
511210202011320,456
511210205001598,982
511210202011322,306
511210206001160,1344
51121020300583,1084
51121020300505,655
511210208001144,61
511210206001169,446
511210205001590,1264
511210205001578,707
511210205001595,178
511210205001596,1264
511210205001579,1318
511210205001597,507
511210205001591,178
511210205001599,982
511210205001582,707
511210206001162,1124
511210206001166,1124
511210202011321,456
511210208001105,50
511210206001165,446
511210206001161,1344
511210208001107,50
51121020300588,16
51121020300582,919
51121020300589,354
511210206001163,446
511210206001164,446
511210206001168,446
51121020300580,919
51121020300586,893
511210206001167,1124
51121020300504,655
511210208001110,858
51121020300570,16
511210202011317,456
511210206001157,1344
511210208001108,50
511210202011326,306
51121020300585,380
51121020300584,354
511210206001152,1344
