FromBus,ToBus,LineID,kV,metres
44030,31662,31325a,138.0,34.0569636346
8968,14920,28106a,230.0,3122.38917238
14147,14148,198d,69.0,561.402711694
21170,29971,13842e,115.0,496.824764104
17512,17537,2959d,115.0,1064.27077509
24224,24217,11112b,230.0,181.484434603
13707,25097,37295,69.0,7078.68643655
40934,40932,44312,115.0,2408.11971737
61173,61145,53374b,115.0,2886.78873933
43985,19801,50446b,115.0,2312.27603993
26098,26104,19837d,115.0,141.436717612
11329,11334,15904,230.0,1580.22660932
49246,45881,71093a,115.0,21159.5515022
47013,49781,70641,60.0,451.977367265
41471,41469,17943,115.0,7862.14623437
49277,45984,65107e,287.0,17910.2014728
26426,26459,23893,115.0,31.7439756504
23566,42280,7010a,230.0,214.065607992
20379,30230,44256l,115.0,1057.37630888
34851,43860,44975,115.0,2812.96475791
50249,50250,11010a,100.0,312.471776068
20576,30355,38691b,120.0,918.295427119
29834,29833,46003a,138.0,4327.90558098
36797,36798,42333a,230.0,114.720638142
38026,51463,28832b,115.0,2385.71313109
34532,42095,45770a,138.0,195.188591164
58463,58464,52896,115.0,42.2673366274
17655,32533,252a,230.0,47.4633893431
27899,9669,18909b,115.0,4554.23132575
40573,40574,44406a,138.0,159.427066639
54853,54929,66682,138.0,4820.44374662
16465,16466,1616c,115.0,16.2754685202
54957,55108,66926b,115.0,5756.33921034
53587,41857,11956,138.0,12455.8422029
34481,38030,30376a,115.0,9548.03805367
65662,65663,55342a,46.0,22.2459666454
57062,57156,67951b,69.0,52092.6931756
63361,63360,69908d,138.0,46.2542729386
18044,18045,18668c,230.0,17.2143881052
9932,9935,26567,115.0,1681.09128915
21146,18798,18815b,230.0,854.830432752
58507,58510,59704b,115.0,276.836358784
60327,60328,58534b,115.0,132.184068412
35109,35149,12963b,161.0,3832.85540695
30689,30692,24750d,115.0,16.6186924632
28848,28285,33079,230.0,3605.09580865
52321,52322,37314b,69.0,178.985995089
16262,13191,47298b,69.0,21387.5783328
18409,18459,31127b,138.0,114.506873528
29263,29217,8828b,100.0,2526.86062465
24802,51561,41788,115.0,4679.40726201
55134,55135,68237a,138.0,260.553153664
57408,57403,66404b,115.0,492.483402425
58527,58530,58294b,69.0,885.229604656
19520,19521,17548a,115.0,294.774137226
11082,11085,16219a,115.0,1679.3009016
57917,57899,52772,115.0,8847.41812704
47046,46534,74000c,66.0,1950.56751998
62367,62368,8929b,161.0,93.4183666309
20415,20475,30953a,115.0,409.895613979
47394,46087,63727d,161.0,178.449988513
40316,40317,33345,100.0,12454.6327281
63603,63602,69712d,138.0,2087.26168277
15616,15615,39734c,69.0,3062.91163371
39006,39063,46783a,100.0,493.85088165
30757,21303,34816f,115.0,8967.47388618
54930,54929,66663,69.0,461.263161387
10536,10497,11609a,115.0,33739.1838126
44373,30688,44037c,115.0,35.4528277391
42954,37107,36898d,230.0,22895.7068322
38598,38590,30516d,115.0,8432.34579598
40125,45345,25689b,500.0,5436.41640248
13288,23012,19995,138.0,4562.9651351
51616,51638,14504c,69.0,250.731696368
52895,52896,11977e,161.0,543.827778999
23584,45512,11359d,115.0,1762.43380692
11362,11376,30832b,161.0,39.2832151405
56346,56375,67002b,69.0,8689.29074884
16814,16835,40814e,230.0,210.717962034
32252,62442,42883a,69.0,298.752555185
21578,16805,44551a,69.0,2565.15240249
41001,41097,24265,161.0,12879.6440652
50470,50498,40812c,115.0,1067.59537467
31725,53234,41828,138.0,7172.53513455
16480,31631,17510c,115.0,2918.70699789
10786,17572,1585b,161.0,206.756712411
19934,40042,38651,138.0,40284.2554443
54866,54876,66818,13.8,9264.23185617
56623,56828,67497,69.0,217086.084583
61117,61118,53164b,115.0,19.580599345
9753,14686,33931,69.0,5014.04087579
9868,10304,32683b,115.0,14410.2403411
47497,47951,64486,138.0,9173.57182004
20331,20330,14376b,100.0,69.0574488983
57214,57215,67912b,138.0,11221.7226232
28891,28892,35350b,115.0,1085.8283782
58864,58863,55293b,138.0,182.102678114
16502,52980,36287f,69.0,5100.14715754
63846,63847,58590c,230.0,36.9902383462
39106,39053,33421b,138.0,19329.1880389
21185,18073,2479b,138.0,123.906749349
15505,17841,18859b,115.0,1584.53422632
12590,12591,48316,115.0,2119.59629818
56856,56868,67519,138.0,12937.1453106
53146,45485,20939,138.0,56717.1408312
28589,28624,19322a,69.0,9795.2636089
29656,29648,41046c,345.0,156.254187989
63257,63548,69580a,138.0,174.117986155
16501,16469,12753d,138.0,998.223333742
59826,59822,55248a,230.0,1233.73814335
32540,17659,46344b,138.0,13935.533603
56990,56991,67783b,345.0,378.261693837
34737,51124,46272a,115.0,1295.73064217
63471,63580,69526a,138.0,155.917527724
29869,18112,51284c,115.0,700.420940639
16337,16335,37091c,230.0,139.508139783
39685,39686,37799,161.0,2097.42120997
62975,63209,69407,69.0,1337.22862895
55860,55861,74332,66.0,967.834966556
33451,33408,22495a,230.0,74.6543800922
16180,16179,4842a,138.0,47.816695281
28383,9564,32621a,115.0,89.0065484026
58267,58280,58236,69.0,4558.80554959
36677,53183,27782c,115.0,114.713952007
55552,55553,68647a,138.0,2552.40783773
53606,53611,28279c,138.0,104.894791255
12992,12990,24203,69.0,3898.03771429
52569,52623,44927b,100.0,9010.97342699
11855,17357,44248b,69.0,148.736169402
16634,16635,45241f,345.0,13631.5711893
21264,21262,41574b,138.0,1086.93726961
49233,49690,63638b,115.0,32608.4651134
18071,21174,49450g,138.0,888.659014148
42713,42714,47093d,115.0,2953.1677103
20257,20163,44178a,230.0,37305.2583261
18767,18752,3974b,138.0,30.9934448545
21878,17260,23049b,161.0,31.045952255
63264,63557,70047,138.0,3275.19002289
40453,40433,2691b,115.0,64.8903575307
17497,27756,38021b,345.0,151.668944112
40415,40416,12431c,345.0,105.411074341
48237,48988,62883b,115.0,7726.42591686
55711,55365,69105b,138.0,4528.6752412
20369,20370,21832a,100.0,22.6569453783
49309,45917,64670,115.0,22248.8306827
33602,33593,22669b,115.0,6290.18648193
27715,17474,34912b,115.0,3213.61499791
35105,35104,42975,161.0,32764.5107904
11641,11636,3230f,345.0,5180.28730049
18158,18157,4929b,161.0,46.9252635391
33708,33709,4738,115.0,24.2829564347
37615,52938,46952a,161.0,12393.6942042
10023,10024,10715c,115.0,155.045530828
16489,16490,3988d,138.0,29.8009715848
11399,11415,10924e,115.0,17277.3428993
61667,61671,56634a,230.0,20546.746603
22887,28325,8797a,69.0,99.6111514354
38775,36885,33084,230.0,42.0486787205
18200,40221,9793b,115.0,20011.6666938
26005,26015,28904b,161.0,16595.4615089
49986,35860,38029b,100.0,263.932535206
62892,63576,70016,69.0,200.78198373
18331,18349,28989b,115.0,43.4322447595
9007,9065,47210b,100.0,6016.98237222
21257,25539,22534a,115.0,258.917459127
12461,12460,30129b,230.0,50.3566418583
43961,43960,27459a,115.0,7.37894705473
48007,47770,64150a,138.0,249.556372384
19477,19476,7920,115.0,19251.3942235
56188,56384,65991d,345.0,79567.4060358
60132,60146,54210b,115.0,8040.1335665
18165,18164,14784a,138.0,24.405948547
11686,11690,39925a,69.0,15883.6251549
59706,59759,56078,115.0,9501.98584522
51437,51373,13516f,138.0,126.29316072
38591,35711,45059a,138.0,12905.6178423
51368,51372,46160c,230.0,8755.73326082
28568,28544,50099b,69.0,122.802250695
21929,37718,10397a,69.0,45005.3625712
39448,50262,45429e,230.0,8897.38536843
38109,19586,22444b,115.0,25883.9482584
34641,50277,15150a,230.0,1419.35188257
52762,52769,17940a,115.0,7638.37376375
26122,26120,45678c,115.0,7554.86468305
20360,25483,30345a,115.0,4195.75853991
48696,55934,63881f,230.0,4744.03331622
11479,11478,48473b,161.0,187.282003072
14504,41556,862a,115.0,30.787914251
18652,18664,42094c,115.0,86.2377071708
21160,21164,33313b,138.0,271.377952497
10164,10165,51686c,115.0,39.1779864669
57007,56299,65610b,138.0,57427.701739
33829,29107,9927a,230.0,3489.75972624
37185,37186,46429b,161.0,152.332252938
61232,61233,53382a,115.0,48.8444495615
61687,61701,53035a,230.0,4242.44237595
40229,40228,12117a,115.0,58.3708718653
54370,54366,53703,230.0,45.1378653696
22860,22868,9511b,230.0,982.470754458
57443,57444,66512c,115.0,2799.95525346
59065,59048,56025,115.0,3006.84381721
30093,30094,14661c,161.0,46.3737641714
46115,49098,63949i,500.0,12462.4048967
40606,40605,40521a,100.0,4295.61625925
17191,36023,11674,138.0,2809.04240542
24519,24520,31704,161.0,3697.37467721
19906,35218,2553b,345.0,155.572721338
31490,31499,7813b,100.0,4439.90440773
58546,58550,52344d,230.0,246.809203047
48801,48890,62858d,115.0,66028.9438688
22493,22524,50482a,115.0,445.508080267
26746,26749,51837a,115.0,1663.76765676
19991,19993,13335b,138.0,1671.71074161
63781,63779,55823a,46.0,119.033960495
45770,45742,12612b,69.0,7968.89075451
55415,55097,68473,69.0,9305.40512845
34960,34961,11064,138.0,641.482018204
55545,55583,68451a,138.0,119.980897419
16640,34317,6774c,138.0,650.291771943
51285,45602,26330h,500.0,19090.7443844
58367,58368,59946b,57.0,141.595736092
40390,40358,10410b,138.0,41403.6366813
48650,46304,62867c,60.0,97.9846976432
24179,24264,14410b,230.0,4699.27943872
52240,52249,18684c,161.0,3036.84666871
51778,50579,13453a,115.0,4288.43098784
55286,55613,68864,69.0,165.463497481
32311,32731,24654b,138.0,1810.77209726
9936,9939,30797b,115.0,225.835167722
24288,34311,36621a,115.0,296.548810601
54562,54563,52213g,345.0,30.5803009239
50809,50784,12915a,115.0,4328.71068956
30343,44926,45623,115.0,154.673995573
41390,25395,520a,100.0,64.784328252
26132,26133,22096b,115.0,15234.006154
62878,62880,69844b,138.0,370.294506946
20886,17974,19258,138.0,128.542718465
57652,57653,66580,115.0,25946.7593482
51117,34788,13970b,230.0,737.596079513
28840,32877,36449a,115.0,590.561946734
9564,9563,32621b,115.0,32.9409629245
50693,39432,16074c,161.0,21.1535284656
52031,13971,21201a,69.0,31992.1221294
22978,39395,36549a,161.0,2903.83009307
18272,20874,23068a,115.0,54.7904019596
64714,64710,56339,115.0,1667.18538894
30792,44319,43494,115.0,119.570481323
53234,16526,45948b,138.0,3856.04593259
38687,38683,22982,138.0,8020.82026496
42305,44058,24617a,230.0,6384.53012095
36119,36051,45290g,230.0,9098.62605807
55134,55135,68235b,138.0,260.553153664
17546,44198,457b,138.0,14393.2750599
8857,29370,42963a,69.0,81.8326498665
39181,39182,22138c,230.0,30.743216076
65712,65711,54063b,115.0,10.0106849906
58741,58743,54297,138.0,1907.23330039
44817,44818,34147a,138.0,28.3075385732
31753,31754,50437d,115.0,6548.15248217
55475,55358,68531,138.0,1751.46512718
10125,10124,44337f,345.0,908.200399281
24341,24340,24381b,69.0,54.6389713397
36512,36570,47583,161.0,8421.69552259
47220,46010,64660,230.0,76045.4838213
54198,54199,52221c,345.0,46.7242876767
45780,36264,6541a,69.0,43.4388386061
21401,21417,30930b,100.0,10732.8308561
46806,47467,65312,69.0,4779.67347424
49987,30824,47953a,69.0,253.585167969
33025,19182,14639,138.0,670.08494564
36818,36722,28334a,138.0,14802.0932623
39664,52107,31288,115.0,18193.176362
34383,34382,41031a,115.0,3814.55151036
39405,21579,25352,69.0,16547.1397087
28531,28570,40608a,345.0,1697.26154364
30239,30240,31498n,115.0,292.619539594
62323,31084,21040a,161.0,104.839638728
53928,53929,59222d,138.0,50.896984111
26482,26479,24461,69.0,17476.7201747
37116,40658,39355a,161.0,44.8943916525
36790,53408,19205c,161.0,6305.44625538
59649,59672,56066c,115.0,7483.21922929
12157,12158,44618a,115.0,94.9924101525
26716,26705,38046b,115.0,61.1740219953
9398,29835,8764c,138.0,1066.36834802
26780,26770,292c,138.0,235.379917277
10739,27729,1912b,230.0,49882.3714535
29622,29606,43544a,230.0,4107.0483952
24398,43534,21460c,161.0,21.8180007453
11777,11776,29382a,115.0,733.184758251
54391,54321,55992,115.0,25320.0065568
47014,46383,64390,120.0,27272.2675333
9900,9899,35037e,115.0,172.537934723
65253,65235,52134c,500.0,14182.7954164
55779,55838,68973b,345.0,47765.9172862
31465,31464,614a,115.0,98.219912502
37069,37074,13751b,100.0,2469.874697
33794,33819,687b,115.0,5111.51862269
54226,54224,60773,138.0,144.087117728
13872,24614,2771a,69.0,13130.5198056
29335,20849,1729b,345.0,6369.99432083
25581,25580,48173a,345.0,2605.10264696
15703,34220,25487,161.0,1369.84248914
43898,45124,25990b,230.0,15482.524141
62849,63144,70179,138.0,3253.81984343
36181,36147,47371f,115.0,35.1974227959
17517,10848,38539c,345.0,2540.08325095
62048,23723,34011b,115.0,1171.34148258
34463,50085,44417,115.0,50.1767460842
47125,48215,65254b,230.0,2982.55425385
51172,17929,25271,345.0,310.024880326
18313,18314,33193a,230.0,22.6426200461
59160,59174,52253a,345.0,4771.00800284
44163,17998,15669a,115.0,3573.43582832
17507,34280,32111g,345.0,77.237188143
62467,62501,43937b,138.0,1111.84103003
63402,63568,69527c,138.0,207.921031811
26493,26514,45497d,115.0,26180.3126343
36867,38844,7242,115.0,7994.65740456
63263,63080,69731c,138.0,2969.93869153
25680,25677,230c,230.0,175.642341129
46872,46936,64081e,230.0,168.997300379
14476,14479,13264a,138.0,1191.26901983
49766,55972,62921d,230.0,12878.9609832
49505,49039,52684b,69.0,12060.9877961
63494,63500,70068n,345.0,1102.58453744
22915,22914,30258e,115.0,1847.81920823
17315,11872,3802a,115.0,5061.33878515
27202,27195,7553,115.0,25110.1384982
31956,31929,36250,161.0,38.5241191431
25733,25722,48629e,138.0,2707.08448793
49472,47933,73887,66.0,2435.94923655
33410,33451,48581a,138.0,136.21050699
61926,61927,12747e,161.0,145.375041691
54264,54263,53732c,115.0,25.5226784769
8968,14916,44880,115.0,3263.45877935
64475,64476,59224,115.0,61.3198776058
62248,62246,8166f,230.0,6350.52137361
47395,47465,63375b,115.0,261.243802428
53850,53839,29730a,115.0,6255.17687448
42769,42805,3247a,138.0,8456.18811299
59571,59580,55286c,138.0,1303.10100028
65518,65525,55362,138.0,1269.4544068
36192,33774,46265c,115.0,1548.70773258
30688,30689,26786c,115.0,90.3055244553
39654,34428,27594,69.0,9344.6375252
34883,38832,41441,115.0,62243.6546644
32538,32531,38605b,138.0,3235.8192763
53321,31639,42924c,100.0,24964.0797593
33852,45586,32212b,69.0,2298.8552871
39060,39100,5612,230.0,45591.6245782
15344,15281,47355,69.0,21043.7843863
29316,52491,35446d,230.0,6826.04627141
16323,16380,5367c,115.0,3229.87717005
64924,64925,52955b,115.0,128.81453408
25825,21331,7914b,115.0,2633.97081455
10101,10122,9416b,230.0,7073.78956295
53375,29160,41446b,138.0,7572.93968133
20846,20847,41908a,161.0,8.89596909431
56074,62710,71874c,60.0,2710.06007022
11463,26180,27314a,69.0,4955.7019916
35357,40137,39814,161.0,18412.8389913
63946,63899,55658a,138.0,11615.6601837
55444,55605,68434d,138.0,5076.98979036
55270,55271,68637a,138.0,4819.74930245
52861,37205,7611f,161.0,94.758595529
17485,17486,32963b,138.0,15.5141230827
32719,32649,25884b,138.0,19102.2267684
54277,54278,53686a,115.0,55.0926782911
17739,30567,41534g,230.0,79.4876524522
19629,49912,1849,138.0,11.0393729303
30358,27237,29881a,138.0,23047.2344616
16738,62453,45737c,138.0,11951.0279261
16416,16407,2002b,69.0,1485.33872988
29483,29525,3080d,138.0,11650.3547998
65416,65420,59561,115.0,3803.33447617
9725,9726,47888a,115.0,41.8753017634
44222,35517,11488,345.0,138.097159124
15742,17258,21088a,115.0,86.2804151338
62902,62903,70338a,345.0,267.581570239
16766,16765,14923d,138.0,267.728486433
18127,21331,31313a,69.0,28861.3191076
49452,49601,72673b,60.0,2476.16506776
49060,56053,65391,60.0,14927.2570267
23577,23578,23978a,115.0,94.3667192491
16609,16610,26965g,138.0,11.9565954003
48382,48207,64580,115.0,84690.6343424
25652,25653,471,69.0,98.9284227564
64635,64632,55502d,115.0,167.232982646
21801,15470,33350c,161.0,4729.23418684
54271,54270,53681b,230.0,59.7023094229
55794,55808,69018,138.0,3340.57168969
26771,26773,12683c,69.0,52.654731311
16162,21300,30594c,69.0,2289.43300795
16152,16153,20772b,138.0,27.6552672599
32566,32568,28185a,69.0,17134.7606693
34210,41607,43209,138.0,16047.1290518
17766,24950,18252,115.0,653.188701221
55312,55315,68058a,138.0,2565.69565429
52515,39803,6929,115.0,7126.99270516
58487,58488,55465a,230.0,28.795927522
23631,23633,36367a,161.0,179.456634526
18897,23849,40917a,69.0,37652.6199645
36827,38861,3396c,230.0,28.8955672315
16834,16835,22905f,138.0,47.651521918
61306,61402,60231,115.0,28844.1597304
33275,33276,19046a,500.0,1966.18602078
62623,56083,65482,115.0,5668.85997611
18617,18621,1984e,115.0,19.2738173895
54841,54842,56721a,69.0,33.119233895
63510,63516,69914g,138.0,4011.71478754
50377,18938,38535b,230.0,957.600645405
52148,52159,18633c,115.0,4061.52643699
13069,13091,46238a,345.0,1260.57544078
43859,44355,43540,230.0,80265.79944
44198,44199,457c,138.0,73.4864023866
49511,47061,72020a,69.0,10148.7440027
62121,62159,28729c,138.0,7809.67229396
47568,46625,64819a,345.0,14162.5847558
9726,9717,47888b,115.0,57.8030580391
28177,9807,33447a,161.0,51.3628306058
20849,29359,24817c,69.0,212.930818799
38354,38372,47280a,100.0,3569.48630915
53482,53483,42333g,230.0,229.978410741
27126,35806,15056b,161.0,125.887064797
19577,18889,18950a,115.0,24591.7067132
41353,51894,30574b,138.0,39.1045176316
58376,58288,52335b,230.0,37152.702594
63074,63071,69248a,138.0,11090.8569779
42541,42542,38748f,161.0,55.2764631829
33049,33037,45751a,115.0,125.313428314
21132,21134,23572c,115.0,5150.13891912
24442,34161,28415b,115.0,10.0106849906
19318,45117,42743b,115.0,4452.77168671
55353,55354,68504,138.0,253.395991253
13910,51613,26470b,230.0,37.8733977329
14931,14905,13190c,69.0,7477.31590905
11078,11065,30694a,345.0,13851.1753317
56382,56384,65985b,138.0,4086.1840435
8918,14826,21798b,115.0,12422.585747
56124,56128,65930,138.0,15164.7416698
36479,62571,38430a,500.0,198.666545484
56960,56935,67652a,138.0,43206.7265334
50449,50498,27690b,230.0,309.743270084
25458,25459,13119f,230.0,326.105064823
27349,17711,16753e,138.0,772.829181134
44917,36242,21271a,115.0,7562.27069369
17572,17573,45158f,345.0,82.1095954335
13232,13234,26660b,138.0,1757.33283015
54925,55163,68670b,345.0,121196.387651
28723,19132,4098c,115.0,151.724115949
53931,53919,55202,230.0,1601.83447907
41820,43713,37342b,230.0,99.0437820042
35361,35363,25087a,161.0,2207.8123107
20607,13501,24252b,138.0,3491.54382316
42107,28615,34514g,115.0,5170.60726541
27262,17704,34876a,161.0,885.91295155
10915,10951,6082b,115.0,200.341570928
48963,56026,64877f,230.0,4959.30860755
11507,11566,19576a,230.0,3269.15226008
32387,32698,48184,500.0,11531.2372478
65630,65627,56310b,230.0,84.6221529305
40364,27521,8562d,138.0,5731.62115811
27961,27958,11566b,500.0,11782.1828229
21338,21349,49479g,230.0,357.666321297
41452,51907,29741b,115.0,46.6896303268
18982,28731,26490a,115.0,128.679092033
28069,28065,36473b,115.0,4823.70767585
18620,18669,49605d,115.0,9590.822453
12024,14960,45952b,115.0,14509.6538905
49987,30824,35010c,69.0,253.585167969
36315,36316,36091e,115.0,15.80171781
16786,27466,2496j,161.0,3206.92583561
17667,32507,37246b,69.0,50.9590243741
21030,21036,18246b,100.0,9069.65112679
63264,63259,69874c,138.0,11162.7911454
62017,62025,13027b,500.0,30.4404675983
15464,21825,23546,115.0,3352.42283152
34312,24288,48736b,138.0,112.645467292
43396,43412,10307,138.0,783.060133228
33243,19166,24704b,230.0,5958.19756659
65253,65264,54002b,115.0,17558.0803457
20050,20045,25970c,138.0,26223.890845
58368,58375,59950c,115.0,3133.5023449
15759,15784,24269b,161.0,1135.79444018
63125,63402,69531c,138.0,329.57066102
38591,38625,5760a,138.0,17659.2922964
11562,11563,42599b,115.0,6.40610157749
29351,29352,1794a,138.0,632.083476308
57002,57264,66555,115.0,11631.4331109
62913,63185,69326,138.0,3923.24585022
47084,48940,64246c,230.0,9965.06375771
17230,25089,28870f,138.0,290.785252361
43762,35840,24774a,115.0,58.6899401978
50489,50516,21960b,115.0,24.4705633103
30804,49945,1859a,138.0,2890.23978794
47674,48647,64517b,69.0,157.074761925
9815,28199,4367c,69.0,45.9347902391
21900,17238,42843d,138.0,101.655689314
17102,39594,33103a,161.0,127.590630718
39062,39063,16957b,230.0,415.578974403
40571,40572,41378,345.0,2199.5207153
34502,52537,15242c,345.0,165.225326327
52375,52398,24055,69.0,1700.53549349
56588,56587,67358b,138.0,209.337047804
38139,19564,23530,115.0,24103.0112042
26108,26145,48803d,115.0,13374.4090033
27960,27961,38336b,230.0,228.816245322
38889,38910,46628b,115.0,2969.28928145
56914,56915,67703c,138.0,132.590317989
64357,64358,54007a,230.0,15.5573867326
35223,19905,6518b,345.0,40.0403146088
17865,17867,26823c,69.0,2910.08216599
43203,43168,32698a,138.0,3686.78450536
20880,18105,11351a,115.0,6356.95030365
19692,19684,5666,115.0,776.022584202
13128,13115,41386,115.0,6585.77501523
52841,52842,39953a,115.0,69.5022473103
21954,13769,45987,138.0,7952.01103831
31053,31087,48395,138.0,21473.1228231
9048,9050,37566b,115.0,5868.56306079
37727,34959,38713a,161.0,84137.2444215
32270,45479,47991c,115.0,3116.94729493
59794,59795,57213a,69.0,68.0240208125
64464,64465,60121,115.0,339.898663118
42470,35376,1386a,161.0,37.7885674875
