FromBus,ToBus,TxID,kV_fbus,kV_tbus
24433,24448,12776,69.0,69.0
4174,58464,78240,4.16,69.0
45180,45186,41041,230.0,69.0
44186,19959,36218c,345.0,345.0
53361,53308,5194,0.0,0.0
21961,14867,28625,138.0,138.0
29080,29081,30015a,115.0,115.0
25077,25079,927a,230.0,69.0
25868,25854,45684,69.0,69.0
3377,34716,77503,6.9,115.0
27823,9509,40230b,230.0,230.0
25715,25714,4117a,115.0,138.0
28589,28627,2471f,138.0,69.0
36075,36078,43851,115.0,345.0
7804,12851,81388a,4.16,115.0
2286,35112,76516,13.8,161.0
54454,54455,58135d,46.0,46.0
6036,47723,79866,6.9,230.0
18820,28306,40772a,230.0,115.0
29882,29884,11904a,69.0,115.0
431,41998,74939,6.9,115.0
17458,17457,9975a,69.0,69.0
14162,14159,34219b,138.0,115.0
25144,12572,30163,345.0,161.0
33604,33613,6124,230.0,115.0
43623,43684,45498e,230.0,115.0
25460,9823,44138d,115.0,230.0
28533,28563,46829,115.0,138.0
8202,49233,81723,4.16,230.0
7161,45938,80827,4.16,115.0
31540,50194,24746a,69.0,69.0
45756,45757,21181c,69.0,115.0
10407,10406,7316a,0.0,69.0
32532,32536,22573b,230.0,138.0
25219,25229,14316,120.0,120.0
14096,13891,6065,138.0,69.0
31121,62445,4219,0.0,0.0
15508,15509,20989,138.0,138.0
40855,40961,2058b,69.0,115.0
59626,59624,58198,69.0,69.0
37639,37647,18358,230.0,69.0
38210,38212,50208a,115.0,345.0
59537,59547,59438,0.0,0.0
21534,41852,19407a,138.0,161.0
10883,10882,6483,69.0,115.0
21774,21721,34386b,69.0,69.0
23565,23561,50169a,138.0,138.0
20331,20365,31096b,115.0,138.0
34648,50283,43929c,115.0,138.0
45447,45467,337b,100.0,100.0
16094,16087,41657,115.0,115.0
22623,22630,16099b,100.0,100.0
5119,54161,79064,0.69,230.0
26030,26049,30143,115.0,115.0
42494,42498,50125d,161.0,115.0
13458,9125,38606b,115.0,115.0
50402,14202,35155,138.0,69.0
24564,24565,47284,115.0,161.0
12295,12296,15107a,115.0,115.0
17674,32548,39309d,138.0,161.0
3254,28538,77385,4.16,115.0
25651,21211,43476,138.0,115.0
34982,34980,21352,0.0,138.0
58618,58700,54380,69.0,69.0
50793,24652,37798,115.0,115.0
16783,16784,15055a,230.0,69.0
31559,45543,31133b,115.0,100.0
3846,21508,77926,22.0,345.0
32283,32288,27026a,115.0,138.0
61563,61637,56596a,69.0,115.0
62230,62290,9037,230.0,115.0
61937,61969,6831i,230.0,161.0
26732,26718,6885b,69.0,69.0
673,35481,75118,13.8,115.0
3999,34301,78075,6.9,138.0
44492,44489,50607b,115.0,161.0
26609,26625,42684a,161.0,115.0
28218,28219,1334b,69.0,69.0
31640,53300,11389b,115.0,115.0
38020,52627,30317b,161.0,161.0
22480,22432,27584b,138.0,138.0
25206,12573,14843,115.0,69.0
35155,35161,34995b,69.0,161.0
6676,46251,80402,4.16,115.0
29243,29242,39048d,115.0,115.0
32812,32813,31361b,100.0,100.0
8745,34413,82145,0.69,115.0
38380,44794,22199b,345.0,138.0
49959,49973,25677a,138.0,138.0
13517,21420,13178f,69.0,138.0
18493,11460,42060a,69.0,115.0
30849,19720,36522c,115.0,115.0
17576,17575,31508h,115.0,115.0
39167,39195,14097,100.0,230.0
7173,18471,80837,0.69,115.0
25954,25962,5423a,345.0,345.0
21728,12313,30774a,161.0,161.0
28882,62079,50819a,69.0,115.0
31781,31763,5484a,230.0,138.0
59189,59192,54820a,0.0,69.0
51383,62280,17282a,138.0,230.0
18957,50653,39782a,230.0,230.0
23701,61991,40993a,230.0,230.0
61935,61936,44789j,100.0,100.0
22582,22575,34061c,115.0,115.0
14222,31676,10892a,115.0,230.0
4404,16645,78446,4.16,138.0
45069,31201,29231b,100.0,100.0
3996,57383,78072,13.8,115.0
59430,59489,54685a,115.0,115.0
15975,15926,6864,115.0,69.0
32835,51362,40952a,115.0,115.0
54568,54570,58157,0.0,0.0
10972,10973,19674a,115.0,115.0
43210,43186,40626a,138.0,138.0
32333,20787,29244a,230.0,345.0
39239,39240,16059i,161.0,161.0
8410,18727,81865a,6.9,69.0
4955,41940,78934a,6.9,100.0
6571,31925,80314a,4.16,115.0
18797,21145,35706c,115.0,345.0
15493,15346,2900a,115.0,115.0
20370,30238,696b,115.0,138.0
37976,24193,30050a,115.0,115.0
8458,18402,81905,4.16,115.0
25380,25381,12893a,138.0,138.0
35947,35923,850,138.0,138.0
38724,38710,15021b,138.0,230.0
39783,53720,17480b,0.0,138.0
40967,23829,22642b,0.0,0.0
20779,44654,12468c,230.0,115.0
37528,37537,34625a,0.0,161.0
38818,38808,50115,115.0,115.0
22694,22709,18038a,115.0,115.0
40607,40608,42238,0.0,0.0
7034,59671,80709,0.69,230.0
33410,33451,39089c,230.0,138.0
17536,26992,43328a,100.0,100.0
43823,43472,2874b,69.0,115.0
35828,40869,39264,138.0,0.0
3763,18741,77850d,13.8,138.0
27781,27782,10139c,345.0,230.0
22047,10703,23927,69.0,69.0
2754,12994,76928,4.16,345.0
39314,39299,22116a,230.0,500.0
6548,18340,80293,0.69,230.0
38031,38032,33105c,138.0,138.0
43167,43226,48525,230.0,161.0
58304,58140,54566a,69.0,69.0
50011,50013,8112a,115.0,115.0
13436,17831,22916b,230.0,230.0
27564,9462,9772,115.0,69.0
64544,64545,54089c,500.0,500.0
49975,49979,28805f,230.0,138.0
34181,24446,12401a,0.0,0.0
3332,63174,77461b,13.8,138.0
58132,58108,56557c,69.0,69.0
6445,18479,80203,4.16,115.0
60039,60040,60055,0.0,0.0
50089,50088,33008b,115.0,115.0
17473,27746,11083b,115.0,138.0
20895,20897,36202c,115.0,100.0
3505,31834,77616,13.8,138.0
12372,12371,1010,345.0,115.0
38856,36711,851a,69.0,230.0
7486,59753,81123,4.16,115.0
23659,19801,9396a,69.0,138.0
64875,64905,60627,69.0,0.0
52175,52159,31152b,230.0,500.0
36324,36325,37543b,115.0,115.0
27219,31391,48099b,230.0,115.0
1108,16386,75484,4.16,115.0
54776,54779,54593a,69.0,69.0
58131,58150,56549,69.0,69.0
5754,47657,79622,4.16,115.0
26728,26705,13683b,115.0,100.0
40074,9353,17113c,161.0,161.0
1689,12930,76032,6.9,69.0
3136,53462,77276b,13.8,138.0
25160,25230,21157d,161.0,230.0
21437,9137,8443c,115.0,115.0
58128,58031,56691a,0.0,0.0
31638,53320,1704c,100.0,69.0
52128,52141,41315a,230.0,230.0
64963,64987,57464a,115.0,115.0
1333,38731,75707,22.0,138.0
35366,35794,13463b,161.0,161.0
8986,12051,9385,115.0,115.0
35100,35122,4326,0.0,0.0
25651,21211,22295b,138.0,115.0
18027,18026,24596a,69.0,69.0
4892,45976,78876,4.16,230.0
2898,46424,77059a,6.9,92.0
11421,11420,24590b,69.0,115.0
44356,44279,31087,115.0,115.0
28396,28397,20311d,115.0,161.0
65091,65090,57416,0.0,0.0
31590,51706,46836b,230.0,230.0
4083,46426,78156,6.9,69.0
14462,14546,22040,500.0,0.0
29430,29406,31409b,69.0,230.0
2688,18427,76868,6.9,115.0
21700,21699,11061,0.0,0.0
18832,18833,49322b,138.0,138.0
14288,50396,35974b,69.0,230.0
18048,18049,20083c,115.0,115.0
11492,26180,41721a,69.0,69.0
27933,17795,42316a,69.0,115.0
17571,17572,26496b,100.0,100.0
10016,10002,2542a,138.0,138.0
21128,9744,20960f,100.0,138.0
14273,50623,22793,230.0,0.0
25861,22847,6595,69.0,69.0
40982,23844,5066c,115.0,115.0
61144,60964,56571b,69.0,0.0
12414,12398,24827a,115.0,69.0
14364,52026,41869a,115.0,138.0
59991,60041,58339c,115.0,110.0
26137,26138,14882,115.0,115.0
25954,25962,25837b,345.0,345.0
63757,58863,58396l,69.0,138.0
13966,13967,30548b,161.0,69.0
30034,21241,44983c,115.0,69.0
1584,16096,75939,6.9,69.0
17008,17006,22252,0.0,115.0
53572,44958,7849,100.0,138.0
59933,59939,54037c,115.0,115.0
9624,9628,36239f,115.0,230.0
18322,18362,2923f,115.0,115.0
39292,39316,28480c,115.0,115.0
43216,43215,38700,345.0,161.0
4781,30288,78786,4.16,69.0
65430,65424,59504b,115.0,500.0
13772,13773,44919,230.0,230.0
6025,28299,79857,0.69,69.0
64475,64476,59990a,115.0,115.0
41413,23777,12042e,138.0,115.0
7479,44770,81116,4.16,69.0
28785,28782,1211a,138.0,115.0
4678,32881,78692,4.16,230.0
35646,35635,23668,69.0,345.0
1627,33589,75975,6.9,230.0
13825,17031,7716a,161.0,115.0
34078,11951,27804b,69.0,161.0
26834,26837,15395d,138.0,115.0
16436,62100,28310c,138.0,138.0
18707,18689,49555a,69.0,138.0
270,47048,74783,6.9,69.0
43539,34136,4271a,230.0,69.0
41082,53679,26614a,161.0,161.0
19833,19832,27641a,115.0,115.0
11564,11528,2508,138.0,100.0
15516,15517,11873c,115.0,115.0
64712,64813,57911a,0.0,0.0
61226,61227,56564e,69.0,115.0
60179,60183,54044c,69.0,0.0
25922,25923,18424,115.0,115.0
25838,29869,49472i,115.0,161.0
27517,31700,46709a,138.0,138.0
4294,48430,78350,13.8,66.0
18009,18008,48610b,69.0,69.0
835,25174,75260,6.9,345.0
61209,61210,59631,115.0,115.0
10066,10079,12446a,161.0,0.0
24383,24384,37419a,138.0,115.0
62036,62061,51070,161.0,161.0
6800,36742,80512,4.16,161.0
18621,18632,9704d,115.0,115.0
61034,60822,54609,69.0,115.0
59769,53994,57221,115.0,69.0
20383,20384,45095c,115.0,115.0
27188,51927,35100a,115.0,230.0
30065,30063,32867d,69.0,69.0
24726,24728,16027,100.0,161.0
31698,31694,24742,69.0,115.0
9471,27580,42849a,230.0,230.0
33666,33640,47758c,138.0,138.0
60953,60980,54252,69.0,115.0
60898,60884,54522a,66.0,69.0
5976,11557,79811,6.9,115.0
64506,64507,54415a,138.0,138.0
53443,53441,39473b,115.0,115.0
54632,54633,57742a,69.0,0.0
13364,23004,34030f,115.0,115.0
57883,57885,55627,230.0,115.0
31366,44983,47291,69.0,138.0
19959,44186,33218a,345.0,345.0
27831,27834,9637b,115.0,69.0
13492,13493,10493b,69.0,69.0
10291,10270,6270a,115.0,115.0
42576,42579,13377a,138.0,0.0
33826,33837,4798a,345.0,115.0
50250,50270,13979b,230.0,100.0
59064,59066,54839b,46.0,46.0
54414,54397,59379k,0.0,0.0
20290,20291,25365a,138.0,138.0
53658,53654,43122c,69.0,115.0
11249,11248,29385c,69.0,115.0
51609,51607,12312,115.0,69.0
31123,31122,4469b,230.0,345.0
33420,33453,3070a,230.0,69.0
61858,19837,35340b,345.0,115.0
26736,26674,18437d,115.0,115.0
20528,30993,29119a,138.0,138.0
29522,29463,21704b,69.0,100.0
5158,13791,79100,4.16,138.0
30227,20372,28800h,230.0,138.0
4974,63929,78951,4.16,46.0
40422,40413,19842a,138.0,138.0
17214,17212,18143b,100.0,100.0
52744,52778,31683,230.0,230.0
24754,52064,23802,161.0,161.0
52357,52365,13798a,100.0,100.0
11018,15868,1928,115.0,230.0
16558,16559,13856a,230.0,115.0
6288,46600,80082,4.16,115.0
53928,53916,57280e,138.0,138.0
41276,53786,22177b,69.0,230.0
32621,32573,6626,69.0,138.0
34447,41999,44690d,230.0,230.0
51658,51659,3055c,115.0,115.0
53407,32816,43989c,100.0,100.0
7990,49763,81549b,4.16,115.0
2049,27407,76330,6.9,138.0
35214,35208,1313d,115.0,345.0
43665,41206,17701,69.0,138.0
54421,54422,59382,0.0,0.0
47017,48154,59323,69.0,69.0
58031,58032,56692c,0.0,0.0
5475,11557,79367a,6.9,115.0
42820,42836,9324,69.0,115.0
51224,51191,25997a,69.0,69.0
13985,13987,48654b,115.0,115.0
25507,14687,15405d,69.0,161.0
40326,53690,19980,230.0,161.0
24743,24763,42463b,138.0,115.0
3060,10742,77207,4.16,230.0
1187,21162,75561,4.16,69.0
51462,34703,35866,230.0,69.0
53930,53969,57275e,138.0,0.0
9824,9826,18710d,230.0,100.0
25300,32313,11874b,69.0,69.0
45207,45227,393g,115.0,100.0
6501,38936,80253,4.16,115.0
1526,54864,75888,6.9,345.0
2657,14417,76840a,6.9,230.0
30066,30064,5597a,69.0,69.0
34461,39651,46053a,0.0,138.0
29128,52423,29610b,138.0,138.0
2261,11704,76495,4.16,115.0
858,20051,75278,6.9,69.0
1429,20951,75797a,6.9,69.0
65018,65019,59490,115.0,0.0
16325,16358,40581b,138.0,138.0
24647,24638,33980a,115.0,115.0
14467,14487,31887b,230.0,230.0
10162,10171,42253a,0.0,0.0
39719,39722,15220d,161.0,500.0
42148,42149,23623,100.0,0.0
25883,25857,4583,0.0,0.0
30587,30584,18307,138.0,69.0
29147,29816,8707a,138.0,161.0
65141,65144,57396a,0.0,0.0
63707,63708,58349b,69.0,69.0
59862,59861,54576b,69.0,69.0
1766,42802,76092,6.9,138.0
11540,11517,35331c,115.0,115.0
2768,48338,76940,4.16,66.0
52916,52921,8460,115.0,115.0
15660,15662,8584,161.0,69.0
21079,25614,10603,115.0,115.0
23771,14387,24655,69.0,138.0
60762,54851,56507b,115.0,69.0
41714,41713,46187,0.0,230.0
26868,26869,22505,345.0,115.0
39692,61962,19006,115.0,115.0
40767,40774,19617,115.0,138.0
5464,46140,79357,6.9,230.0
19634,50683,30224a,115.0,115.0
59626,59649,56110b,69.0,115.0
414,23849,74922b,6.9,230.0
53353,52792,16717,230.0,230.0
42404,39574,17207a,161.0,161.0
18318,11281,48342b,345.0,0.0
31634,53356,12076a,115.0,100.0
54606,54607,59369a,0.0,0.0
6813,33426,80525,4.16,69.0
17244,17245,8508c,345.0,138.0
6509,26185,80260,4.16,69.0
21238,21283,12373c,115.0,115.0
26135,26077,35550b,115.0,115.0
25161,25162,30954b,161.0,69.0
11488,26179,9871f,100.0,115.0
16830,16831,48185b,69.0,115.0
59744,59718,56105,69.0,69.0
34414,52150,45822b,230.0,230.0
8325,36713,81815,4.16,230.0
19519,34004,2136a,69.0,69.0
34150,34151,27740f,69.0,138.0
36266,36267,21599i,138.0,161.0
30288,21373,47881,69.0,115.0
22851,25873,23076a,100.0,100.0
3842,41017,77922,13.8,500.0
12015,12016,39994,115.0,138.0
6726,53222,80444,0.69,138.0
38773,38761,42533a,161.0,161.0
2434,11951,76639,4.16,161.0
1209,21163,75583,6.9,230.0
28785,28782,5475,138.0,115.0
39622,50703,50244a,100.0,100.0
14038,14069,7545,161.0,161.0
13382,23015,48779d,138.0,115.0
15854,15853,32501a,0.0,0.0
10156,10161,25313d,138.0,138.0
35144,35140,26043a,0.0,34.5
9315,9316,46776b,345.0,345.0
7830,36710,81412,4.16,230.0
14384,14409,24021,115.0,0.0
21191,21192,3271c,115.0,115.0
5089,56774,79036,0.69,69.0
15518,8860,6399d,115.0,115.0
54790,54794,58147a,345.0,138.0
4584,60901,78609,4.16,500.0
18556,15567,42136b,230.0,115.0
36359,36362,7030b,115.0,115.0
25364,25365,38268h,230.0,115.0
45035,31214,3947,115.0,0.0
36562,61898,21614,230.0,115.0
3603,11601,77702,6.9,115.0
43453,40853,15061,115.0,0.0
32347,16868,17706a,138.0,138.0
18199,40218,17173b,115.0,115.0
45804,31117,16124,69.0,138.0
65428,65430,59504a,115.0,115.0
27697,17511,46973a,100.0,115.0
60847,60848,56433a,69.0,69.0
9199,9203,9830b,138.0,138.0
21235,9779,48895b,138.0,138.0
5215,49834,79148,22.0,230.0
26318,26326,20167b,345.0,345.0
5330,41407,79250,0.69,138.0
54504,54505,59377b,46.0,46.0
38030,38029,33105e,100.0,100.0
17790,21099,1570b,69.0,69.0
31869,33851,23155d,100.0,115.0
65266,65267,58049b,110.0,110.0
14549,14550,39477a,0.0,230.0
20602,9112,5918c,69.0,161.0
17178,31426,44014,115.0,69.0
17331,17332,19875c,115.0,161.0
50719,19656,48182b,345.0,115.0
61712,61508,54652,115.0,69.0
21231,21232,23274a,69.0,0.0
54638,54641,59355d,0.0,69.0
7223,34834,80883,4.16,115.0
61903,61891,31483,0.0,115.0
45255,45319,44346,115.0,115.0
38760,36886,8193c,161.0,34.5
59796,59832,54897d,115.0,138.0
58882,58885,59266a,7.2,7.2
3416,45899,77540,6.9,115.0
30730,30729,12928c,138.0,138.0
38673,38674,41097,0.0,69.0
10814,10811,48144a,345.0,345.0
33045,33051,39876a,138.0,345.0
6390,39453,80167,4.16,100.0
18233,37684,40623,230.0,230.0
21625,53236,206,138.0,69.0
28562,28534,27333a,138.0,115.0
61834,61817,1081,0.0,230.0
9319,9320,31832a,161.0,69.0
28267,28265,34010c,345.0,69.0
31511,31510,14830,500.0,100.0
27693,27746,32885c,230.0,138.0
53886,53887,54973b,345.0,345.0
27751,17000,3018,345.0,69.0
53192,53150,48709a,138.0,115.0
38021,52625,16038,115.0,115.0
12275,11955,19682a,230.0,69.0
10002,10001,2542b,138.0,138.0
61126,61128,59467,0.0,0.0
23735,62003,13103a,138.0,115.0
16390,16389,41620c,230.0,230.0
53650,53651,50150c,161.0,161.0
21738,15364,10894,115.0,138.0
41499,44603,35958a,69.0,115.0
22654,11150,31213c,138.0,100.0
41924,41925,47982b,138.0,115.0
4224,64169,78285a,6.9,69.0
24528,24533,34609b,115.0,115.0
6850,46020,80559,4.16,66.0
17212,17213,19608b,100.0,138.0
2777,11848,76948,4.16,115.0
39830,39831,21683,230.0,69.0
53969,53972,57274b,0.0,0.0
27347,17711,773b,138.0,138.0
51666,51667,45565a,138.0,230.0
10687,10686,19548b,138.0,138.0
18032,21291,33241a,345.0,345.0
36904,40745,16206e,138.0,161.0
24904,24905,17352,115.0,230.0
17295,25067,7825c,138.0,138.0
50720,50674,22169b,138.0,138.0
36968,40779,14741c,345.0,345.0
54371,54374,59414a,115.0,115.0
58184,58183,56400,69.0,69.0
30428,30494,36319b,69.0,115.0
41964,41965,1957b,115.0,115.0
8040,20261,81594,0.69,138.0
53708,53655,8415b,115.0,115.0
21164,18815,25508b,100.0,100.0
34184,41621,48309,115.0,138.0
15378,15396,20484,230.0,115.0
8655,22380,82071,4.16,138.0
60003,60005,60046,110.0,0.0
45826,45806,49285,161.0,161.0
20142,24857,2631b,69.0,115.0
5952,21650,79790,6.9,115.0
17473,17470,25090a,115.0,115.0
6612,48205,80351,0.69,60.0
65071,65072,57369a,69.0,115.0
34626,50478,30950a,500.0,500.0
25506,14674,9466a,115.0,115.0
54522,54518,59167f,345.0,345.0
4054,28896,78127,4.16,138.0
26625,26626,42684b,115.0,138.0
14576,50863,40790a,138.0,345.0
34145,24462,4847a,230.0,115.0
53969,53970,57275f,0.0,0.0
50072,50073,26687b,100.0,69.0
64132,64133,59208b,69.0,115.0
59863,59867,57951,115.0,69.0
31942,31943,35778d,161.0,161.0
29498,29521,21323,138.0,138.0
61227,61228,56419b,115.0,115.0
51403,51404,2805e,115.0,115.0
22848,22849,45266,100.0,69.0
6083,47418,79909,4.16,66.0
14493,14470,18386b,0.0,0.0
20882,18277,45549,69.0,115.0
13475,13480,3158b,230.0,230.0
25095,17294,4049f,115.0,115.0
13977,13976,47091a,138.0,230.0
32709,9401,12226a,161.0,230.0
34149,34150,4900d,138.0,69.0
20019,20115,4681,115.0,69.0
28294,28293,6656,69.0,69.0
14388,14395,24919a,115.0,345.0
40359,40406,44606a,161.0,161.0
35236,19901,23784c,138.0,138.0
15176,16286,30293,115.0,69.0
50497,50523,37132a,100.0,138.0
43588,14168,23412b,230.0,0.0
65360,65361,54408a,138.0,69.0
35094,35095,18469b,115.0,115.0
3920,37826,78000,13.8,115.0
9717,9726,12785d,138.0,138.0
50055,50006,4025b,138.0,161.0
39933,44223,37507b,138.0,115.0
51457,51453,16128a,230.0,230.0
29316,9158,29395c,138.0,500.0
1692,22092,76035,6.9,230.0
1778,62032,76104b,22.0,230.0
16947,16946,16944,230.0,345.0
64925,64954,57473c,115.0,230.0
18027,18026,43917b,69.0,69.0
22007,44206,49656,138.0,161.0
27127,43435,31598,0.0,69.0
24570,18998,50807,161.0,230.0
30075,30076,5202,115.0,69.0
31912,31891,45556a,115.0,115.0
711,12456,75148,6.9,69.0
19403,19404,35346c,161.0,115.0
24806,24807,20432,230.0,230.0
51725,51699,17872b,138.0,138.0
26648,26655,42965b,115.0,138.0
41943,41917,46286a,69.0,345.0
841,12610,75266,22.0,161.0
54794,54790,58146,138.0,345.0
59891,59893,59477d,115.0,115.0
43613,24451,25992g,115.0,161.0
30899,29844,50469b,161.0,138.0
24486,24484,43992a,115.0,115.0
33927,33928,39508,0.0,0.0
60268,60269,54219b,230.0,230.0
22420,12077,44699d,69.0,69.0
21694,23081,44437a,0.0,230.0
32944,9633,26276c,230.0,230.0
44510,36537,28861,161.0,161.0
33532,33492,9929a,115.0,115.0
6285,55907,80079,4.16,115.0
65141,65135,57395,0.0,0.0
9114,9112,23586b,230.0,161.0
9724,9705,43193b,115.0,345.0
9381,35624,2229a,69.0,345.0
64491,64492,58317,69.0,69.0
37557,37558,35403,161.0,161.0
38843,36868,21989b,161.0,115.0
11977,11975,39658,69.0,69.0
5231,54490,79162,4.16,115.0
6066,26148,79892,4.16,115.0
14156,14174,16880b,230.0,69.0
1683,9059,76028,4.16,161.0
18265,29466,15311,115.0,115.0
15341,15340,40649,230.0,230.0
1855,42000,76178b,22.0,138.0
22434,22479,41739a,230.0,0.0
28129,28060,20753b,69.0,138.0
7398,33760,81042a,4.16,230.0
59937,59950,60043a,0.0,0.0
31361,31362,24311b,69.0,161.0
1912,46395,76235a,13.8,115.0
19170,39710,20317,115.0,230.0
271,48603,74784,13.8,230.0
22079,21898,24803a,500.0,69.0
45583,45603,13452b,115.0,230.0
11378,11353,47650a,345.0,115.0
32051,32052,41612a,230.0,115.0
30744,30795,20230,138.0,69.0
20078,25115,3039,69.0,115.0
16182,50503,36220,230.0,138.0
38051,52513,40376b,230.0,230.0
2514,47071,76708,22.0,345.0
4859,56598,78848,4.16,138.0
1254,30166,75628,6.9,161.0
51653,51626,17032b,161.0,69.0
24937,24941,50163a,69.0,138.0
3417,46422,77541,4.16,230.0
25711,25712,8359,100.0,161.0
1448,39806,75815,6.9,100.0
49747,47845,74530a,115.0,66.0
50913,50914,47673c,138.0,138.0
15148,12322,30578c,69.0,115.0
9776,21233,42431a,69.0,0.0
15277,15285,1178e,100.0,230.0
34025,43533,17634,0.0,161.0
50003,50004,31763a,100.0,100.0
26171,26170,24802b,161.0,69.0
2590,47604,76779,4.16,115.0
39327,39304,9081b,138.0,138.0
868,27074,75286,6.9,138.0
19479,19481,7366b,138.0,0.0
1379,63830,75748,22.0,115.0
40394,43263,18670,500.0,138.0
15213,15207,48299c,69.0,161.0
29996,29995,26224b,69.0,69.0
65689,65679,59463,46.0,230.0
19376,28602,225,230.0,0.0
8343,55858,81823,4.16,230.0
25095,17295,44717b,115.0,138.0
38900,38901,11992,230.0,69.0
43004,43035,16861b,138.0,115.0
24438,34166,8644c,230.0,115.0
53330,53339,37698a,138.0,138.0
42914,42916,15092,0.0,161.0
60894,60951,54501b,69.0,230.0
4494,50037,78529,4.16,138.0
51010,44923,20138b,115.0,115.0
9135,25228,7080,345.0,345.0
29741,31915,28144d,230.0,115.0
32364,44166,22616,69.0,100.0
22239,22237,30378b,115.0,115.0
33968,33957,6048f,115.0,115.0
11635,11623,29165b,115.0,115.0
45604,45583,13452a,230.0,115.0
30345,51015,7612c,115.0,115.0
25838,29869,49462z,115.0,161.0
8068,37969,81618b,4.16,115.0
15223,15197,46291,115.0,115.0
50873,53534,1164c,138.0,115.0
53068,53069,15130a,69.0,161.0
50467,50469,38147b,69.0,69.0
6497,57067,80250,4.16,138.0
302,46048,74814,6.9,66.0
54652,54626,58123a,46.0,46.0
65267,65269,58050b,110.0,110.0
26152,26136,21198a,115.0,115.0
10969,11035,44942,0.0,0.0
18440,18409,2171d,345.0,115.0
2810,20311,76979,6.9,115.0
5678,48605,79553,0.69,69.0
33117,23744,22617,0.0,161.0
53482,53483,19296a,230.0,230.0
28381,9559,14680a,115.0,115.0
53448,53446,45615b,0.0,0.0
11944,11947,18170,115.0,69.0
43634,43648,19391a,345.0,115.0
62200,19696,21797,230.0,230.0
20422,10860,43381a,115.0,115.0
24667,24668,10495a,115.0,115.0
27340,27341,42820g,100.0,69.0
28049,28050,4485a,230.0,69.0
48925,47500,73092a,230.0,66.0
28568,28544,24553a,115.0,115.0
2622,47997,76809,4.16,66.0
5192,52324,79132,4.16,115.0
18726,26261,19163b,115.0,161.0
10763,10785,11931c,138.0,138.0
53590,53592,47865c,138.0,115.0
30682,30681,21643c,230.0,230.0
14513,41647,5839,69.0,115.0
11341,11340,20530a,138.0,138.0
28756,28755,48615b,115.0,138.0
43428,35807,39236a,161.0,115.0
26989,26990,24517f,230.0,138.0
45565,45601,17336,115.0,230.0
40551,40565,2971a,138.0,138.0
27876,9499,13566c,230.0,115.0
9938,9946,11242a,230.0,0.0
27984,27983,22954c,230.0,230.0
27759,34284,44203a,138.0,115.0
65602,59946,54037a,500.0,69.0
33424,33458,408a,69.0,69.0
29787,29773,41575a,115.0,115.0
53483,39456,21907b,230.0,100.0
854,9042,75275,6.9,69.0
816,13633,75242,6.9,115.0
21272,21242,44017,138.0,0.0
65171,65012,59570,0.0,0.0
14506,14514,7122b,115.0,161.0
